date,open,close,high,low,volume_lots
2026-01-05,221.32,235.68,235.68,221.0,499284.0
2026-01-06,238.0,250.78,253.33,234.0,507536.0
2026-01-07,270.0,262.5,273.77,256.78,545162.0
2026-01-08,259.0,258.75,267.0,256.91,314109.0
2026-01-09,254.55,250.05,254.55,244.32,395238.0
2026-01-12,255.22,261.83,264.04,254.0,403813.0
2026-01-13,266.0,263.5,275.0,257.49,461518.0
2026-01-14,270.0,253.0,271.0,249.05,447321.0
2026-01-15,249.61,254.96,257.55,248.2,283898.0
2026-01-16,260.03,280.46,280.46,257.5,553362.0
2026-01-19,280.6,288.45,292.0,278.88,463230.0
2026-01-20,282.9,292.0,297.1,282.88,389782.0
2026-01-21,295.0,307.65,314.8,293.01,404654.0
2026-01-22,320.0,301.47,320.02,296.7,450617.0
2026-01-23,296.0,297.25,310.68,295.0,349380.0
2026-01-26,300.0,292.6,308.0,290.5,272675.0
2026-01-27,290.0,307.26,312.42,286.67,380044.0
2026-01-28,313.88,323.68,328.58,313.88,377180.0
2026-01-29,329.88,307.5,331.07,306.99,334246.0
2026-01-30,315.0,314.88,320.88,308.01,376199.0
2026-02-02,300.8,283.39,306.09,283.39,416288.0
2026-02-03,294.01,292.57,296.6,285.2,302214.0
2026-02-04,285.99,282.33,289.5,279.0,270958.0
2026-02-05,269.94,277.74,279.52,268.21,229054.0
2026-02-06,271.0,276.17,280.51,268.2,186267.0
2026-02-09,283.97,292.98,294.44,280.2,283055.0
2026-02-10,287.13,289.9,291.5,284.17,215966.0
2026-02-11,285.0,284.59,286.5,280.5,173416.0
2026-02-12,290.5,303.24,305.0,285.0,300674.0
2026-02-13,303.24,308.7,317.6,301.0,299254.0
2026-02-24,317.5,323.05,331.16,311.0,302545.0
2026-02-25,316.0,311.32,317.01,301.96,285728.0
2026-02-26,316.0,309.4,316.0,306.05,231053.0
2026-02-27,303.5,300.0,306.0,296.69,220969.0
2026-03-02,290.87,293.15,299.98,290.55,185132.0
2026-03-03,295.0,272.89,296.1,272.59,333294.0
2026-03-04,272.89,279.07,290.0,272.89,326916.0
2026-03-05,288.16,282.8,289.88,280.23,255300.0
2026-03-06,277.9,284.99,288.88,277.56,208576.0
2026-03-09,273.0,276.09,277.7,264.0,283546.0
2026-03-10,284.1,285.44,286.5,281.18,233537.0
2026-03-11,288.04,281.53,290.83,281.32,216499.0
2026-03-12,279.83,274.78,283.83,272.43,172327.0
2026-03-13,270.78,278.33,285.67,270.78,226137.0
2026-03-16,280.0,306.16,306.16,277.0,462736.0
2026-03-17,306.5,296.0,313.0,295.88,390001.0
2026-03-18,305.1,311.25,313.68,302.0,420514.0
2026-03-19,300.0,303.68,309.71,297.0,312146.0
2026-03-20,305.55,290.2,306.7,290.0,312536.0
2026-03-23,277.0,273.35,282.88,271.0,282142.0
2026-03-24,277.99,273.71,278.0,256.88,336915.0
2026-03-25,275.15,278.4,285.8,275.14,283763.0
2026-03-26,268.0,262.0,268.7,260.0,350773.0
2026-03-27,248.98,258.66,260.18,240.25,289773.0
2026-03-30,252.0,255.85,259.54,250.03,214696.0
2026-03-31,249.9,238.1,252.0,236.86,427623.0
2026-04-01,250.0,255.0,256.1,243.7,387958.0
2026-04-02,257.86,246.99,259.8,245.6,252974.0
2026-04-03,250.99,249.1,254.6,247.5,197472.0
2026-04-07,253.1,249.66,255.96,248.81,198472.0
2026-04-08,250.11,255.96,256.96,243.08,753325.0
2026-04-09,250.0,250.49,253.49,243.9,444683.0
