cadence,method,seed,n,correct,accuracy,balanced_accuracy,auc,brier,logloss,actual_up_frequency,predicted_up_fraction,probability_mean,probability_sd,probability_min,probability_max
annual,add,20260910,893,477,0.5341545352743561,0.5337875821914371,0.5375847010992321,0.267454161599193,0.7383482474228559,0.5128779395296752,0.5151175811870101,0.5304961562897365,0.1579576578965114,0.19726248416154096,0.9035162143817728
annual,add,20260911,893,431,0.4826427771556551,0.48299201927420565,0.47533503990362896,0.28903829144429877,0.7865216091321607,0.5128779395296752,0.48600223964165734,0.49193371871495234,0.17479053123276758,0.05480905167435187,0.8680582780976871
annual,add,20260912,893,485,0.5431131019036954,0.5425789288761733,0.533754956582844,0.2637813058555657,0.7260031588711503,0.5128779395296752,0.5218365061590146,0.4947289152695996,0.13540672414341942,0.16240591039396324,0.8678917464858645
annual,order_fixed,20260910,893,478,0.5352743561030235,0.5347061185564423,0.5397530492395723,0.2647663769409536,0.7336234634042877,0.5128779395296752,0.522956326987682,0.529216656314269,0.1504953094753458,0.18403171415704378,0.9489019123420788
annual,order_fixed,20260911,893,432,0.48376259798432253,0.4840260001003865,0.4715404306580334,0.28854502632061646,0.7903837596836918,0.5128779395296752,0.48936170212765956,0.4955866247355727,0.1657864201006109,0.024158163678787595,0.9324858944565739
annual,order_fixed,20260912,893,468,0.5240761478163494,0.523731365758169,0.5134869246599407,0.2700892584468753,0.7416992500327338,0.5128779395296752,0.5139977603583427,0.4874764468695009,0.13440950146077665,0.09213252171571674,0.8519183537837066
annual,order_joint,20260910,893,478,0.5352743561030235,0.5346483963258546,0.5390051699041309,0.265068131929905,0.7342153370237204,0.5128779395296752,0.5251959686450168,0.5296349079646121,0.1509695466349305,0.19498526943544056,0.9477725249616832
annual,order_joint,20260911,893,435,0.48712206047032475,0.4873588315012799,0.47211765296391106,0.2886450462351169,0.7907375261379918,0.5128779395296752,0.49048152295632697,0.4955563462131952,0.1664215096628244,0.02417935758131408,0.9337706454874499
annual,order_joint,20260912,893,470,0.5263157894736842,0.5259724941022939,0.5147568137328715,0.2700597004848818,0.7417316494989663,0.5128779395296752,0.5139977603583427,0.4874313978963661,0.13498703813936874,0.09197594302905768,0.8520590647191664
annual,vol,20260910,893,491,0.5498320268756999,0.5491868694473724,0.5404356773578276,0.26634945797806137,0.7367703941419137,0.5128779395296752,0.5263157894736842,0.5337714510767143,0.15526183642445449,0.15810581421739073,0.9093969483785851
annual,vol,20260911,893,433,0.48488241881298993,0.4857526476936204,0.472514179591427,0.2888114383743551,0.7893986571875841,0.5128779395296752,0.4658454647256439,0.4916162682139613,0.1677597916023499,0.02126696120691095,0.8822188207802174
annual,vol,20260912,893,478,0.5352743561030235,0.5348215630176179,0.5310645987050143,0.26518842898261763,0.7306855723642258,0.5128779395296752,0.5184770436730123,0.49387404287086556,0.13439764147616834,0.09093356951095768,0.8576998493658038
quarterly,add,20260910,893,439,0.4916013437849944,0.49189881042011746,0.49493550168147366,0.2692508490698471,0.7373062559135564,0.5128779395296752,0.48824188129899215,0.5091528274132043,0.13790100565824023,0.09471735558511724,0.8969556296977812
quarterly,add,20260911,893,447,0.5005599104143337,0.5026527129448376,0.5121266877478291,0.2724389935127082,0.7468829518423661,0.5128779395296752,0.41881298992161253,0.4860796845703528,0.14356980277350728,0.16074930404494114,0.880701767790195
quarterly,add,20260912,893,467,0.522956326987682,0.523447773929629,0.5050544596697285,0.2690061665352308,0.7366405811166553,0.5128779395296752,0.48152295632698766,0.4952634501146844,0.13352814703341506,0.1890264786759057,0.8367318933221581
quarterly,order_fixed,20260910,893,442,0.49496080627099664,0.49511619735983536,0.49761582091050544,0.2690821166319774,0.7372952532020197,0.5128779395296752,0.49384098544232924,0.5112252148833235,0.13952087347268646,0.06535284812561919,0.933337964181644
quarterly,order_fixed,20260911,893,461,0.5162374020156775,0.5181097224313608,0.5137981227726748,0.26766327510893045,0.7353260525861609,0.5128779395296752,0.42777155655095184,0.4849055658860024,0.12752940374533525,0.1061249217756574,0.8692860462997101
quarterly,order_fixed,20260912,893,463,0.5184770436730123,0.5193695728554937,0.4976308788837023,0.27345421687875876,0.7489419047535673,0.5128779395296752,0.4658454647256439,0.4812945136665365,0.1333162470598657,0.12025039699926007,0.8848142977726601
quarterly,order_joint,20260910,893,441,0.49384098544232924,0.493966772072479,0.4977664006424735,0.2691320101888717,0.7374614420575358,0.5128779395296752,0.49496080627099664,0.5116305067401652,0.1398827713700607,0.06501965885777519,0.9380869856589813
quarterly,order_joint,20260911,893,461,0.5162374020156775,0.5182251668925363,0.5146564272448928,0.267631632358722,0.7353085188620444,0.5128779395296752,0.4232922732362822,0.4840067635574799,0.1276147000605301,0.10569087576434211,0.8690354221712613
quarterly,order_joint,20260912,893,465,0.5207166853303471,0.5216684234302063,0.4981428499723937,0.2735917446518228,0.7493948833044417,0.5128779395296752,0.46360582306830905,0.48123109694487565,0.13406456133814126,0.12029674225751837,0.8874617983707689
quarterly,vol,20260910,893,443,0.49608062709966405,0.4962079004166039,0.4982482557847714,0.2681450559688189,0.7342580182124113,0.5128779395296752,0.49496080627099664,0.509435264655441,0.13716403563932428,0.06580124285233425,0.9070271782970213
quarterly,vol,20260911,893,452,0.5061590145576708,0.5082843949204437,0.5130100888420419,0.2704236247630887,0.7416122944733702,0.5128779395296752,0.4176931690929451,0.48285836294225043,0.13786419011731915,0.09701847592533303,0.8614948367840027
quarterly,vol,20260912,893,469,0.5251959686450168,0.5252848466596396,0.5074787933544145,0.26898036890216204,0.736780752801882,0.5128779395296752,0.49720044792833146,0.48991248920041247,0.13009498042665013,0.1678534346073973,0.8281801329471052
