name,state,n,correct,accuracy,balanced_accuracy,auc,brier,logloss,actual_up_frequency,predicted_up_fraction,probability_mean,probability_sd,probability_min,probability_max
annual.add.raw,0,212,111,0.5235849056603774,0.5230693863008817,0.5002226774739468,0.26505607279839904,0.7262491323662109,0.4858490566037736,0.4811320754716981,0.4901459475809227,0.1173870367814143,0.2227694772907364,0.734069800248783
annual.add.raw,1,113,57,0.504424778761062,0.4596619897959184,0.20822704081632654,0.3162009375162051,0.842424600824836,0.5663716814159292,0.831858407079646,0.5999346175765635,0.13225556348463866,0.26315872408285196,0.8037768141559932
annual.add.raw,2,238,127,0.5336134453781513,0.5207414902074149,0.5051673050516731,0.26648232706013186,0.7316893589485258,0.42436974789915966,0.4117647058823529,0.49061741006993903,0.13148920525735522,0.2261298081657929,0.8324140065276682
annual.add.raw,3,330,200,0.6060606060606061,0.6090225563909775,0.6058646616541353,0.2459309458375146,0.6865425356634374,0.5757575757575758,0.49696969696969695,0.49435485950008196,0.11579147104502015,0.2017075752059542,0.780424319105793
annual.add.platt,0,212,114,0.5377358490566038,0.5384341320032066,0.5231139217956712,0.2599902473954495,0.7154020902384653,0.4858490566037736,0.5235849056603774,0.5003294981504837,0.11337118716249052,0.2227694772907364,0.734069800248783
annual.add.platt,1,113,56,0.49557522123893805,0.4518494897959184,0.21014030612244897,0.3050724670955803,0.8178720341273822,0.5663716814159292,0.8230088495575221,0.6131660285627779,0.10496287272766523,0.3160996106962973,0.8037768141559932
annual.add.platt,2,238,129,0.542016806722689,0.5410493604104936,0.5575630555756306,0.24697171226658363,0.687236012120806,0.42436974789915966,0.48739495798319327,0.4827217307816772,0.08601326097958965,0.3034079422325675,0.7272498657148151
annual.add.platt,3,330,210,0.6363636363636364,0.6137218045112782,0.6278571428571429,0.23956654462445698,0.6726837989911791,0.5757575757575758,0.6666666666666666,0.5215693004373179,0.08703483480745522,0.3047582098438723,0.780424319105793
annual.add.shrink,0,212,114,0.5377358490566038,0.5384341320032066,0.5167898815355838,0.2604939172884073,0.7164268131525446,0.4858490566037736,0.5235849056603774,0.4986186419674346,0.11248433836559903,0.2227694772907364,0.734069800248783
annual.add.shrink,1,113,56,0.49557522123893805,0.4518494897959184,0.21045918367346939,0.3056674998623712,0.8190774742098582,0.5663716814159292,0.8230088495575221,0.6123064673949181,0.10633807216226879,0.3160996106962973,0.8037768141559932
annual.add.shrink,2,238,132,0.5546218487394958,0.5559008455590084,0.5423140854231409,0.2479919339354783,0.6893088323885577,0.42436974789915966,0.5,0.4802438902461202,0.0835206863629832,0.3034079422325675,0.7272498657148151
annual.add.shrink,3,330,210,0.6363636363636364,0.6137218045112782,0.6351315789473684,0.23991288470431094,0.6733832816485017,0.5757575757575758,0.6666666666666666,0.5171925231052426,0.08578084212244269,0.3047582098438723,0.780424319105793
annual.vol.raw,0,212,109,0.5141509433962265,0.5122917965618599,0.5051215819007749,0.26045562101488173,0.7157225078146705,0.4858490566037736,0.4339622641509434,0.4963233969909902,0.09551481268729366,0.2992793654338665,0.7325385668783841
annual.vol.raw,1,113,57,0.504424778761062,0.4596619897959184,0.20790816326530612,0.32105128578501707,0.8554574162166583,0.5663716814159292,0.831858407079646,0.6019819427563275,0.13997800863442994,0.23802009073312122,0.8117745987186301
annual.vol.raw,2,238,132,0.5546218487394958,0.5415913854159139,0.5057454650574547,0.26500087280978846,0.7277866622588604,0.42436974789915966,0.40756302521008403,0.49337819916356834,0.11968073393505742,0.2505847369953758,0.8247052751481326
annual.vol.raw,3,330,191,0.5787878787878787,0.5796992481203007,0.5956015037593985,0.24884392539202285,0.6934292994468269,0.5757575757575758,0.5060606060606061,0.48959107103717536,0.12325362808616055,0.1764221403257427,0.7738868914730576
annual.vol.platt,0,212,111,0.5235849056603774,0.523336599269618,0.5264095484100828,0.25626578508747166,0.7068987134725444,0.4858490566037736,0.49056603773584906,0.5062205960090838,0.0911392866660838,0.30874289416789397,0.7325385668783841
annual.vol.platt,1,113,56,0.49557522123893805,0.4518494897959184,0.21014030612244897,0.3088230544658231,0.8276284921035283,0.5663716814159292,0.8230088495575221,0.6158286359268592,0.11042947929757874,0.30284743638516154,0.8117745987186301
annual.vol.platt,2,238,132,0.5546218487394958,0.5519982655199827,0.5633446556334466,0.24773915945329122,0.6889111425789965,0.42436974789915966,0.47478991596638653,0.4859100151017603,0.07447438529135214,0.31197936320483954,0.6539312214641618
annual.vol.platt,3,330,204,0.6181818181818182,0.5941729323308271,0.6268421052631579,0.23958851158206507,0.6728252865680245,0.5757575757575758,0.6727272727272727,0.5204465016075773,0.0899522451921968,0.26409021142799477,0.7738868914730576
annual.vol.shrink,0,212,111,0.5235849056603774,0.523336599269618,0.523470205753986,0.25663341060922235,0.7076443971571919,0.4858490566037736,0.49056603773584906,0.5047733517580109,0.09040122440883544,0.30874289416789397,0.7325385668783841
annual.vol.shrink,1,113,57,0.504424778761062,0.4596619897959184,0.20950255102040816,0.30947407556950024,0.8289602556281893,0.5663716814159292,0.831858407079646,0.6149095068090794,0.11200159133357705,0.30284743638516154,0.8117745987186301
annual.vol.shrink,2,238,136,0.5714285714285714,0.5718002457180025,0.5469393654693937,0.24872687803240107,0.6909123976737243,0.42436974789915966,0.49159663865546216,0.48489729734134895,0.0732465957467136,0.31197936320483954,0.6539312214641618
annual.vol.shrink,3,330,203,0.6151515151515151,0.5896616541353383,0.6328759398496241,0.23993718126465172,0.6735291319241667,0.5757575757575758,0.6818181818181818,0.5157424398264441,0.08862169994625035,0.26409021142799477,0.7738868914730576
annual.cal_frequency.raw,0,212,110,0.5188679245283019,0.5064576467444554,0.4272735370089962,0.25057803077174584,0.6943049103131385,0.4858490566037736,0.06132075471698113,0.48985574497585377,0.019156331183587984,0.4603174603174603,0.5357142857142857
annual.cal_frequency.raw,1,113,37,0.3274336283185841,0.36559311224489793,0.38137755102040816,0.26136391095619266,0.7159909949069042,0.5663716814159292,0.19469026548672566,0.503264520125997,0.03324984647699521,0.4603174603174603,0.5674603174603174
annual.cal_frequency.raw,2,238,145,0.6092436974789915,0.5565151405651514,0.6310255113102551,0.24633390560040616,0.6858051506068746,0.42436974789915966,0.14285714285714285,0.49392064639333677,0.019277245105502463,0.4603174603174603,0.5357142857142857
