name,year,n,correct,accuracy,balanced_accuracy,auc,brier,logloss,actual_up_frequency,predicted_up_fraction,probability_mean,probability_sd,probability_min,probability_max
both,2023,242,125,0.5165289256198347,0.5056829852790141,0.5044847654912701,0.2553257684568189,0.7043150040426894,0.47520661157024796,0.2809917355371901,0.46188757732758573,0.07376547645664243,0.3009457224189782,0.6690092052665322
both,2024,242,131,0.5413223140495868,0.5393523262963722,0.5356972057115529,0.24971321246727887,0.6928114208614716,0.49173553719008267,0.38016528925619836,0.48629897971150243,0.0626336656758398,0.257651171913774,0.6755569198161304
both,2025,243,113,0.46502057613168724,0.46242206560043375,0.47451883979398213,0.25570400077084665,0.7047442521443529,0.5102880658436214,0.6255144032921811,0.5213919178050981,0.056493527380220364,0.3525362866068996,0.6890304023071292
both,2026,170,87,0.5117647058823529,0.5117647058823529,0.5332871972318339,0.25083803875331545,0.6950595516377466,0.5,0.5176470588235295,0.5045525244426259,0.056404312806658474,0.3565515550210588,0.7082507403432774
frequency,2023,242,127,0.5247933884297521,0.5,0.5,0.2497577347727198,0.6926626318156027,0.47520661157024796,0.0,0.4945054945054945,0.0,0.4945054945054945,0.4945054945054945
frequency,2024,242,123,0.5082644628099173,0.5,0.5,0.24993193132721767,0.6930110371110899,0.49173553719008267,0.0,0.49221789883268485,0.0,0.49221789883268485,0.49221789883268485
frequency,2025,243,119,0.4897119341563786,0.5,0.5,0.2503189324894875,0.6937851513177706,0.5102880658436214,0.0,0.4896779521056977,5.551115123125783e-17,0.48967795210569776,0.48967795210569776
frequency,2026,170,85,0.5,0.5,0.5,0.25023337545115276,0.6936141494543303,0.5,0.0,0.48472336911643266,5.551115123125783e-17,0.4847233691164327,0.4847233691164327
market,2023,242,126,0.5206611570247934,0.5042793563847997,0.5287915097569326,0.2517250294562456,0.6967803245529046,0.47520661157024796,0.16942148760330578,0.45249406145194887,0.054576719302317535,0.33849334717954777,0.6162088812742003
market,2024,242,132,0.5454545454545454,0.5447837671654028,0.5390448862471818,0.2492053510680557,0.6916485306351119,0.49173553719008267,0.45867768595041325,0.49561018220097625,0.05547723437860577,0.35164520665064614,0.6836982369748348
market,2025,243,112,0.4609053497942387,0.4588980753591759,0.47404445649227434,0.2538398629588489,0.7008748446343053,0.5102880658436214,0.5967078189300411,0.5155820247663473,0.05069397013838727,0.3753567791105832,0.6680285704253545
market,2026,170,90,0.5294117647058824,0.5294117647058824,0.5299653979238754,0.2507136182734011,0.6947234059345663,0.5,0.40588235294117647,0.4915486957162189,0.052197429335437834,0.37095072685265684,0.675714805012187
own,2023,242,126,0.5206611570247934,0.5075659020883259,0.5046901745977405,0.25167613799131694,0.696608807895545,0.47520661157024796,0.23553719008264462,0.47775629354347976,0.03799856720013236,0.3610165150394327,0.6114972810058477
own,2024,242,132,0.5454545454545454,0.5427341668374667,0.534740725558516,0.2493049765026203,0.6917859550133214,0.49173553719008267,0.3347107438016529,0.48990179084282376,0.03941229667468971,0.39571136901662757,0.6269162911372894
own,2025,243,112,0.4609053497942387,0.4607617240444565,0.47709406343182437,0.2531784007099848,0.6995239735996479,0.5102880658436214,0.5061728395061729,0.5087544439307298,0.04567030535291233,0.41799511975320963,0.6532825123489475
own,2026,170,87,0.5117647058823529,0.5117647058823529,0.5270588235294118,0.2508806340383808,0.6950530139800359,0.5,0.47058823529411764,0.49808919880297603,0.05269006365975727,0.39301254230344007,0.6700351621421166
sector,2023,242,124,0.512396694214876,0.5091407052379322,0.4909962341663814,0.25446235670868245,0.702341298284479,0.47520661157024796,0.43388429752066116,0.48225797543824955,0.05901617009184282,0.3212527868713298,0.653024541278272
sector,2024,242,131,0.5413223140495868,0.5397622463619595,0.5400696864111498,0.250458306446764,0.694379638508482,0.49173553719008267,0.4049586776859504,0.49011441503064,0.05325094730007818,0.2741513935893652,0.6454408496033525
sector,2025,243,117,0.48148148148148145,0.48075359175928434,0.47282461371645435,0.25547580364569544,0.7042652049111324,0.5102880658436214,0.5349794238683128,0.5077933725965882,0.05217194066055601,0.35617370872382453,0.6669286142454138
sector,2026,170,86,0.5058823529411764,0.5058823529411764,0.5157093425605537,0.25246336314295786,0.6983635013550779,0.5,0.5117647058823529,0.5046256949354742,0.056412534532783776,0.383841247283368,0.7093379644842337
