name,n,correct,accuracy,balanced_accuracy,auc,brier,logloss,actual_up_frequency,predicted_up_fraction,probability_mean,probability_sd,probability_min,probability_max
annual.add.raw,893,495,0.5543113101903695,0.5540154595191488,0.5244993223912061,0.2648405367741131,0.7277266519076447,0.5128779395296752,0.5128779395296752,0.5057195967580962,0.12781484952663,0.2017075752059542,0.8324140065276682
annual.add.platt,893,509,0.5699888017917133,0.5673367464739246,0.5552778196054811,0.25467788183107903,0.7050757083301116,0.5128779395296752,0.6047032474804032,0.5177640043738528,0.1037930958599337,0.2227694772907364,0.8037768141559932
annual.add.shrink,893,512,0.5733482642777156,0.5706118556442303,0.5518646790142047,0.2552726429772192,0.7062824457184051,0.5128779395296752,0.6080627099664053,0.5149712893796513,0.10294952797599773,0.2227694772907364,0.8037768141559932
annual.vol.raw,893,489,0.5475923852183651,0.5475229634091251,0.5233047231842594,0.2650437738599766,0.7283815835657942,0.5128779395296752,0.503919372900336,0.5064205873871803,0.12412219946173467,0.1764221403257427,0.8247052751481326
annual.vol.platt,893,503,0.5632698768197089,0.5608442503639011,0.5581990664056617,0.2544809410583951,0.7047903061199634,0.5128779395296752,0.5957446808510638,0.5199343016107283,0.09746942503214606,0.26409021142799477,0.8117745987186301
annual.vol.shrink,893,507,0.5677491601343785,0.5650956181297997,0.5553430708226673,0.255042687992783,0.7059293228047385,0.5128779395296752,0.6047032474804032,0.5174661665756909,0.09686719677176894,0.26409021142799477,0.8117745987186301
annual.cal_frequency.raw,893,471,0.5274356103023516,0.5335290869848919,0.5357852733022135,0.2494051680286328,0.6919667207443594,0.5128779395296752,0.2642777155655095,0.5022557549946056,0.027922213024648722,0.4603174603174603,0.5674603174603174
annual.order_joint.raw,893,482,0.5397536394176932,0.5396501530893942,0.5154846157707172,0.2665085963154445,0.7316478819427291,0.5128779395296752,0.5050391937290034,0.5042075506913911,0.1231058714969962,0.1767276409715829,0.8488403981378029
annual.order_joint.platt,893,495,0.5543113101903695,0.5519374592179893,0.5517140992822366,0.2561279899751642,0.7087098482014375,0.5128779395296752,0.593505039193729,0.517969034259528,0.09786549392922621,0.23073382957413271,0.8488403981378029
annual.order_joint.shrink,893,499,0.5587905935050392,0.5562465492144757,0.5504191135873111,0.2566118803133313,0.7096894478647348,0.5128779395296752,0.6002239641657335,0.5155128441296383,0.09709591819861159,0.23073382957413271,0.8488403981378029
annual.order_fixed.raw,893,481,0.5386338185890257,0.5385584500326257,0.5154695577975205,0.2664418664150895,0.7314613455473423,0.5128779395296752,0.503919372900336,0.5040932426397808,0.12261660198645326,0.17662196735742272,0.8485484561858868
annual.order_fixed.platt,893,495,0.5543113101903695,0.5518797369874014,0.5513376499523164,0.2561072756827942,0.7086265370197607,0.5128779395296752,0.5957446808510638,0.5178202830639538,0.09710058226945611,0.2354166011319446,0.8485484561858868
annual.order_fixed.shrink,893,497,0.5565509518477044,0.5540054208703509,0.5498368719570346,0.25657446498511066,0.7095719975454753,0.5128779395296752,0.6002239641657335,0.5155037188274424,0.09638746658595178,0.2354166011319446,0.8485484561858868
annual.frequency.raw,893,435,0.48712206047032475,0.5,0.4839155749636099,0.25056986182616975,0.6942872694280603,0.5128779395296752,0.0,0.49445896588300836,0.005513223460104008,0.4855012427506214,0.4987572493786247
annual.market4.raw,893,467,0.522956326987682,0.5225819404708126,0.5185514229784671,0.2509933909367459,0.6951950688763697,0.5128779395296752,0.5151175811870101,0.5003548158497909,0.05015889112257678,0.36863823092035325,0.6449851167830326
annual.constant50.raw,893,435,0.48712206047032475,0.5,0.5,0.25,0.6931471805599453,0.5128779395296752,0.0,0.5,0.0,0.5,0.5
quarterly.add.raw,893,458,0.5128779395296752,0.5143151131857652,0.510179189881042,0.26381497911646046,0.7244668007333965,0.5128779395296752,0.44456886898096304,0.49683198736608053,0.11325126244437936,0.1934253575500653,0.8113856931825051
