name,n,correct,accuracy,balanced_accuracy,auc,brier,logloss,actual_up_frequency,predicted_up_fraction,probability_mean,probability_sd,probability_min,probability_max
quarterly.add.platt,893,487,0.5453527435610303,0.5449932239120614,0.555669326908598,0.2541001603124387,0.7037567994344056,0.5128779395296752,0.5151175811870101,0.5051670171336847,0.10377268535330682,0.1934253575500653,0.8113856931825051
quarterly.add.shrink,893,488,0.5464725643896976,0.5464312603523566,0.5508557948100186,0.2550883750732839,0.7057674728260606,0.5128779395296752,0.5027995520716685,0.4992086467470688,0.09869899294922112,0.1934253575500653,0.8113856931825051
quarterly.vol.raw,893,462,0.5173572228443449,0.5187396476434272,0.510103900015058,0.26286348807566146,0.7219156916474552,0.5128779395296752,0.44680851063829785,0.494068705599368,0.10979633140374695,0.18392575976646178,0.806652315904993
quarterly.vol.platt,893,490,0.5487122060470325,0.5480951663906038,0.5576268634241831,0.25388803183166025,0.703219646664755,0.5128779395296752,0.5251959686450168,0.5056818218624684,0.09983075481522602,0.18392575976646178,0.806652315904993
quarterly.vol.shrink,893,493,0.5520716685330347,0.5517743311750238,0.55207549063896,0.25477668570976814,0.7050226968309675,0.5128779395296752,0.5128779395296752,0.501087366802442,0.09630793459939273,0.18392575976646178,0.806652315904993
quarterly.cal_frequency.raw,893,447,0.5005599104143337,0.5049038799377603,0.5031772323445264,0.24982007378197327,0.6927965969055916,0.5128779395296752,0.3314669652855543,0.502259285750418,0.028035422088605183,0.4603174603174603,0.5674603174603174
quarterly.order_joint.raw,893,452,0.5061590145576708,0.5074185614616272,0.5017015509712393,0.2635342137871847,0.7233824671470833,0.5128779395296752,0.45128779395296753,0.49228945574750693,0.10745266975038628,0.17550180588173006,0.8205092654003746
quarterly.order_joint.platt,893,485,0.5431131019036954,0.5421748732620589,0.5443959243085881,0.25640422602770757,0.7086747574463675,0.5128779395296752,0.5375139977603584,0.507074024582793,0.0998346688375429,0.17550180588173006,0.8205092654003746
quarterly.order_joint.shrink,893,492,0.5509518477043673,0.550509461426492,0.5430356873964765,0.25684354000478204,0.7095804381358511,0.5128779395296752,0.5184770436730123,0.5013713768779812,0.09638396205752552,0.17550180588173006,0.8205092654003746
quarterly.order_fixed.raw,893,452,0.5061590145576708,0.5074185614616272,0.5012899663705265,0.26353220582322856,0.7233573211508194,0.5128779395296752,0.45128779395296753,0.4924750981452876,0.10713530961665439,0.17729760710533826,0.8203553261850548
quarterly.order_fixed.platt,893,483,0.5408734602463606,0.5399914671485218,0.5438889725442956,0.2563681341305045,0.7085829503535247,0.5128779395296752,0.5352743561030235,0.5070221771267867,0.09946323600407447,0.17729760710533826,0.8203553261850548
quarterly.order_fixed.shrink,893,490,0.5487122060470325,0.5483260553129549,0.5433418661848115,0.256820511803226,0.7095149879129862,0.5128779395296752,0.5162374020156775,0.5012937663264547,0.09597683085702806,0.17729760710533826,0.8203553261850548
quarterly.frequency.raw,893,405,0.45352743561030234,0.4596295738593585,0.41912864528434474,0.25115224257987195,0.6954522702812059,0.5128779395296752,0.2620380739081747,0.4948778703195037,0.007120463249452977,0.48135874067937034,0.5053941908713693
quarterly.market4.raw,893,448,0.5016797312430011,0.5006851377804548,0.49539226020177685,0.2537009412145948,0.7007494066047419,0.5128779395296752,0.5386338185890257,0.5032260621452409,0.055969274342665645,0.36976225364209897,0.6832611495561617
quarterly.constant50.raw,893,435,0.48712206047032475,0.5,0.5,0.25,0.6931471805599453,0.5128779395296752,0.0,0.5,0.0,0.5,0.5
