name,year,n,correct,accuracy,balanced_accuracy,auc,brier,logloss,actual_up_frequency,predicted_up_fraction,probability_mean,probability_sd,probability_min,probability_max
annual.add.raw,2023,242,133,0.5495867768595041,0.5413314077436214,0.5415721064576027,0.25526113516751664,0.7053446317305458,0.45867768595041325,0.39669421487603307,0.479911167589065,0.11598948575394744,0.2227694772907364,0.780424319105793
annual.add.raw,2024,242,134,0.5537190082644629,0.5543032786885246,0.5183060109289618,0.26846715620748657,0.7360343708190024,0.49586776859504134,0.5702479338842975,0.5367575000959258,0.14220869036078507,0.23988737061614832,0.8324140065276682
annual.add.raw,2025,243,125,0.51440329218107,0.5222744881018262,0.49024626452684006,0.2754727783693944,0.7498284309502408,0.5720164609053497,0.448559670781893,0.46979347765311913,0.12043542175940279,0.2017075752059542,0.7512350675568108
annual.add.raw,2026,166,103,0.6204819277108434,0.6092657342657343,0.5677447552447552,0.25795462459499635,0.7158908000941419,0.5301204819277109,0.6927710843373494,0.5506865497319526,0.10615283286459178,0.32453084844472385,0.8037768141559932
annual.add.platt,2023,242,133,0.5495867768595041,0.5413314077436214,0.5415721064576027,0.25526113516751664,0.7053446317305458,0.45867768595041325,0.39669421487603307,0.479911167589065,0.11598948575394744,0.2227694772907364,0.780424319105793
annual.add.platt,2024,242,134,0.5537190082644629,0.5541666666666667,0.5434426229508197,0.2553885265178186,0.7053966687385637,0.49586776859504134,0.5537190082644629,0.5163600472923208,0.10233375188310125,0.3034079422325675,0.734069800248783
annual.add.platt,2025,243,139,0.5720164609053497,0.5290536801328168,0.5442722744881018,0.25115087516268736,0.6971001646487152,0.5720164609053497,0.8024691358024691,0.5343689491730497,0.07496370365998428,0.3047582098438723,0.7512350675568108
annual.add.platt,2026,166,103,0.6204819277108434,0.6092657342657343,0.5677447552447552,0.25795462459499635,0.7158908000941419,0.5301204819277109,0.6927710843373494,0.5506865497319526,0.10615283286459178,0.32453084844472385,0.8037768141559932
annual.add.shrink,2023,242,133,0.5495867768595041,0.5413314077436214,0.5415721064576027,0.25526113516751664,0.7053446317305458,0.45867768595041325,0.39669421487603307,0.479911167589065,0.11598948575394744,0.2227694772907364,0.780424319105793
annual.add.shrink,2024,242,135,0.5578512396694215,0.5583333333333333,0.541051912568306,0.2556632364900017,0.7059519228580092,0.49586776859504134,0.5578512396694215,0.5166233599650268,0.10293387680043409,0.3034079422325675,0.734069800248783
annual.add.shrink,2025,243,141,0.5802469135802469,0.5362479247371333,0.5461400110680686,0.25306298170686387,0.7009818312776869,0.5720164609053497,0.8106995884773662,0.5238437798042562,0.07158253630663652,0.3047582098438723,0.7512350675568108
annual.add.shrink,2026,166,103,0.6204819277108434,0.6092657342657343,0.5677447552447552,0.25795462459499635,0.7158908000941419,0.5301204819277109,0.6927710843373494,0.5506865497319526,0.10615283286459178,0.32453084844472385,0.8037768141559932
annual.vol.raw,2023,242,134,0.5537190082644629,0.5444604910253765,0.5514751392613988,0.2526032009782261,0.6995559868802749,0.45867768595041325,0.384297520661157,0.49111381765192474,0.09303947188497455,0.30874289416789397,0.7738868914730576
annual.vol.raw,2024,242,135,0.5578512396694215,0.5584699453551912,0.5215846994535519,0.26694272915548284,0.7324857070851092,0.49586776859504134,0.5743801652892562,0.5354051676152075,0.14182027238040587,0.22023302133929287,0.8247052751481326
