h,objective,years,cutoff,cadence,n,lower,last_maturity
5,mse,5,2023-03-31,quarterly_full,870,2018-04-01,2023-03-31
5,mse,5,2023-06-30,quarterly_full,929,2018-07-01,2023-06-30
5,mse,5,2023-09-30,quarterly_full,972,2018-10-01,2023-09-28
5,mse,5,2024-03-31,quarterly_full,1082,2019-04-01,2024-03-29
5,mse,5,2024-06-30,quarterly_full,1141,2019-07-01,2024-06-28
5,mse,5,2024-09-30,quarterly_full,1205,2019-10-01,2024-09-30
5,mse,5,2025-03-31,quarterly_full,1206,2020-04-01,2025-03-31
5,mse,5,2025-06-30,quarterly_full,1207,2020-07-01,2025-06-30
5,mse,5,2025-09-30,quarterly_full,1207,2020-10-01,2025-09-30
