method,row_index,date,metric,uniform_loss,intercept_loss,slopes_loss,weighted_loss,total,intercept_at_uniform_slopes,slopes_at_uniform_intercept,intercept_at_weighted_slopes,slopes_at_weighted_intercept,interaction,symmetric_intercept,symmetric_slopes
learned_market,2418,2021-01-08,direction_error,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,2418,2021-01-08,brier,0.25761014043989133,0.26086435998908003,0.2745788024450449,0.2779355512971863,0.020325410857294945,0.003254219549188697,0.016968662005153567,0.003356748852141378,0.01707119130810625,0.00010252930295268081,0.0033054842006650376,0.017019926656629908
learned_market,2423,2021-01-15,direction_error,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,2423,2021-01-15,brier,0.4032117582788046,0.39981379680874146,0.36215363239770226,0.35872492010459633,-0.04448683817420829,-0.00339796147006316,-0.04105812588110236,-0.003428712293105929,-0.04108887670414513,-3.075082304276888e-05,-0.0034133368815845444,-0.04107350129262374
learned_market,2428,2021-01-22,direction_error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,2428,2021-01-22,brier,0.14949408906492967,0.1517066631612249,0.17291074690954122,0.17535932578255267,0.025865236717623002,0.0022125740962952167,0.023416657844611555,0.0024485788730114477,0.023652662621327786,0.000236004776716231,0.0023305764846533322,0.02353466023296967
learned_market,2433,2021-01-29,direction_error,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
learned_market,2433,2021-01-29,brier,0.3350706020245158,0.33150485143496733,0.320637830953685,0.3171079284426338,-0.01796267358188197,-0.0035657505895484443,-0.014432771070830797,-0.003529902511051175,-0.014396922992333527,3.584807849726923e-05,-0.0035478265502998096,-0.014414847031582162
learned_market,2438,2021-02-05,direction_error,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,-0.5,-0.5
learned_market,2438,2021-02-05,brier,0.2514206225949235,0.2482511801542043,0.21492864037667836,0.21204411536064732,-0.03937650723427616,-0.003169442440719178,-0.03649198221824512,-0.0028845250160310365,-0.03620706479355698,0.00028491742468816916,-0.003026983728375107,-0.03634952350590105
