cutoff,seed,train_n,test_n,last_joint_completed,exact_shared_designs,source_coefficients_verified,endpoint_heads_replayed
2020-12-31,20260910,1212,50,2020-12-31,True,True,8
2020-12-31,20260911,1212,50,2020-12-31,True,True,8
2020-12-31,20260912,1212,50,2020-12-31,True,True,8
2021-12-31,20260910,1211,49,2021-12-31,True,True,8
2021-12-31,20260911,1211,49,2021-12-31,True,True,8
2021-12-31,20260912,1211,49,2021-12-31,True,True,8
2022-12-31,20260910,1209,48,2022-12-30,True,True,8
2022-12-31,20260911,1209,48,2022-12-30,True,True,8
2022-12-31,20260912,1209,48,2022-12-30,True,True,8
2023-12-31,20260910,1208,47,2023-12-29,True,True,8
2023-12-31,20260911,1208,47,2023-12-29,True,True,8
2023-12-31,20260912,1208,47,2023-12-29,True,True,8
2024-12-31,20260910,1206,48,2024-12-31,True,True,8
2024-12-31,20260911,1206,48,2024-12-31,True,True,8
2024-12-31,20260912,1206,48,2024-12-31,True,True,8
2025-12-31,20260910,1206,30,2025-12-31,True,True,8
2025-12-31,20260911,1206,30,2025-12-31,True,True,8
2025-12-31,20260912,1206,30,2025-12-31,True,True,8
