period,history,method,reference_history,n,changed_probability_weeks,recoveries,regressions,brier_difference
extension_2021_2023,annual_head_weighted_intercept,learned_market,rolling5_annual20,147,147,7,1,-0.001345472978794173
extension_2021_2023,annual_head_weighted_intercept,learned_market,annual_head_timeweight2y,147,147,7,4,0.0039989562613876655
extension_2021_2023,annual_head_weighted_intercept,learned_market,weekly_state_validated,147,147,5,1,-0.0008283891645717131
extension_2021_2023,annual_head_weighted_intercept,learned_order_extension,rolling5_annual20,147,147,5,2,-0.0014832570450572609
extension_2021_2023,annual_head_weighted_intercept,learned_order_extension,annual_head_timeweight2y,147,147,4,4,0.0047319503718208575
extension_2021_2023,annual_head_weighted_intercept,learned_order_extension,weekly_state_validated,147,147,4,2,-0.0008990303922406806
extension_2021_2023,annual_head_weighted_intercept,learned_order_offset,rolling5_annual20,147,147,5,3,-0.0014877720957346204
extension_2021_2023,annual_head_weighted_intercept,learned_order_offset,annual_head_timeweight2y,147,147,4,4,0.0043969390307935065
extension_2021_2023,annual_head_weighted_intercept,learned_order_offset,weekly_state_validated,147,147,4,3,-0.000896447168613082
extension_2021_2023,annual_head_weighted_intercept,learned_vol_interaction,rolling5_annual20,147,147,3,2,-0.0014270846475417814
extension_2021_2023,annual_head_weighted_intercept,learned_vol_interaction,annual_head_timeweight2y,147,147,5,3,0.003571390349939042
extension_2021_2023,annual_head_weighted_intercept,learned_vol_interaction,weekly_state_validated,147,147,2,2,-0.0008764629016532845
extension_2021_2023,annual_head_weighted_slopes,learned_market,rolling5_annual20,147,147,7,5,-0.004146696115154275
extension_2021_2023,annual_head_weighted_slopes,learned_market,annual_head_timeweight2y,147,147,2,3,0.0011977331250275626
extension_2021_2023,annual_head_weighted_slopes,learned_market,weekly_state_validated,147,147,6,6,-0.003629612300931815
extension_2021_2023,annual_head_weighted_slopes,learned_order_extension,rolling5_annual20,147,147,5,3,-0.004868831804890588
extension_2021_2023,annual_head_weighted_slopes,learned_order_extension,annual_head_timeweight2y,147,147,2,3,0.0013463756119875313
extension_2021_2023,annual_head_weighted_slopes,learned_order_extension,weekly_state_validated,147,147,5,4,-0.004284605152074008
extension_2021_2023,annual_head_weighted_slopes,learned_order_offset,rolling5_annual20,147,147,5,3,-0.004565205213973376
extension_2021_2023,annual_head_weighted_slopes,learned_order_offset,annual_head_timeweight2y,147,147,2,2,0.0013195059125547517
extension_2021_2023,annual_head_weighted_slopes,learned_order_offset,weekly_state_validated,147,147,5,4,-0.003973880286851837
extension_2021_2023,annual_head_weighted_slopes,learned_vol_interaction,rolling5_annual20,147,147,4,6,-0.0037273570810406275
extension_2021_2023,annual_head_weighted_slopes,learned_vol_interaction,annual_head_timeweight2y,147,147,0,1,0.001271117916440196
extension_2021_2023,annual_head_weighted_slopes,learned_vol_interaction,weekly_state_validated,147,147,3,6,-0.0031767353351521304
recent_2024_2026,annual_head_weighted_intercept,learned_market,rolling5_annual20,125,125,4,4,0.0025071240744269723
recent_2024_2026,annual_head_weighted_intercept,learned_market,annual_head_timeweight2y,125,125,5,6,-0.0016130930626719986
recent_2024_2026,annual_head_weighted_intercept,learned_market,weekly_state_validated,125,125,4,3,0.003182001207844638
recent_2024_2026,annual_head_weighted_intercept,learned_order_extension,rolling5_annual20,125,125,5,9,0.0023906160775405048
recent_2024_2026,annual_head_weighted_intercept,learned_order_extension,annual_head_timeweight2y,125,125,10,6,-0.0035772999907922078
recent_2024_2026,annual_head_weighted_intercept,learned_order_extension,weekly_state_validated,125,125,4,9,0.0032780760446582753
recent_2024_2026,annual_head_weighted_intercept,learned_order_offset,rolling5_annual20,125,125,5,8,0.0024476616768406025
recent_2024_2026,annual_head_weighted_intercept,learned_order_offset,annual_head_timeweight2y,125,125,10,7,-0.003572464224589789
recent_2024_2026,annual_head_weighted_intercept,learned_order_offset,weekly_state_validated,125,125,4,8,0.0033392892439817585
recent_2024_2026,annual_head_weighted_intercept,learned_vol_interaction,rolling5_annual20,125,125,7,3,0.0025308035232595684
recent_2024_2026,annual_head_weighted_intercept,learned_vol_interaction,annual_head_timeweight2y,125,125,9,3,-0.002693579473653374
recent_2024_2026,annual_head_weighted_intercept,learned_vol_interaction,weekly_state_validated,125,125,6,3,0.0032173107429944764
recent_2024_2026,annual_head_weighted_slopes,learned_market,rolling5_annual20,125,125,8,5,0.0014013645504607009
recent_2024_2026,annual_head_weighted_slopes,learned_market,annual_head_timeweight2y,125,125,8,6,-0.0027188525866382695
recent_2024_2026,annual_head_weighted_slopes,learned_market,weekly_state_validated,125,125,9,5,0.0020762416838783658
recent_2024_2026,annual_head_weighted_slopes,learned_order_extension,rolling5_annual20,125,125,4,8,0.0032460323611539542
