cutoff,seed,method,row_index,date,uniform_logit,weighted_logit,intercept_hybrid_logit,slopes_hybrid_logit,intercept_change,slopes_change,identity_residual
2020-12-31,20260910,learned_market,2418,2021-01-08,0.21213986006866487,0.20783988414583926,0.21087351191545642,0.20910623229904768,-0.0012663481532084464,-0.00303362776961715,-8.673617379884035e-18
2020-12-31,20260910,learned_market,2423,2021-01-15,-0.013033535976633454,0.002878484864623193,-0.0142998841298419,0.0041448330178316395,-0.0012663481532084464,0.017178368994464885,2.0816681711721685e-16
2020-12-31,20260910,learned_market,2428,2021-01-22,-0.4331948046538579,-0.33528799227014894,-0.4344611528070663,-0.33402164411694046,-0.0012663481532084464,0.09917316053691763,-2.220446049250313e-16
2020-12-31,20260910,learned_market,2433,2021-01-29,-0.27632576788155083,-0.16805286663994914,-0.2775921160347593,-0.1667865184867407,-0.0012663481532084464,0.10953924939481027,-1.3877787807814457e-16
2020-12-31,20260910,learned_market,2438,2021-02-05,-0.39057336036372636,-0.1643511608498601,-0.39183970851693484,-0.16308481269665165,-0.0012663481532084464,0.2274885476670748,-8.326672684688674e-17
2020-12-31,20260910,learned_market,2443,2021-02-19,-0.019447373610946117,0.10087536037200395,-0.020713721764154563,0.1021417085252124,-0.0012663481532084464,0.12158908213615835,1.6653345369377348e-16
2020-12-31,20260910,learned_market,2448,2021-02-26,-0.2690032595208709,-0.11309500047400758,-0.27026960767407937,-0.11182865232079914,-0.0012663481532084464,0.15717460720007176,0.0
2020-12-31,20260910,learned_market,2453,2021-03-05,-0.3999924543349954,-0.24364775116835613,-0.4012588024882039,-0.24238140301514768,-0.0012663481532084464,0.1576110513198477,2.7755575615628914e-17
2020-12-31,20260910,learned_market,2458,2021-03-12,-0.10826598996899542,-0.3645100555286006,-0.10953233812220387,-0.3632437073753922,-0.0012663481532084464,-0.25497771740639674,0.0
2020-12-31,20260910,learned_market,2463,2021-03-19,0.7459922662855905,0.591207480750953,0.744725918132382,0.5924738289041614,-0.0012663481532084464,-0.15351843738142917,1.3877787807814457e-16
