period,method,metric,n,total,intercept_at_uniform_slopes,slopes_at_uniform_intercept,intercept_at_weighted_slopes,slopes_at_weighted_intercept,interaction,symmetric_intercept,symmetric_slopes
extension_2021_2023,learned_market,brier,147,-0.0053444292401818375,-0.001345472978794173,-0.004146696115154275,-0.0011977331250275626,-0.0039989562613876655,0.00014773985376660974,-0.0012716030519108678,-0.004072826188270969
extension_2021_2023,learned_market,direction_error,147,-0.02040816326530612,-0.04081632653061224,-0.013605442176870748,-0.006802721088435374,0.02040816326530612,0.034013605442176874,-0.023809523809523808,0.003401360544217687
extension_2021_2023,learned_order_extension,brier,147,-0.00621520741687812,-0.0014832570450572609,-0.004868831804890588,-0.0013463756119875313,-0.0047319503718208575,0.00013688143306972897,-0.0014148163285223956,-0.004800391088355724
extension_2021_2023,learned_order_extension,direction_error,147,-0.02040816326530612,-0.02040816326530612,-0.013605442176870748,-0.006802721088435374,0.0,0.013605442176870748,-0.013605442176870748,-0.006802721088435374
extension_2021_2023,learned_order_offset,brier,147,-0.0058847111265281265,-0.0014877720957346204,-0.004565205213973376,-0.0013195059125547517,-0.0043969390307935065,0.0001682661831798691,-0.0014036390041446858,-0.004481072122383441
extension_2021_2023,learned_order_offset,direction_error,147,-0.013605442176870748,-0.013605442176870748,-0.013605442176870748,0.0,0.0,0.013605442176870748,-0.006802721088435374,-0.006802721088435374
extension_2021_2023,learned_vol_interaction,brier,147,-0.004998474997480824,-0.0014270846475417814,-0.0037273570810406275,-0.001271117916440196,-0.003571390349939042,0.0001559667311015856,-0.0013491012819909888,-0.003649373715489835
extension_2021_2023,learned_vol_interaction,direction_error,147,0.006802721088435374,-0.006802721088435374,0.013605442176870748,-0.006802721088435374,0.013605442176870748,0.0,-0.006802721088435374,0.013605442176870748
recent_2024_2026,learned_market,brier,125,0.004120217137098971,0.0025071240744269723,0.0014013645504607009,0.0027188525866382695,0.0016130930626719986,0.00021172851221129853,0.002612988330532621,0.0015072288065663489
recent_2024_2026,learned_market,direction_error,125,-0.008,0.0,-0.024,0.016,-0.008,0.016,0.008,-0.016
recent_2024_2026,learned_order_extension,brier,125,0.005967916068332713,0.0023906160775405048,0.0032460323611539542,0.002721883707178758,0.0035772999907922078,0.00033126762963825397,0.0025562498923596307,0.003411666175973082
recent_2024_2026,learned_order_extension,direction_error,125,0.064,0.032,0.032,0.032,0.032,0.0,0.032,0.032
recent_2024_2026,learned_order_offset,brier,125,0.0060201259014303924,0.0024476616768406025,0.003249497307250344,0.002770628594180049,0.003572464224589789,0.0003229669173394446,0.002609145135510325,0.003410980765920067
recent_2024_2026,learned_order_offset,direction_error,125,0.048,0.024,0.016,0.032,0.024,0.008,0.028,0.02
recent_2024_2026,learned_vol_interaction,brier,125,0.005224382996912942,0.0025308035232595684,0.002419244837483462,0.0028051381594294796,0.002693579473653374,0.0002743346361699125,0.002667970841344524,0.002556412155568418
