period,method,view,origins,complete_origins,incomplete_origins,complete_reached_before_expiry,origins_with_no_preexpiry_checkpoint,unique_source_state_events,ready_with_observed_same_state_followup,ready_with_no_observed_same_state_followup,reached_before_expiry,reached_only_at_expiry,not_reached_by_expiry,observation_censored
all_2020_2026,learned_market,cumulative,19,18,1,1,7,19,1,0,1,2,15,1
all_2020_2026,learned_market,rolling13,19,18,1,1,7,19,1,0,1,2,15,1
all_2020_2026,learned_order_extension,cumulative,22,22,0,1,10,22,1,0,1,5,16,0
all_2020_2026,learned_order_extension,rolling13,22,22,0,1,10,22,1,0,1,5,16,0
all_2020_2026,learned_order_offset,cumulative,22,22,0,1,10,22,1,0,1,5,16,0
all_2020_2026,learned_order_offset,rolling13,22,22,0,1,10,22,1,0,1,5,16,0
all_2020_2026,learned_vol_interaction,cumulative,21,19,2,1,7,21,1,0,1,4,14,2
all_2020_2026,learned_vol_interaction,rolling13,21,19,2,1,7,21,1,0,1,4,14,2
early_2021_2023,learned_market,cumulative,8,8,0,1,4,8,1,0,1,1,6,0
early_2021_2023,learned_market,rolling13,8,8,0,1,4,8,1,0,1,1,6,0
early_2021_2023,learned_order_extension,cumulative,8,8,0,1,4,8,1,0,1,1,6,0
early_2021_2023,learned_order_extension,rolling13,8,8,0,1,4,8,1,0,1,1,6,0
early_2021_2023,learned_order_offset,cumulative,8,8,0,1,4,8,1,0,1,1,6,0
early_2021_2023,learned_order_offset,rolling13,8,8,0,1,4,8,1,0,1,1,6,0
early_2021_2023,learned_vol_interaction,cumulative,7,7,0,1,3,7,1,0,1,1,5,0
early_2021_2023,learned_vol_interaction,rolling13,7,7,0,1,3,7,1,0,1,1,5,0
recent_2024_2026,learned_market,cumulative,11,10,1,0,3,11,0,0,0,1,9,1
recent_2024_2026,learned_market,rolling13,11,10,1,0,3,11,0,0,0,1,9,1
recent_2024_2026,learned_order_extension,cumulative,14,14,0,0,6,14,0,0,0,4,10,0
recent_2024_2026,learned_order_extension,rolling13,14,14,0,0,6,14,0,0,0,4,10,0
recent_2024_2026,learned_order_offset,cumulative,14,14,0,0,6,14,0,0,0,4,10,0
recent_2024_2026,learned_order_offset,rolling13,14,14,0,0,6,14,0,0,0,4,10,0
recent_2024_2026,learned_vol_interaction,cumulative,14,12,2,0,4,14,0,0,0,3,9,2
recent_2024_2026,learned_vol_interaction,rolling13,14,12,2,0,4,14,0,0,0,3,9,2
year_2022,learned_market,cumulative,5,5,0,0,3,5,0,0,0,0,5,0
year_2022,learned_market,rolling13,5,5,0,0,3,5,0,0,0,0,5,0
year_2022,learned_order_extension,cumulative,5,5,0,0,3,5,0,0,0,0,5,0
year_2022,learned_order_extension,rolling13,5,5,0,0,3,5,0,0,0,0,5,0
year_2022,learned_order_offset,cumulative,5,5,0,0,3,5,0,0,0,0,5,0
year_2022,learned_order_offset,rolling13,5,5,0,0,3,5,0,0,0,0,5,0
year_2022,learned_vol_interaction,cumulative,4,4,0,0,2,4,0,0,0,0,4,0
year_2022,learned_vol_interaction,rolling13,4,4,0,0,2,4,0,0,0,0,4,0
year_2023,learned_market,cumulative,3,3,0,1,1,3,1,0,1,1,1,0
year_2023,learned_market,rolling13,3,3,0,1,1,3,1,0,1,1,1,0
year_2023,learned_order_extension,cumulative,3,3,0,1,1,3,1,0,1,1,1,0
year_2023,learned_order_extension,rolling13,3,3,0,1,1,3,1,0,1,1,1,0
year_2023,learned_order_offset,cumulative,3,3,0,1,1,3,1,0,1,1,1,0
year_2023,learned_order_offset,rolling13,3,3,0,1,1,3,1,0,1,1,1,0
year_2023,learned_vol_interaction,cumulative,3,3,0,1,1,3,1,0,1,1,1,0
year_2023,learned_vol_interaction,rolling13,3,3,0,1,1,3,1,0,1,1,1,0
year_2024,learned_market,cumulative,5,5,0,0,1,5,0,0,0,0,5,0
year_2024,learned_market,rolling13,5,5,0,0,1,5,0,0,0,0,5,0
year_2024,learned_order_extension,cumulative,8,8,0,0,3,8,0,0,0,2,6,0
year_2024,learned_order_extension,rolling13,8,8,0,0,3,8,0,0,0,2,6,0
year_2024,learned_order_offset,cumulative,8,8,0,0,3,8,0,0,0,2,6,0
year_2024,learned_order_offset,rolling13,8,8,0,0,3,8,0,0,0,2,6,0
year_2024,learned_vol_interaction,cumulative,7,7,0,0,2,7,0,0,0,2,5,0
year_2024,learned_vol_interaction,rolling13,7,7,0,0,2,7,0,0,0,2,5,0
year_2025,learned_market,cumulative,5,5,0,0,2,5,0,0,0,1,4,0
year_2025,learned_market,rolling13,5,5,0,0,2,5,0,0,0,1,4,0
year_2025,learned_order_extension,cumulative,6,6,0,0,3,6,0,0,0,2,4,0
year_2025,learned_order_extension,rolling13,6,6,0,0,3,6,0,0,0,2,4,0
year_2025,learned_order_offset,cumulative,6,6,0,0,3,6,0,0,0,2,4,0
year_2025,learned_order_offset,rolling13,6,6,0,0,3,6,0,0,0,2,4,0
year_2025,learned_vol_interaction,cumulative,5,5,0,0,2,5,0,0,0,1,4,0
year_2025,learned_vol_interaction,rolling13,5,5,0,0,2,5,0,0,0,1,4,0
year_2026,learned_market,cumulative,1,0,1,0,0,1,0,0,0,0,0,1
year_2026,learned_market,rolling13,1,0,1,0,0,1,0,0,0,0,0,1
year_2026,learned_vol_interaction,cumulative,2,0,2,0,0,2,0,0,0,0,0,2
year_2026,learned_vol_interaction,rolling13,2,0,2,0,0,2,0,0,0,0,0,2
