event_id,source_cutoff,state,expiry,view,methods,method_count,planned_preexpiry_checkpoints,classification,first_preexpiry_ready_decision,horizon_complete,expiry_n,observed_followup_same_state_weeks
2024-05-31:nonnegative_low,2024-05-31,nonnegative_low,2024-06-30,rolling13,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,0,not_reached_by_expiry,,True,3.0,0
2024-06-30:nonnegative_low,2024-06-30,nonnegative_low,2024-09-30,cumulative,learned_market;learned_vol_interaction,2,2,not_reached_by_expiry,,True,1.0,0
2024-06-30:nonnegative_low,2024-06-30,nonnegative_low,2024-09-30,rolling13,learned_market;learned_vol_interaction,2,2,not_reached_by_expiry,,True,1.0,0
2024-07-31:negative_low,2024-07-31,negative_low,2024-09-30,cumulative,learned_order_extension;learned_order_offset;learned_vol_interaction,3,1,reached_only_at_expiry,,True,9.0,0
2024-07-31:negative_low,2024-07-31,negative_low,2024-09-30,rolling13,learned_order_extension;learned_order_offset;learned_vol_interaction,3,1,reached_only_at_expiry,,True,9.0,0
2024-07-31:nonnegative_low,2024-07-31,nonnegative_low,2024-09-30,cumulative,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,1,not_reached_by_expiry,,True,0.0,0
2024-07-31:nonnegative_low,2024-07-31,nonnegative_low,2024-09-30,rolling13,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,1,not_reached_by_expiry,,True,0.0,0
2024-08-31:negative_low,2024-08-31,negative_low,2024-09-30,cumulative,learned_order_extension;learned_order_offset;learned_vol_interaction,3,0,reached_only_at_expiry,,True,5.0,0
2024-08-31:negative_low,2024-08-31,negative_low,2024-09-30,rolling13,learned_order_extension;learned_order_offset;learned_vol_interaction,3,0,reached_only_at_expiry,,True,5.0,0
2024-09-30:negative_low,2024-09-30,negative_low,2024-12-31,cumulative,learned_order_extension;learned_order_offset,2,2,not_reached_by_expiry,,True,0.0,0
2024-09-30:negative_low,2024-09-30,negative_low,2024-12-31,rolling13,learned_order_extension;learned_order_offset,2,2,not_reached_by_expiry,,True,0.0,0
2024-10-31:negative_low,2024-10-31,negative_low,2024-12-31,cumulative,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,1,not_reached_by_expiry,,True,0.0,0
2024-10-31:negative_low,2024-10-31,negative_low,2024-12-31,rolling13,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,1,not_reached_by_expiry,,True,0.0,0
2024-11-30:negative_low,2024-11-30,negative_low,2024-12-31,cumulative,learned_order_extension;learned_order_offset,2,0,not_reached_by_expiry,,True,0.0,0
2024-11-30:negative_low,2024-11-30,negative_low,2024-12-31,rolling13,learned_order_extension;learned_order_offset,2,0,not_reached_by_expiry,,True,0.0,0
2025-04-30:negative_low,2025-04-30,negative_low,2025-06-30,cumulative,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,1,reached_only_at_expiry,,True,7.0,0
2025-04-30:negative_low,2025-04-30,negative_low,2025-06-30,rolling13,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,1,reached_only_at_expiry,,True,7.0,0
2025-05-31:negative_low,2025-05-31,negative_low,2025-06-30,cumulative,learned_order_extension;learned_order_offset,2,0,reached_only_at_expiry,,True,5.0,0
2025-05-31:negative_low,2025-05-31,negative_low,2025-06-30,rolling13,learned_order_extension;learned_order_offset,2,0,reached_only_at_expiry,,True,5.0,0
2025-06-30:negative_low,2025-06-30,negative_low,2025-09-30,cumulative,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,2,not_reached_by_expiry,,True,0.0,0
2025-06-30:negative_low,2025-06-30,negative_low,2025-09-30,rolling13,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,2,not_reached_by_expiry,,True,0.0,0
2025-08-31:nonnegative_low,2025-08-31,nonnegative_low,2025-09-30,cumulative,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,0,not_reached_by_expiry,,True,2.0,0
2025-08-31:nonnegative_low,2025-08-31,nonnegative_low,2025-09-30,rolling13,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,0,not_reached_by_expiry,,True,2.0,0
2025-10-31:nonnegative_high,2025-10-31,nonnegative_high,2025-12-31,cumulative,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,1,not_reached_by_expiry,,True,4.0,0
2025-10-31:nonnegative_high,2025-10-31,nonnegative_high,2025-12-31,rolling13,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,1,not_reached_by_expiry,,True,4.0,0
2025-11-30:nonnegative_high,2025-11-30,nonnegative_high,2025-12-31,cumulative,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,0,not_reached_by_expiry,,True,1.0,0
2025-11-30:nonnegative_high,2025-11-30,nonnegative_high,2025-12-31,rolling13,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,0,not_reached_by_expiry,,True,1.0,0
2026-06-30:nonnegative_high,2026-06-30,nonnegative_high,2026-09-30,cumulative,learned_market;learned_vol_interaction,2,2,observation_censored,,False,,0
2026-06-30:nonnegative_high,2026-06-30,nonnegative_high,2026-09-30,rolling13,learned_market;learned_vol_interaction,2,2,observation_censored,,False,,0
2026-07-31:nonnegative_high,2026-07-31,nonnegative_high,2026-09-30,cumulative,learned_vol_interaction,1,1,observation_censored,,False,,0
2026-07-31:nonnegative_high,2026-07-31,nonnegative_high,2026-09-30,rolling13,learned_vol_interaction,1,1,observation_censored,,False,,0
