event_id,source_cutoff,state,expiry,view,methods,method_count,planned_preexpiry_checkpoints,classification,first_preexpiry_ready_decision,horizon_complete,expiry_n,observed_followup_same_state_weeks
2022-05-31:negative_high,2022-05-31,negative_high,2022-06-30,cumulative,learned_market;learned_order_extension;learned_order_offset,3,0,not_reached_by_expiry,,True,2.0,0
2022-05-31:negative_high,2022-05-31,negative_high,2022-06-30,rolling13,learned_market;learned_order_extension;learned_order_offset,3,0,not_reached_by_expiry,,True,2.0,0
2022-06-30:negative_high,2022-06-30,negative_high,2022-09-30,cumulative,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,2,not_reached_by_expiry,,True,0.0,0
2022-06-30:negative_high,2022-06-30,negative_high,2022-09-30,rolling13,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,2,not_reached_by_expiry,,True,0.0,0
2022-10-31:negative_low,2022-10-31,negative_low,2022-12-31,cumulative,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,1,not_reached_by_expiry,,True,0.0,0
2022-10-31:negative_low,2022-10-31,negative_low,2022-12-31,rolling13,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,1,not_reached_by_expiry,,True,0.0,0
2022-11-30:negative_high,2022-11-30,negative_high,2022-12-31,cumulative,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,0,not_reached_by_expiry,,True,3.0,0
2022-11-30:negative_high,2022-11-30,negative_high,2022-12-31,rolling13,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,0,not_reached_by_expiry,,True,3.0,0
2022-11-30:negative_low,2022-11-30,negative_low,2022-12-31,cumulative,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,0,not_reached_by_expiry,,True,0.0,0
2022-11-30:negative_low,2022-11-30,negative_low,2022-12-31,rolling13,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,0,not_reached_by_expiry,,True,0.0,0
2023-09-30:negative_low,2023-09-30,negative_low,2023-12-31,cumulative,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,2,reached_before_expiry,2023-11-30,True,11.0,5
2023-09-30:negative_low,2023-09-30,negative_low,2023-12-31,rolling13,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,2,reached_before_expiry,2023-11-30,True,11.0,5
2023-10-31:negative_low,2023-10-31,negative_low,2023-12-31,cumulative,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,1,reached_only_at_expiry,,True,8.0,0
2023-10-31:negative_low,2023-10-31,negative_low,2023-12-31,rolling13,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,1,reached_only_at_expiry,,True,8.0,0
2023-11-30:negative_low,2023-11-30,negative_low,2023-12-31,cumulative,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,0,not_reached_by_expiry,,True,4.0,0
2023-11-30:negative_low,2023-11-30,negative_low,2023-12-31,rolling13,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,0,not_reached_by_expiry,,True,4.0,0
2024-03-31:negative_low,2024-03-31,negative_low,2024-06-30,cumulative,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,2,not_reached_by_expiry,,True,1.0,0
2024-03-31:negative_low,2024-03-31,negative_low,2024-06-30,rolling13,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,2,not_reached_by_expiry,,True,1.0,0
2024-05-31:nonnegative_low,2024-05-31,nonnegative_low,2024-06-30,cumulative,learned_market;learned_order_extension;learned_order_offset;learned_vol_interaction,4,0,not_reached_by_expiry,,True,3.0,0
