origin_id,event_id,source_cutoff,method,state,row_index,date,joint_completed,arrival_rank,signal_precedes_or_equals_source,maturity_age_days
2022-05-31:learned_market:negative_high,2022-05-31:negative_high,2022-05-31,learned_market,negative_high,2750,2022-05-27,2022-06-13,1,True,13
2022-05-31:learned_market:negative_high,2022-05-31:negative_high,2022-05-31,learned_market,negative_high,2759,2022-06-10,2022-06-20,2,False,20
2022-05-31:learned_order_extension:negative_high,2022-05-31:negative_high,2022-05-31,learned_order_extension,negative_high,2750,2022-05-27,2022-06-13,1,True,13
2022-05-31:learned_order_extension:negative_high,2022-05-31:negative_high,2022-05-31,learned_order_extension,negative_high,2759,2022-06-10,2022-06-20,2,False,20
2022-05-31:learned_order_offset:negative_high,2022-05-31:negative_high,2022-05-31,learned_order_offset,negative_high,2750,2022-05-27,2022-06-13,1,True,13
2022-05-31:learned_order_offset:negative_high,2022-05-31:negative_high,2022-05-31,learned_order_offset,negative_high,2759,2022-06-10,2022-06-20,2,False,20
2022-11-30:learned_market:negative_high,2022-11-30:negative_high,2022-11-30,learned_market,negative_high,2873,2022-11-25,2022-12-05,1,True,5
2022-11-30:learned_market:negative_high,2022-11-30:negative_high,2022-11-30,learned_market,negative_high,2878,2022-12-02,2022-12-12,2,False,12
2022-11-30:learned_market:negative_high,2022-11-30:negative_high,2022-11-30,learned_market,negative_high,2883,2022-12-09,2022-12-19,3,False,19
2022-11-30:learned_order_extension:negative_high,2022-11-30:negative_high,2022-11-30,learned_order_extension,negative_high,2873,2022-11-25,2022-12-05,1,True,5
2022-11-30:learned_order_extension:negative_high,2022-11-30:negative_high,2022-11-30,learned_order_extension,negative_high,2878,2022-12-02,2022-12-12,2,False,12
2022-11-30:learned_order_extension:negative_high,2022-11-30:negative_high,2022-11-30,learned_order_extension,negative_high,2883,2022-12-09,2022-12-19,3,False,19
2022-11-30:learned_order_offset:negative_high,2022-11-30:negative_high,2022-11-30,learned_order_offset,negative_high,2873,2022-11-25,2022-12-05,1,True,5
2022-11-30:learned_order_offset:negative_high,2022-11-30:negative_high,2022-11-30,learned_order_offset,negative_high,2878,2022-12-02,2022-12-12,2,False,12
2022-11-30:learned_order_offset:negative_high,2022-11-30:negative_high,2022-11-30,learned_order_offset,negative_high,2883,2022-12-09,2022-12-19,3,False,19
