origin_id,event_id,source_cutoff,method,state,expiry,source_year,source_training_n,source_validation_n,horizon_days,planned_checkpoints,planned_preexpiry_checkpoints,view,classification,first_ready_decision,first_preexpiry_ready_decision,fifth_maturity_date,days_until_preexpiry_ready,days_remaining_at_preexpiry_ready,horizon_complete,observed_checkpoints,observed_preexpiry_checkpoints,last_observed_checkpoint,last_observed_n,expiry_n,observed_followup_all_state_weeks,observed_followup_same_state_weeks,followup_observation_censored
2022-05-31:learned_market:negative_high,2022-05-31:negative_high,2022-05-31,learned_market,negative_high,2022-06-30,2022,19,12,30,1,0,cumulative,not_reached_by_expiry,,,,,,True,1,0,2022-06-30,2,2.0,0,0,False
2022-05-31:learned_market:negative_high,2022-05-31:negative_high,2022-05-31,learned_market,negative_high,2022-06-30,2022,19,12,30,1,0,rolling13,not_reached_by_expiry,,,,,,True,1,0,2022-06-30,2,2.0,0,0,False
2022-05-31:learned_order_extension:negative_high,2022-05-31:negative_high,2022-05-31,learned_order_extension,negative_high,2022-06-30,2022,19,12,30,1,0,cumulative,not_reached_by_expiry,,,,,,True,1,0,2022-06-30,2,2.0,0,0,False
2022-05-31:learned_order_extension:negative_high,2022-05-31:negative_high,2022-05-31,learned_order_extension,negative_high,2022-06-30,2022,19,12,30,1,0,rolling13,not_reached_by_expiry,,,,,,True,1,0,2022-06-30,2,2.0,0,0,False
2022-05-31:learned_order_offset:negative_high,2022-05-31:negative_high,2022-05-31,learned_order_offset,negative_high,2022-06-30,2022,19,12,30,1,0,cumulative,not_reached_by_expiry,,,,,,True,1,0,2022-06-30,2,2.0,0,0,False
2022-05-31:learned_order_offset:negative_high,2022-05-31:negative_high,2022-05-31,learned_order_offset,negative_high,2022-06-30,2022,19,12,30,1,0,rolling13,not_reached_by_expiry,,,,,,True,1,0,2022-06-30,2,2.0,0,0,False
2022-06-30:learned_market:negative_high,2022-06-30:negative_high,2022-06-30,learned_market,negative_high,2022-09-30,2022,21,12,92,3,2,cumulative,not_reached_by_expiry,,,,,,True,3,2,2022-09-30,0,0.0,0,0,False
2022-06-30:learned_market:negative_high,2022-06-30:negative_high,2022-06-30,learned_market,negative_high,2022-09-30,2022,21,12,92,3,2,rolling13,not_reached_by_expiry,,,,,,True,3,2,2022-09-30,0,0.0,0,0,False
2022-06-30:learned_order_extension:negative_high,2022-06-30:negative_high,2022-06-30,learned_order_extension,negative_high,2022-09-30,2022,21,12,92,3,2,cumulative,not_reached_by_expiry,,,,,,True,3,2,2022-09-30,0,0.0,0,0,False
2022-06-30:learned_order_extension:negative_high,2022-06-30:negative_high,2022-06-30,learned_order_extension,negative_high,2022-09-30,2022,21,12,92,3,2,rolling13,not_reached_by_expiry,,,,,,True,3,2,2022-09-30,0,0.0,0,0,False
