source_job,base_rank,augmented_rank,residual_sd,orthogonality_inf
learned_market_2014-12-31_20260910,30,31,0.554135767541511,7.979586247927959e-15
learned_market_2014-12-31_20260911,30,31,0.5012986861023375,1.2147509862751016e-15
learned_market_2014-12-31_20260912,30,31,0.5532889500670854,5.764500606967386e-16
learned_market_2015-12-31_20260910,30,31,0.5799555864870168,2.535646762586119e-15
learned_market_2015-12-31_20260911,30,31,0.4458507949526282,2.2045857203270966e-15
learned_market_2015-12-31_20260912,30,31,0.48732706425350086,1.4151145241608717e-15
learned_market_2016-12-31_20260910,30,31,0.6136028573897813,8.146280798539677e-16
learned_market_2016-12-31_20260911,30,31,0.4487260717805727,2.002737043305687e-15
learned_market_2016-12-31_20260912,30,31,0.3737658444993559,3.092211129953191e-16
learned_market_2017-12-31_20260910,30,31,0.5603126602768039,6.320803038700427e-16
learned_market_2017-12-31_20260911,30,31,0.5247608031802801,2.4386531729221705e-15
learned_market_2017-12-31_20260912,30,31,0.5749321153501133,1.1122740921915081e-15
learned_market_2018-12-31_20260910,30,31,0.6862276305795384,3.4880421762208263e-15
learned_market_2018-12-31_20260911,30,31,0.6125998311601057,2.2795115323927863e-15
learned_market_2018-12-31_20260912,30,31,0.5761467422992451,1.6680526616970738e-15
learned_market_2019-12-31_20260910,30,31,0.5231062931972756,2.7707884742053793e-15
learned_market_2019-12-31_20260911,30,31,0.605178623807592,6.88697238832141e-16
learned_market_2019-12-31_20260912,30,31,0.512224091441463,2.242996653180055e-15
raw_trend_2014-12-31_-1,27,28,0.5202751017297653,7.488078041668651e-16
raw_trend_2015-12-31_-1,27,28,0.4345021158019336,1.3807815768447325e-15
raw_trend_2016-12-31_-1,27,28,0.43525921239713294,9.87897196249442e-16
raw_trend_2017-12-31_-1,27,28,0.30142207528284887,1.2612742263664695e-15
raw_trend_2018-12-31_-1,27,28,0.3319747208280994,1.087163212713369e-15
raw_trend_2019-12-31_-1,27,28,0.2922082469857851,9.245363007375034e-16
