job,method,cutoff,seed,qr_rank,svd_rank,training_fitted_value_gap,training_standardized_residual_gap,validation_standardized_residual_gap,training_orthogonality_inf
learned_vol_interaction_2014-12-31_20260910,learned_vol_interaction,2014-12-31,20260910,30,30,1.990074771640593e-14,3.597122599785507e-14,2.531308496145357e-14,7.979586247927959e-15
learned_vol_interaction_2014-12-31_20260911,learned_vol_interaction,2014-12-31,20260911,30,30,6.050715484207103e-15,1.0658141036401503e-14,6.5780714209040525e-15,1.2147509862751016e-15
learned_vol_interaction_2014-12-31_20260912,learned_vol_interaction,2014-12-31,20260912,30,30,1.9984014443252818e-15,3.552713678800501e-15,1.9567680809018384e-15,5.764500606967386e-16
learned_vol_interaction_2015-12-31_20260910,learned_vol_interaction,2015-12-31,20260910,30,30,1.1435297153639112e-14,1.7437440380518865e-14,7.105427357601002e-15,2.535646762586119e-15
learned_vol_interaction_2015-12-31_20260911,learned_vol_interaction,2015-12-31,20260911,30,30,4.9960036108132044e-15,1.0880185641326534e-14,9.769962616701378e-15,2.2045857203270966e-15
learned_vol_interaction_2015-12-31_20260912,learned_vol_interaction,2015-12-31,20260912,30,30,3.70536934468646e-15,7.48099499014998e-15,5.9396931817445875e-15,1.4151145241608717e-15
learned_vol_interaction_2016-12-31_20260910,learned_vol_interaction,2016-12-31,20260910,30,30,4.6629367034256575e-15,7.882583474838611e-15,3.552713678800501e-15,8.146280798539677e-16
learned_vol_interaction_2016-12-31_20260911,learned_vol_interaction,2016-12-31,20260911,30,30,8.576472865229334e-15,1.7263968032921184e-14,7.105427357601002e-15,2.002737043305687e-15
learned_vol_interaction_2016-12-31_20260912,learned_vol_interaction,2016-12-31,20260912,30,30,2.0261570199409107e-15,5.218048215738236e-15,3.3306690738754696e-15,3.092211129953191e-16
learned_vol_interaction_2017-12-31_20260910,learned_vol_interaction,2017-12-31,20260910,30,30,3.0253577421035516e-15,5.773159728050814e-15,3.1086244689504383e-15,6.320803038700427e-16
learned_vol_interaction_2017-12-31_20260911,learned_vol_interaction,2017-12-31,20260911,30,30,1.1129985821867194e-14,2.0872192862952943e-14,1.1546319456101628e-14,2.4386531729221705e-15
learned_vol_interaction_2017-12-31_20260912,learned_vol_interaction,2017-12-31,20260912,30,30,8.104628079763643e-15,1.1712852909795402e-14,7.722988915048745e-15,1.1122740921915081e-15
learned_vol_interaction_2018-12-31_20260910,learned_vol_interaction,2018-12-31,20260910,30,30,1.1185496973098452e-14,1.6264767310758543e-14,1.226796442210798e-14,3.4880421762208263e-15
learned_vol_interaction_2018-12-31_20260911,learned_vol_interaction,2018-12-31,20260911,30,30,5.051514762044462e-15,8.659739592076221e-15,6.38378239159465e-15,2.2795115323927863e-15
learned_vol_interaction_2018-12-31_20260912,learned_vol_interaction,2018-12-31,20260912,30,30,6.58501031480796e-15,1.1157741397482823e-14,8.271161533457416e-15,1.6680526616970738e-15
learned_vol_interaction_2019-12-31_20260910,learned_vol_interaction,2019-12-31,20260910,30,30,7.015221736850208e-15,1.3171755353091896e-14,8.881784197001252e-15,2.7707884742053793e-15
learned_vol_interaction_2019-12-31_20260911,learned_vol_interaction,2019-12-31,20260911,30,30,4.829470157119431e-15,8.548717289613705e-15,7.768091725424142e-15,6.88697238832141e-16
learned_vol_interaction_2019-12-31_20260912,learned_vol_interaction,2019-12-31,20260912,30,30,1.2101430968414206e-14,2.2315482794965646e-14,1.865174681370263e-14,2.242996653180055e-15
raw_vol_interaction_2014-12-31_-1,raw_vol_interaction,2014-12-31,-1,27,27,7.105427357601002e-15,1.4654943925052066e-14,1.1546319456101628e-14,7.488078041668651e-16
raw_vol_interaction_2015-12-31_-1,raw_vol_interaction,2015-12-31,-1,27,27,4.440892098500626e-15,1.1546319456101628e-14,7.549516567451064e-15,1.3807815768447325e-15
raw_vol_interaction_2016-12-31_-1,raw_vol_interaction,2016-12-31,-1,27,27,6.439293542825908e-15,1.4210854715202004e-14,7.105427357601002e-15,9.87897196249442e-16
raw_vol_interaction_2017-12-31_-1,raw_vol_interaction,2017-12-31,-1,27,27,4.884981308350689e-15,1.5654144647214707e-14,6.328271240363392e-15,1.2612742263664695e-15
raw_vol_interaction_2018-12-31_-1,raw_vol_interaction,2018-12-31,-1,27,27,3.3306690738754696e-15,1.0436096431476471e-14,6.8833827526759706e-15,1.087163212713369e-15
raw_vol_interaction_2019-12-31_-1,raw_vol_interaction,2019-12-31,-1,27,27,3.1086244689504383e-15,1.0658141036401503e-14,7.993605777301127e-15,9.245363007375034e-16
