job,method,cutoff,seed,alternate_iterations,alternate_success,alternate_message,objective_absolute_gap,maximum_training_probability_gap,alternate_gradient_inf
learned_vol_interaction_2014-12-31_20260910,learned_vol_interaction,2014-12-31,20260910,74,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.773959005888173e-15,9.498948905228843e-08,5.984426342496574e-09
learned_vol_interaction_2014-12-31_20260911,learned_vol_interaction,2014-12-31,20260911,76,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.218847493575595e-15,1.006444024787001e-07,6.592056462168336e-09
learned_vol_interaction_2014-12-31_20260912,learned_vol_interaction,2014-12-31,20260912,55,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3322676295501878e-15,7.405265178839215e-08,8.120200247884596e-09
learned_vol_interaction_2015-12-31_20260910,learned_vol_interaction,2015-12-31,20260910,73,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.6629367034256575e-15,7.682458402769043e-08,5.318798831921434e-09
learned_vol_interaction_2015-12-31_20260911,learned_vol_interaction,2015-12-31,20260911,82,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.662137425588298e-15,1.0197971456182842e-07,9.662200019244782e-09
learned_vol_interaction_2015-12-31_20260912,learned_vol_interaction,2015-12-31,20260912,79,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.6645352591003757e-15,8.754023261836608e-08,1.2878660781475565e-08
learned_vol_interaction_2016-12-31_20260910,learned_vol_interaction,2016-12-31,20260910,75,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.220446049250313e-15,8.336410184384135e-08,5.548020322451372e-09
learned_vol_interaction_2016-12-31_20260911,learned_vol_interaction,2016-12-31,20260911,72,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.219646771412954e-15,8.544678287147889e-08,7.394652674826705e-09
learned_vol_interaction_2016-12-31_20260912,learned_vol_interaction,2016-12-31,20260912,74,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.771561172376096e-16,4.9110259414675284e-08,6.392323026590749e-09
learned_vol_interaction_2017-12-31_20260910,learned_vol_interaction,2017-12-31,20260910,71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.55351295663786e-15,7.652720962481041e-08,7.786423329454034e-09
learned_vol_interaction_2017-12-31_20260911,learned_vol_interaction,2017-12-31,20260911,75,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9984014443252818e-15,7.028335025083265e-08,1.508761505086744e-08
learned_vol_interaction_2017-12-31_20260912,learned_vol_interaction,2017-12-31,20260912,83,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.6645352591003757e-15,7.945537194853358e-08,6.476708490457976e-09
learned_vol_interaction_2018-12-31_20260910,learned_vol_interaction,2018-12-31,20260910,72,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.3298697960381105e-15,9.856940191843577e-08,1.1732021277697461e-08
learned_vol_interaction_2018-12-31_20260911,learned_vol_interaction,2018-12-31,20260911,70,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.3314683517128287e-15,4.8982084388526914e-08,5.155005898928658e-09
learned_vol_interaction_2018-12-31_20260912,learned_vol_interaction,2018-12-31,20260912,71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.4424906541753444e-15,7.810226110294138e-08,5.4927814265286895e-09
learned_vol_interaction_2019-12-31_20260910,learned_vol_interaction,2019-12-31,20260910,77,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4432899320127035e-15,6.787651785078452e-08,8.010424472609107e-09
learned_vol_interaction_2019-12-31_20260911,learned_vol_interaction,2019-12-31,20260911,71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.329070518200751e-15,1.0616521678441515e-07,1.3662266342339899e-08
learned_vol_interaction_2019-12-31_20260912,learned_vol_interaction,2019-12-31,20260912,74,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.9968028886505635e-15,1.4346899607220465e-07,1.4349624969495732e-08
raw_vol_interaction_2014-12-31_-1,raw_vol_interaction,2014-12-31,-1,71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.219646771412954e-15,8.320339495160312e-08,1.3006077719152193e-08
raw_vol_interaction_2015-12-31_-1,raw_vol_interaction,2015-12-31,-1,68,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.771561172376096e-15,1.4341996079636488e-07,9.655656047452652e-09
raw_vol_interaction_2016-12-31_-1,raw_vol_interaction,2016-12-31,-1,75,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.6653345369377348e-15,7.207080887638995e-08,6.28635367220555e-09
raw_vol_interaction_2017-12-31_-1,raw_vol_interaction,2017-12-31,-1,73,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1102230246251565e-15,8.14266789550544e-08,3.50602246106807e-09
raw_vol_interaction_2018-12-31_-1,raw_vol_interaction,2018-12-31,-1,75,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2212453270876722e-15,9.34993975021392e-08,1.1066300173586622e-08
raw_vol_interaction_2019-12-31_-1,raw_vol_interaction,2019-12-31,-1,70,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.551115123125783e-16,7.595661649650864e-08,4.141766953545418e-09
