job,method,cutoff,seed,train_n,base_design_rank,augmented_design_rank,projection_rank,base_design_condition,product_std,residual_mean,residual_raw_sd,residual_sd,sd_floored,product_linear_r2,orthogonality_inf,interaction_coefficient,raw_product_coefficient
learned_vol_interaction_2014-12-31_20260910,learned_vol_interaction,2014-12-31,20260910,1077,30,31,30,326.0794280755596,0.6217329314439769,2.6389702349493043e-17,0.554135767541511,0.554135767541511,False,0.20562672674313187,7.979586247927959e-15,-0.003397903620063982,-0.006131897305851929
learned_vol_interaction_2014-12-31_20260911,learned_vol_interaction,2014-12-31,20260911,1077,30,31,30,95.43596339669115,0.6043419736552637,-4.750146422908748e-16,0.5012986861023375,0.5012986861023375,False,0.3119379333443222,1.2147509862751016e-15,-0.02841001889652635,-0.056672837340584196
learned_vol_interaction_2014-12-31_20260912,learned_vol_interaction,2014-12-31,20260912,1077,30,31,30,15.469780202776713,0.6277471488644396,1.3194851174746522e-17,0.5532889500670854,0.5532889500670854,False,0.22315478340681905,5.764500606967386e-16,-0.029596249672972932,-0.053491488795112264
learned_vol_interaction_2015-12-31_20260910,learned_vol_interaction,2015-12-31,20260910,1190,30,31,30,137.43184921165818,0.6649807179938014,-1.3076374716929576e-15,0.5799555864870168,0.5799555864870168,False,0.23937364841563324,2.535646762586119e-15,-0.07132495336597748,-0.12298347498989769
learned_vol_interaction_2015-12-31_20260911,learned_vol_interaction,2015-12-31,20260911,1190,30,31,30,106.47642626502156,0.5151522572241681,1.552446313425429e-16,0.4458507949526282,0.4458507949526282,False,0.2509550567767487,2.2045857203270966e-15,-0.14682875956739752,-0.32932263714590465
learned_vol_interaction_2015-12-31_20260912,learned_vol_interaction,2015-12-31,20260912,1190,30,31,30,99.92694409002179,0.5722406328840816,-1.1941894718657147e-17,0.48732706425350086,0.48732706425350086,False,0.2747567800054912,1.4151145241608717e-15,-0.19049437768886018,-0.3908963643968019
learned_vol_interaction_2016-12-31_20260910,learned_vol_interaction,2016-12-31,20260910,1434,30,31,30,162.89655551326965,0.6558685176736229,1.6846898895288289e-16,0.6136028573897813,0.6136028573897813,False,0.12473174577204538,8.146280798539677e-16,0.12621846453196875,0.2057005814296437
learned_vol_interaction_2016-12-31_20260911,learned_vol_interaction,2016-12-31,20260911,1434,30,31,30,140.45236729816557,0.48180323123955127,-7.779303313412533e-16,0.4487260717805727,0.4487260717805727,False,0.1325924649047301,2.002737043305687e-15,0.1024999460335946,0.2284243160351002
learned_vol_interaction_2016-12-31_20260912,learned_vol_interaction,2016-12-31,20260912,1434,30,31,30,50.45150542171988,0.42202111921056756,-5.4504672896520935e-17,0.3737658444993559,0.3737658444993559,False,0.2156121563186828,3.092211129953191e-16,-0.0054868749323299625,-0.014679979492720657
learned_vol_interaction_2017-12-31_20260910,learned_vol_interaction,2017-12-31,20260910,1678,30,31,30,47.50619891717862,0.6247807479243499,8.045477937688858e-17,0.5603126602768039,0.5603126602768039,False,0.19572310316164943,6.320803038700427e-16,0.08877134508215194,0.158431803126307
learned_vol_interaction_2017-12-31_20260911,learned_vol_interaction,2017-12-31,20260911,1678,30,31,30,80.52648577554318,0.5621333265028203,-1.693784828987128e-16,0.5247608031802801,0.5247608031802801,False,0.1285467194065475,2.4386531729221705e-15,0.07414985634509583,0.14130220072786545
learned_vol_interaction_2017-12-31_20260912,learned_vol_interaction,2017-12-31,20260912,1678,30,31,30,184.74315704294193,0.6420620859111499,-1.0289742836096802e-15,0.5749321153501133,0.5749321153501133,False,0.19817593455311755,1.1122740921915081e-15,0.19133192816270667,0.332790468742892
