job,method,cutoff,seed,split,n,volatility_mean,signal_mean,signal_std,product_mean,product_std,interaction_feature_mean,interaction_feature_std,refitted_additive_mean,refitted_additive_std,interaction_logit_mean,interaction_logit_std,total_logit_mean,total_logit_std
learned_vol_interaction_2014-12-31_20260910,learned_vol_interaction,2014-12-31,20260910,training,1077,-1.3194851174746522e-17,4.882094934656213e-16,0.6624388156067288,-0.010639810529458968,0.6217329314439769,0.0,1.0,-0.03862969418558728,0.6895572970687464,-1.030847748027072e-19,0.003397903620063982,-0.038629694185587274,0.6895656688740867
learned_vol_interaction_2014-12-31_20260910,learned_vol_interaction,2014-12-31,20260910,validation,22,1.7150321452243928,0.05317215024466364,0.4922265891510388,-0.0031546221126350794,1.0875182727859163,-0.49602606597710336,1.8240768243812469,0.13460270044691627,0.3259808306494864,0.0016854487652296953,0.0061980372448398515,0.13628814921214596,0.32378120569189484
learned_vol_interaction_2014-12-31_20260911,learned_vol_interaction,2014-12-31,20260911,training,1077,-1.3194851174746522e-17,-3.29871279368663e-16,0.6346068481342838,0.03809739347446166,0.6043419736552637,6.597425587373261e-18,1.0,-0.033588842747280016,0.7048870318375196,0.0,0.02841001889652635,-0.033588842747280016,0.7054593232968214
learned_vol_interaction_2014-12-31_20260911,learned_vol_interaction,2014-12-31,20260911,validation,22,1.7150321452243928,0.10404962143744054,0.7050691137834332,-0.039854166055699046,1.395329726302349,-0.824790364813909,2.8966779183555627,0.22127346879017162,0.5737651797164517,0.023432309850036012,0.08229467439763213,0.24470577864020762,0.5090072823815516
learned_vol_interaction_2014-12-31_20260912,learned_vol_interaction,2014-12-31,20260912,training,1077,-1.3194851174746522e-17,-9.210006119973071e-15,0.6050944904526807,0.008296230799870147,0.6277471488644396,1.3194851174746522e-17,0.9999999999999999,-0.031219053613657923,0.697888582576617,0.0,0.02959624967297293,-0.031219053613657923,0.6985158635890129
learned_vol_interaction_2014-12-31_20260912,learned_vol_interaction,2014-12-31,20260912,validation,22,1.7150321452243928,0.017104357207595927,0.466061588323295,0.14294186156920083,0.9615064489312166,-0.23175522568118545,1.6317756801467218,0.3001526625370961,0.5523397315322289,0.006859085522276555,0.048294440439907604,0.3070117480593726,0.520501402056021
learned_vol_interaction_2015-12-31_20260910,learned_vol_interaction,2015-12-31,20260910,training,1190,6.56804209526143e-17,-1.1941894718657147e-17,0.6927940616448256,0.08840305391096757,0.6649807179938014,1.791284207798572e-17,1.0,0.00793154155737495,0.7283918710449641,-1.865921049790179e-18,0.07132495336597747,0.00793154155737495,0.7318756498046936
learned_vol_interaction_2015-12-31_20260910,learned_vol_interaction,2015-12-31,20260910,validation,48,-0.3096323312562928,-0.059454930977141975,0.7736498337852854,-0.22793628852753237,1.1362413352740321,-0.6491408420904714,1.9699487969459262,-0.14591919174970983,0.8820658195640895,0.04629994029005422,0.1405065060755316,-0.09961925145965557,0.938859033524344
learned_vol_interaction_2015-12-31_20260911,learned_vol_interaction,2015-12-31,20260911,training,1190,6.56804209526143e-17,7.881650514313716e-16,0.5178742311860574,0.009771180706473488,0.5151522572241681,1.1941894718657147e-17,1.0,0.013660717585719698,0.5801910336727694,-2.9854736796642867e-18,0.14682875956739755,0.01366071758571971,0.5984816790766256
learned_vol_interaction_2015-12-31_20260911,learned_vol_interaction,2015-12-31,20260911,validation,48,-0.3096323312562928,-0.05027767465620294,0.49782397024924013,-0.16380373318283656,0.7341002678610392,-0.4405919513300414,2.0655585244218724,-0.15110496117615896,0.7481096358198263,0.06469156968916913,0.3032833959547275,-0.0864133914869898,0.9523441861262646
learned_vol_interaction_2015-12-31_20260912,learned_vol_interaction,2015-12-31,20260912,training,1190,6.56804209526143e-17,-5.027537676554659e-15,0.5598858085745789,0.06464896826463487,0.5722406328840816,-2.3883789437314293e-17,1.0000000000000002,0.007566949347699374,0.6314020034796082,-2.9854736796642867e-18,0.1904943776888602,0.007566949347699368,0.6595123940678668
