job,method,cutoff,seed,train_n,dimensions,objective,parent_objective,gradient_inf,log_loss,brier,accuracy,auroc,mean_probability,probability_std,constant_brier,constant_log_loss
learned_vol_interaction_2014-12-31_20260910,learned_vol_interaction,2014-12-31,20260910,1077,30,0.6369479727558716,0.6369492919886864,8.743771765656883e-13,0.6323057527450312,0.2207997793089489,0.6434540389972145,0.6975613121313511,0.492107706592628,0.15692165028207794,0.24993771170476817,0.6930225987958569
learned_vol_interaction_2014-12-31_20260911,learned_vol_interaction,2014-12-31,20260911,1077,30,0.634577576855999,0.6346667330344339,6.2006606446618484e-15,0.6309899118240835,0.22062874739659388,0.6295264623955432,0.696112586664827,0.492107706592385,0.1624467697202235,0.24993771170476817,0.6930225987958569
learned_vol_interaction_2014-12-31_20260912,learned_vol_interaction,2014-12-31,20260912,1077,30,0.6356991061406423,0.63579213254036,3.799326304954054e-14,0.6313933455712308,0.22086831560984696,0.6323119777158774,0.6938015246110862,0.4921077065923683,0.15940410799238278,0.24993771170476817,0.6930225987958569
learned_vol_interaction_2015-12-31_20260910,learned_vol_interaction,2015-12-31,20260910,1190,30,0.6315963113590262,0.6321634760527012,1.7768555723995938e-14,0.6284629253179373,0.21923757220401088,0.6495798319327731,0.702380447954713,0.5033613445378224,0.16735445146211994,0.24998870136289814,0.693124583115526
learned_vol_interaction_2015-12-31_20260911,learned_vol_interaction,2015-12-31,20260911,1190,30,0.6484686088983942,0.6509422475691592,2.0220370516854658e-16,0.6441864665105411,0.2265135957792816,0.6134453781512605,0.6753896087387609,0.5033613445378151,0.13981567617071852,0.24998870136289814,0.693124583115526
learned_vol_interaction_2015-12-31_20260912,learned_vol_interaction,2015-12-31,20260912,1190,30,0.6403182035618993,0.6444667567462348,1.0997279475954969e-14,0.6351125266901669,0.22234978612489864,0.6277310924369748,0.692617984288535,0.503361344537821,0.15128039039533447,0.24998870136289814,0.693124583115526
learned_vol_interaction_2016-12-31_20260910,learned_vol_interaction,2016-12-31,20260910,1434,30,0.6386994375586728,0.6402549590643113,6.787017996223721e-12,0.6360587222343935,0.2233719357272605,0.6317991631799164,0.6830399094144038,0.5069735006968693,0.15700839201045338,0.24995137028802408,0.6930499179826164
learned_vol_interaction_2016-12-31_20260911,learned_vol_interaction,2016-12-31,20260911,1434,30,0.6566891594719121,0.6578488099715136,7.375827379418887e-15,0.6547678139621527,0.23175472755314575,0.6101813110181311,0.6500858967798921,0.5069735006973484,0.1290128936968584,0.24995137028802408,0.6930499179826164
learned_vol_interaction_2016-12-31_20260912,learned_vol_interaction,2016-12-31,20260912,1434,30,0.6644677406851554,0.6644713295419913,5.980336915782647e-10,0.6622414150743307,0.23477724562213706,0.608786610878661,0.6446927852541592,0.5069735008464037,0.11349511324526206,0.24995137028802408,0.6930499179826164
learned_vol_interaction_2017-12-31_20260910,learned_vol_interaction,2017-12-31,20260910,1678,30,0.6499552937023148,0.650701577737052,3.457380432295154e-12,0.647430152016789,0.22849291569965588,0.6120381406436234,0.6624447717231222,0.5202622169257565,0.13811281267416345,0.2495894425652879,0.6923258407995493
learned_vol_interaction_2017-12-31_20260911,learned_vol_interaction,2017-12-31,20260911,1678,30,0.6524409687863106,0.6530254642876395,4.600811918942238e-15,0.6501848938870769,0.2295117149592848,0.6126340882002383,0.6612352635660569,0.5202622169249101,0.1348830184257642,0.2495894425652879,0.6923258407995493
learned_vol_interaction_2017-12-31_20260912,learned_vol_interaction,2017-12-31,20260912,1678,30,0.6406673776134488,0.644153216929073,5.770448788938731e-12,0.637879778213043,0.22351669718969586,0.6281287246722288,0.6864385676577519,0.5202622169238881,0.15249396758015313,0.2495894425652879,0.6923258407995493
learned_vol_interaction_2018-12-31_20260910,learned_vol_interaction,2018-12-31,20260910,1921,30,0.6315942285161018,0.6316867264412549,2.220753962667299e-13,0.6298053706115008,0.2203330494013537,0.6324830817282665,0.6950183169250991,0.5111920874544478,0.1682615697750279,0.2498747371784119,0.6928966339915423
learned_vol_interaction_2018-12-31_20260911,learned_vol_interaction,2018-12-31,20260911,1921,30,0.6465391363900894,0.6465885871683656,1.7178099220860332e-15,0.6453333673145729,0.22703752873865643,0.6184279021343051,0.6726985634932513,0.5111920874544503,0.14755733393773407,0.2498747371784119,0.6928966339915423
learned_vol_interaction_2018-12-31_20260912,learned_vol_interaction,2018-12-31,20260912,1921,30,0.6489494675930585,0.6495785315603416,2.523155295808266e-15,0.6463600772596388,0.22743353108419379,0.6241540864133264,0.6733969708208889,0.5111920874544503,0.14118900840953097,0.2498747371784119,0.6928966339915423
learned_vol_interaction_2019-12-31_20260910,learned_vol_interaction,2019-12-31,20260910,2165,30,0.6508991864770947,0.6511690032772487,6.195131213582172e-16,0.649292997463708,0.22892516231529322,0.6226327944572748,0.6652759301120683,0.5214780600461891,0.13850694629232635,0.24953869293665232,0.6922242824846752
learned_vol_interaction_2019-12-31_20260911,learned_vol_interaction,2019-12-31,20260911,2165,30,0.6394015279709421,0.6395853737827856,4.599608454530779e-14,0.6377705244395938,0.22343944749671946,0.6351039260969977,0.6865037566986194,0.5214780600461684,0.15654640719929191,0.24953869293665232,0.6922242824846752
learned_vol_interaction_2019-12-31_20260912,learned_vol_interaction,2019-12-31,20260912,2165,30,0.6561581376655856,0.6561949601070699,8.234244449484285e-15,0.6546051367383211,0.23140647683286839,0.6124711316397229,0.6551258331594912,0.5214780600461869,0.12888904302732251,0.24953869293665232,0.6922242824846752
raw_vol_interaction_2014-12-31_-1,raw_vol_interaction,2014-12-31,-1,1077,27,0.654572122152628,0.6546892297944243,2.235794015204018e-13,0.6498682660354873,0.22886587685467388,0.6155988857938719,0.669914801145183,0.4921077065923131,0.12764697245495457,0.24993771170476817,0.6930225987958569
