window,method,bin_index,lower,upper,n,mean_probability,observed_frequency
early_2015_2017,learned_clip,0,0.0,0.2,0,,
early_2015_2017,learned_clip,1,0.2,0.4,30,0.3436704889555894,0.5333333333333333
early_2015_2017,learned_clip,2,0.4,0.6,63,0.5040148378691209,0.6031746031746031
early_2015_2017,learned_clip,3,0.6,0.8,27,0.6442293861812346,0.48148148148148145
early_2015_2017,learned_clip,4,0.8,1.0,0,,
early_2015_2017,learned_market,0,0.0,0.2,1,0.19211999858187734,0.0
early_2015_2017,learned_market,1,0.2,0.4,34,0.31605770035292763,0.5588235294117647
early_2015_2017,learned_market,2,0.4,0.6,60,0.49714608964945695,0.6333333333333333
early_2015_2017,learned_market,3,0.6,0.8,24,0.6471378350063457,0.4166666666666667
early_2015_2017,learned_market,4,0.8,1.0,1,0.83294932182227,0.0
early_2015_2017,learned_probe,0,0.0,0.2,0,,
early_2015_2017,learned_probe,1,0.2,0.4,30,0.34554353818084227,0.5333333333333333
early_2015_2017,learned_probe,2,0.4,0.6,63,0.5038266020156194,0.6031746031746031
early_2015_2017,learned_probe,3,0.6,0.8,27,0.6449997179968963,0.48148148148148145
early_2015_2017,learned_probe,4,0.8,1.0,0,,
early_2015_2017,learned_vol_interaction,0,0.0,0.2,3,0.1756174219538761,0.3333333333333333
early_2015_2017,learned_vol_interaction,1,0.2,0.4,30,0.3239945980842325,0.5333333333333333
early_2015_2017,learned_vol_interaction,2,0.4,0.6,61,0.4962773192388785,0.6065573770491803
early_2015_2017,learned_vol_interaction,3,0.6,0.8,26,0.6718546241924588,0.5
early_2015_2017,learned_vol_interaction,4,0.8,1.0,0,,
early_2015_2017,market4,0,0.0,0.2,0,,
early_2015_2017,market4,1,0.2,0.4,22,0.37011801431122354,0.6363636363636364
early_2015_2017,market4,2,0.4,0.6,82,0.46702591981437613,0.5609756097560976
early_2015_2017,market4,3,0.6,0.8,16,0.6715009505851767,0.4375
early_2015_2017,market4,4,0.8,1.0,0,,
early_2015_2017,neutral_50,0,0.0,0.2,0,,
early_2015_2017,neutral_50,1,0.2,0.4,0,,
early_2015_2017,neutral_50,2,0.4,0.6,120,0.5,0.5583333333333333
early_2015_2017,neutral_50,3,0.6,0.8,0,,
early_2015_2017,neutral_50,4,0.8,1.0,0,,
early_2015_2017,raw25_clip,0,0.0,0.2,3,0.16137291732318174,0.3333333333333333
early_2015_2017,raw25_clip,1,0.2,0.4,54,0.3343610501139211,0.6111111111111112
early_2015_2017,raw25_clip,2,0.4,0.6,55,0.46721974034367225,0.5272727272727272
early_2015_2017,raw25_clip,3,0.6,0.8,8,0.6843238305664612,0.5
early_2015_2017,raw25_clip,4,0.8,1.0,0,,
early_2015_2017,raw25_probe,0,0.0,0.2,5,0.11816356948443965,0.4
early_2015_2017,raw25_probe,1,0.2,0.4,56,0.32520129356619226,0.6071428571428571
early_2015_2017,raw25_probe,2,0.4,0.6,52,0.4491548675858079,0.5192307692307693
early_2015_2017,raw25_probe,3,0.6,0.8,6,0.7022210773465952,0.6666666666666666
early_2015_2017,raw25_probe,4,0.8,1.0,1,0.8495225599028958,0.0
early_2015_2017,raw_trend,0,0.0,0.2,3,0.14698352095499348,0.3333333333333333
early_2015_2017,raw_trend,1,0.2,0.4,48,0.33557127348969074,0.625
early_2015_2017,raw_trend,2,0.4,0.6,58,0.4807943406152458,0.5344827586206896
early_2015_2017,raw_trend,3,0.6,0.8,11,0.6830366132791188,0.45454545454545453
early_2015_2017,raw_trend,4,0.8,1.0,0,,
early_2015_2017,raw_vol_interaction,0,0.0,0.2,3,0.14878366769208853,0.3333333333333333
early_2015_2017,raw_vol_interaction,1,0.2,0.4,46,0.34977189870976333,0.6086956521739131
early_2015_2017,raw_vol_interaction,2,0.4,0.6,60,0.475982758096598,0.5333333333333333
early_2015_2017,raw_vol_interaction,3,0.6,0.8,9,0.6846986441724037,0.5555555555555556
early_2015_2017,raw_vol_interaction,4,0.8,1.0,2,0.8572165238677353,0.5
early_2015_2017,training_frequency,0,0.0,0.2,0,,
early_2015_2017,training_frequency,1,0.2,0.4,0,,
early_2015_2017,training_frequency,2,0.4,0.6,120,0.5028032426476259,0.5583333333333333
early_2015_2017,training_frequency,3,0.6,0.8,0,,
early_2015_2017,training_frequency,4,0.8,1.0,0,,
late_2018_2020,learned_clip,0,0.0,0.2,0,,
late_2018_2020,learned_clip,1,0.2,0.4,18,0.35631342887418693,0.5555555555555556
late_2018_2020,learned_clip,2,0.4,0.6,89,0.5038247274402413,0.5168539325842697
late_2018_2020,learned_clip,3,0.6,0.8,34,0.6593797736818396,0.6764705882352942
late_2018_2020,learned_clip,4,0.8,1.0,0,,
late_2018_2020,learned_market,0,0.0,0.2,0,,
late_2018_2020,learned_market,1,0.2,0.4,22,0.350534402445858,0.5
late_2018_2020,learned_market,2,0.4,0.6,85,0.505519463518902,0.5176470588235295
late_2018_2020,learned_market,3,0.6,0.8,34,0.6615971076911119,0.7058823529411765
late_2018_2020,learned_market,4,0.8,1.0,0,,
late_2018_2020,learned_probe,0,0.0,0.2,0,,
late_2018_2020,learned_probe,1,0.2,0.4,19,0.35791198328208174,0.5789473684210527
late_2018_2020,learned_probe,2,0.4,0.6,87,0.5043776916730924,0.5057471264367817
late_2018_2020,learned_probe,3,0.6,0.8,35,0.6592170272877801,0.6857142857142857
late_2018_2020,learned_probe,4,0.8,1.0,0,,
late_2018_2020,learned_vol_interaction,0,0.0,0.2,0,,
late_2018_2020,learned_vol_interaction,1,0.2,0.4,21,0.34876856514634785,0.47619047619047616
late_2018_2020,learned_vol_interaction,2,0.4,0.6,87,0.5053959136629003,0.5287356321839081
late_2018_2020,learned_vol_interaction,3,0.6,0.8,33,0.6652888136029554,0.696969696969697
late_2018_2020,learned_vol_interaction,4,0.8,1.0,0,,
late_2018_2020,market4,0,0.0,0.2,0,,
late_2018_2020,market4,1,0.2,0.4,0,,
late_2018_2020,market4,2,0.4,0.6,141,0.5102443715521239,0.5602836879432624
late_2018_2020,market4,3,0.6,0.8,0,,
late_2018_2020,market4,4,0.8,1.0,0,,
late_2018_2020,neutral_50,0,0.0,0.2,0,,
late_2018_2020,neutral_50,1,0.2,0.4,0,,
late_2018_2020,neutral_50,2,0.4,0.6,141,0.5,0.5602836879432624
