schedule,seed,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,mae,reassigned_mse,reassignment_mse_relative_change
archived20,20260910,0.0009339421362610295,0.030560466885521064,0.574468085106383,0.1529417186393175,0.009679318473234964,141,0.569926500612495,0.5460992907801419,0.0006894614292274337,0.008755176563622381,0.18183620241988685,0.023922639826440096,0.0009983531353339405,0.06896679844725262
archived20,20260911,0.0009748452506210802,0.031222511920424984,0.5531914893617021,0.013042073858408627,0.0070216694815943,141,0.5457329522253982,0.5673758865248227,-0.04307654039611486,0.006893030109812152,0.03630504500575349,0.024393319347200813,0.0009857524647905944,0.011188662162086915
archived20,20260912,0.0009515623200011166,0.03084740378056339,0.5815602836879432,0.1028182419489403,0.008507052451696476,141,0.5623723968966925,0.6666666666666666,-0.018163992783166272,0.008234382331034441,0.06307714159982658,0.024088842974981352,0.0009931226757321499,0.04367591576239005
constant40,20260910,0.0010970685438463155,0.033122025056543804,0.5673758865248227,0.06228177049983881,0.014946742343817555,141,0.5635973866884443,0.5390070921985816,-0.17385447645517105,0.014403132930775794,0.07141675813540571,0.025738702625565168,0.0010237387137225877,-0.06684161216274953
decay40,20260910,0.00096994679856896,0.031143968895581693,0.5460992907801419,0.1244875069635685,0.011134555243392331,141,0.5428746427113107,0.5319148936170213,-0.03783523628495811,0.010804506068865165,0.05840512315918456,0.024626462939565184,0.0010132558893418595,0.04465099615442503
constant40,20260911,0.0011329909670068355,0.033659931179472656,0.5531914893617021,0.000645261666160658,0.014140544552017334,141,0.5526745610453245,0.5106382978723404,-0.21229117894620564,0.013737498854978908,0.05619327060714385,0.026579730221605265,0.0011251352809370763,-0.006933582260159166
decay40,20260911,0.0009967658248773404,0.03157159838964984,0.5602836879432624,0.02882899814631395,0.009016043237845214,141,0.5520620661494487,0.574468085106383,-0.06653137770916384,0.008880756649702162,0.029785037743500387,0.02470929308008942,0.0010165839383015117,0.019882416641451517
constant40,20260912,0.000970515748592976,0.031153101749151337,0.574468085106383,0.20142033211948315,0.014879237792159803,141,0.5751327072274398,0.5035460992907801,-0.03844400821294447,0.014834288354530925,0.006032774426704801,0.02449147048103286,0.000990111582428817,0.02019115492381296
decay40,20260912,0.0009249006890485042,0.03041217994568137,0.5673758865248227,0.18554045269636807,0.01069913721203376,141,0.5566557778685177,0.5957446808510638,0.010363736882286645,0.010647781910449131,0.0095768563730666,0.0236294155700703,0.0009917088678661156,0.0722328133265211
