candidate,reference,cutoff,seed,mode,return_mse_candidate,return_mse_reference,return_mse_difference,auxiliary_mse_candidate,auxiliary_mse_reference,auxiliary_mse_difference,joint_mse_candidate,joint_mse_reference,joint_mse_difference
constant40,prefix20,2017-12-31,20260910,eval,0.7029378729107485,0.9035683571859784,-0.2006304842752299,0.95555514561654,1.0320103441779107,-0.07645519856137073,0.7984933874724025,1.0067693916037694,-0.20827600413136693
constant40,prefix20,2017-12-31,20260910,dropout,0.7891906115060885,0.9341420274712856,-0.14495141596519712,0.9717663028177552,1.0333277961934102,-0.061561493375654974,0.8863672417878641,1.0374748070906266,-0.15110756530276248
constant40,prefix20,2017-12-31,20260911,eval,0.7154675459928985,0.9383147261743836,-0.22284718018148508,0.9070784575544536,1.0268788914483693,-0.1198004338939157,0.8061753917483439,1.0410026153192204,-0.2348272235708766
constant40,prefix20,2017-12-31,20260911,dropout,0.7849480291173837,0.9491028362325543,-0.1641548071151706,0.9350409698078722,1.034583736452495,-0.0995427666446228,0.878452126098171,1.0525612098778039,-0.17410908377963286
constant40,prefix20,2017-12-31,20260912,eval,0.6947967927825345,0.8647827002667409,-0.1699859074842064,0.949723186248889,1.0581026276411474,-0.10837944139225841,0.7897691114074233,0.9705929630308556,-0.18082385162343229
constant40,prefix20,2017-12-31,20260912,dropout,0.7679174981483208,0.9040725119644053,-0.13615501381608452,0.9656734098666442,1.067162339053593,-0.10148892918694874,0.8644848391349851,1.0107887458697644,-0.14630390673477933
constant40,prefix20,2018-12-31,20260910,eval,0.701669870406377,0.8408978699111447,-0.13922799950476772,0.8807623924426676,0.978892420167913,-0.09813002772524537,0.7897461096506437,0.938787111927936,-0.14904100227729222
constant40,prefix20,2018-12-31,20260910,dropout,0.7662927288465914,0.8891595404771073,-0.12286681163051594,0.909870271307728,0.9960187141221639,-0.0861484428144359,0.8572797559773642,0.9887614118893238,-0.1314816559119596
constant40,prefix20,2018-12-31,20260911,eval,0.7413527703845463,0.8820400550238803,-0.140687284639334,0.8986098929068373,1.0100207789425333,-0.11141088603569593,0.83121375967523,0.9830421329181336,-0.15182837324290355
constant40,prefix20,2018-12-31,20260911,dropout,0.8128606452824219,0.9147553698589785,-0.10189472457655668,0.9303267785151166,1.0198916013290518,-0.08956482281393519,0.9058933231339336,1.0167445299918838,-0.11085120685795025
constant40,prefix20,2018-12-31,20260912,eval,0.7371632399250132,0.9068090927422244,-0.16964585281721123,1.0067130745849624,1.0478992922108412,-0.04118621762587882,0.8378345473835095,1.0115990219633086,-0.17376447457979916
constant40,prefix20,2018-12-31,20260912,dropout,0.8017764622150665,0.9325272357414409,-0.13075077352637443,1.0086933765528876,1.0482933637429124,-0.03959998719002478,0.9026457998703553,1.037356572115732,-0.13471077224537675
constant40,prefix20,2019-12-31,20260910,eval,0.7108909996325387,0.9083641118845436,-0.19747311225200492,0.922859711662864,1.013135403589137,-0.09027569192627294,0.8031769707988251,1.0096776522434574,-0.2065006814446323
constant40,prefix20,2019-12-31,20260910,dropout,0.7798234759560759,0.9296237419058506,-0.1498002659497747,0.9409375073331221,1.0179009574228859,-0.0769634500897638,0.8739172266893881,1.0314138376481392,-0.15749661095875112
constant40,prefix20,2019-12-31,20260911,eval,0.7244897830807426,0.882861090183672,-0.15837130710292935,0.8816943349398448,0.977236361170992,-0.09554202623114716,0.8126592165747271,0.9805847263007712,-0.16792550972604414
constant40,prefix20,2019-12-31,20260911,dropout,0.8004301655613602,0.9218434359624514,-0.12141327040109129,0.9160558484219375,0.9948030152766778,-0.07874716685474026,0.8920357504035539,1.0213237374901194,-0.12928798708656553
constant40,prefix20,2019-12-31,20260912,eval,0.7086578012724616,0.9001538581460073,-0.19149605687354576,0.9870995094418938,1.039286982510712,-0.05218747306881821,0.8073677522166509,1.0040825563970786,-0.19671480418042764
constant40,prefix20,2019-12-31,20260912,dropout,0.7783014707770743,0.9246408928886951,-0.14633942211162076,0.9947631483527618,1.0396378361146819,-0.04487468776192005,0.8777777856123505,1.028604676500163,-0.15082689088781254
decay40,prefix20,2017-12-31,20260910,eval,0.8512454428034503,0.9035683571859784,-0.05232291438252812,1.022605452020525,1.0320103441779107,-0.009404892157385714,0.9535059880055028,1.0067693916037694,-0.053263403598266645
decay40,prefix20,2017-12-31,20260910,dropout,0.898263010975864,0.9341420274712856,-0.03587901649542158,1.0264379435789988,1.0333277961934102,-0.00688985261441144,1.000906805333764,1.0374748070906266,-0.03656800175686259
