candidate,reference,mode,pairs,return_mse_relative_change,return_mse_lower_count,auxiliary_mse_relative_change,auxiliary_mse_lower_count,joint_mse_relative_change,joint_mse_lower_count
constant40,prefix20,dropout,9,-0.1467886675918656,9,-0.07333762018863155,9,-0.1394223916352504,9
constant40,prefix20,eval,9,-0.19810742637139978,9,-0.08639087320990646,9,-0.18663940716429184,9
decay40,constant40,dropout,9,0.12876569415437888,0,0.06451807457231995,0,0.12182762661964808,0
decay40,constant40,eval,9,0.18115373627919484,0,0.07735897466262998,0,0.1691856800202023,0
decay40,prefix20,dropout,9,-0.036924318113949584,9,-0.013551147664598195,9,-0.034580264086159995,9
decay40,prefix20,eval,9,-0.052841590564039476,9,-0.015715007919004154,9,-0.049030442163747745,9
