schedule,cutoff,seed,epoch,mode,draw,audit_seed,return_mse,auxiliary_mse,joint_mse
constant40,2017-12-31,20260910,40,eval,-1,-1,0.7029378729107485,0.9555551456165399,0.7984933874724025
constant40,2017-12-31,20260910,40,dropout,0,20261200,0.8034142318933583,0.9710702312237742,0.9005212550157357
constant40,2017-12-31,20260910,40,dropout,1,20261201,0.7922127489107048,0.9708995998474071,0.8893027088954455
constant40,2017-12-31,20260910,40,dropout,2,20261202,0.7917749935702477,0.9707685102962836,0.8888518445998761
constant40,2017-12-31,20260910,40,dropout,3,20261203,0.7794075078087183,0.9691103395025764,0.8763185417589759
constant40,2017-12-31,20260910,40,dropout,4,20261204,0.7798610390527352,0.9697307193711737,0.8768341109898525
constant40,2017-12-31,20260910,40,dropout,5,20261205,0.792712692587886,0.9739373059448241,0.8901064231823684
constant40,2017-12-31,20260910,40,dropout,6,20261206,0.8011677221465402,0.9769855883190046,0.8988662809784407
constant40,2017-12-31,20260910,40,dropout,7,20261207,0.7729739560785177,0.9716281280369987,0.8701367688822176
decay40,2017-12-31,20260910,40,eval,-1,-1,0.8512454428034503,1.022605452020525,0.9535059880055028
decay40,2017-12-31,20260910,40,dropout,0,20261200,0.9062071730584507,1.0263123192266075,1.0088384049811114
decay40,2017-12-31,20260910,40,dropout,1,20261201,0.9080579744330897,1.0272072638219603,1.0107787008152858
decay40,2017-12-31,20260910,40,dropout,2,20261202,0.897702933456989,1.0247070458811998,1.000173638045109
decay40,2017-12-31,20260910,40,dropout,3,20261203,0.8989438939704623,1.027666149063744,1.0017105088768368
decay40,2017-12-31,20260910,40,dropout,4,20261204,0.8899322637634718,1.0264695487268207,0.9925792186361538
decay40,2017-12-31,20260910,40,dropout,5,20261205,0.8947827624245389,1.0271541997368523,0.9974981823982242
decay40,2017-12-31,20260910,40,dropout,6,20261206,0.911934372701898,1.0265197417253675,1.0145863468744347
decay40,2017-12-31,20260910,40,dropout,7,20261207,0.8785427139980119,1.0254672804494367,0.9810894420429556
constant40,2017-12-31,20260911,40,eval,-1,-1,0.7154675459928985,0.9070784575544537,0.8061753917483439
constant40,2017-12-31,20260911,40,dropout,0,20261200,0.785473625947793,0.9334292884258925,0.8788165547903822
constant40,2017-12-31,20260911,40,dropout,1,20261201,0.7881965437160927,0.932306119603803,0.881427155676473
constant40,2017-12-31,20260911,40,dropout,2,20261202,0.7787063337220983,0.932224332733486,0.871928766995447
constant40,2017-12-31,20260911,40,dropout,3,20261203,0.801185644158272,0.936277002635655,0.8948133444218375
constant40,2017-12-31,20260911,40,dropout,4,20261204,0.7798445566886942,0.9331506178098263,0.8731596184696768
constant40,2017-12-31,20260911,40,dropout,5,20261205,0.7833941641349824,0.9380712549938099,0.8772012896343634
constant40,2017-12-31,20260911,40,dropout,6,20261206,0.7822639560297701,0.9373247635787235,0.8759964323876424
constant40,2017-12-31,20260911,40,dropout,7,20261207,0.7805194085413674,0.9375443786817811,0.8742738464095454
decay40,2017-12-31,20260911,40,eval,-1,-1,0.8993873342770974,0.9927899420119298,0.9986663284782904
decay40,2017-12-31,20260911,40,dropout,0,20261200,0.9215155667026834,1.007889383611257,1.022304505063809
decay40,2017-12-31,20260911,40,dropout,1,20261201,0.9262928177320947,1.010319231342218,1.0273247408663164
decay40,2017-12-31,20260911,40,dropout,2,20261202,0.9269369630135332,1.0107641245046446,1.0280133754639977
decay40,2017-12-31,20260911,40,dropout,3,20261203,0.9170402545487745,1.0053340460709934,1.0175736591558737
decay40,2017-12-31,20260911,40,dropout,4,20261204,0.9135414182545761,1.004000150866105,1.0139414333411867
decay40,2017-12-31,20260911,40,dropout,5,20261205,0.9272146794914065,1.0128852813543487,1.0285032076268412
decay40,2017-12-31,20260911,40,dropout,6,20261206,0.9212546846704135,1.0087684276375,1.0221315274341636
decay40,2017-12-31,20260911,40,dropout,7,20261207,0.913531179246839,1.0049966541235473,1.0140308446591937
constant40,2017-12-31,20260912,40,eval,-1,-1,0.6947967927825345,0.949723186248889,0.7897691114074233
constant40,2017-12-31,20260912,40,dropout,0,20261200,0.7732074211441897,0.9688396812444364,0.8700913892686334
constant40,2017-12-31,20260912,40,dropout,1,20261201,0.768932232645559,0.9654458255081907,0.8654768151963781
constant40,2017-12-31,20260912,40,dropout,2,20261202,0.7650609122320917,0.9612157452958098,0.8611824867616726
constant40,2017-12-31,20260912,40,dropout,3,20261203,0.7741948768230295,0.9691958127474508,0.8711144580977745
constant40,2017-12-31,20260912,40,dropout,4,20261204,0.7606587350415344,0.960366914936822,0.8566954265352166
constant40,2017-12-31,20260912,40,dropout,5,20261205,0.7584258020926391,0.9666080216014662,0.8550866042527857
constant40,2017-12-31,20260912,40,dropout,6,20261206,0.7712942926650569,0.9665092862454266,0.8679452212895995
constant40,2017-12-31,20260912,40,dropout,7,20261207,0.7715657125424659,0.967205991353551,0.868286311677821
decay40,2017-12-31,20260912,40,eval,-1,-1,0.8249416233182681,1.0450377907510735,0.9294454023933755
decay40,2017-12-31,20260912,40,dropout,0,20261200,0.879276387362519,1.05298337171185,0.984574724533704
decay40,2017-12-31,20260912,40,dropout,1,20261201,0.8739928974255929,1.052382290341111,0.979231126459704
decay40,2017-12-31,20260912,40,dropout,2,20261202,0.8727393608559683,1.0500462857364756,0.9777439894296158
decay40,2017-12-31,20260912,40,dropout,3,20261203,0.8687415533413465,1.054604050282642,0.9742019583696107
