schedule,year,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,mae,reassigned_mse,reassignment_mse_relative_change
archived20,2018,0.0009424487150258133,0.030699327598920034,0.6530612244897959,0.21093203889644357,0.00379155083387412,49,0.6845238095238095,0.6938775510204082,0.030959823922230734,0.00379155083387412,0.0,0.02408183319279364,0.0009250761211127172,-0.01843346341940766
archived20,2019,0.0006540511204060153,0.02557442316858809,0.5652173913043478,0.3622500329221676,0.007319686302999174,46,0.59375,0.43478260869565216,0.07104743442346795,0.007319686302999174,0.0,0.020500639277095792,0.0007104309425042428,0.08620094108733967
archived20,2020,0.0011746367494049896,0.03427297403793534,0.5652173913043478,-0.03373137867566068,0.0067285832698688085,46,0.5138888888888888,0.7391304347826086,-0.044446212093575355,0.0067285832698688085,0.0,0.027059115782565517,0.0012561819239044637,0.069421610162274
constant40,2018,0.0010118717504429492,0.03180993163216402,0.5918367346938775,0.07148794492187246,0.008673720433224438,49,0.6011904761904762,0.5510204081632653,-0.040422002369115084,0.008673720433224438,0.0,0.024494610114257208,0.0008737692153994626,-0.13648225181010532
constant40,2019,0.0006787575850346717,0.026052976510077916,0.6521739130434783,0.3755985896493725,0.01319200268373842,46,0.6895833333333333,0.43478260869565216,0.0359567007070134,0.01319200268373842,0.0,0.02026978218600936,0.0007015091519698297,0.03351942937624153
constant40,2020,0.001237460209726559,0.035177552639809366,0.5652173913043478,-0.010402328457308076,0.01057310184030202,46,0.5238095238095238,0.6956521739130435,-0.10030665166922437,0.01057310184030202,-2.220446049250313e-16,0.028634741822883565,0.0012988892764070853,0.04964124599537656
decay40,2018,0.0009442295792704007,0.030728318848749287,0.5714285714285714,0.20551642843429935,0.0052899667587501505,49,0.5952380952380952,0.6530612244897959,0.029128712081733066,0.0052899667587501505,0.0,0.02389894458104146,0.00091501411832386,-0.03094105669631253
decay40,2019,0.000611083468366201,0.024720102515285024,0.6521739130434783,0.41709595159316004,0.00942094058904563,46,0.675,0.4782608695652174,0.13207463757909788,0.00942094058904563,0.0,0.019825200027716258,0.0006862957360695878,0.12308018723608272
decay40,2020,0.0012132497031166862,0.034831734138809196,0.5217391304347826,-0.031184509553194274,0.008811323713221166,46,0.48809523809523814,0.6521739130434783,-0.07877950982357973,0.008811323713221166,0.0,0.027935915069164496,0.0013019183177626597,0.07308356591243736
