cutoff,seed,schedule,epoch,return_mse,auxiliary_mse,joint_mse
2017-12-31,20260910,prefix20,0,0.9999999963365559,1.3750367596372517,1.1375036723002812
2017-12-31,20260910,prefix20,5,0.9997599866268727,1.0091180861555706,1.1006717952424299
2017-12-31,20260910,prefix20,10,0.9994768548676618,1.0021083560551343,1.0996876904731752
2017-12-31,20260910,prefix20,15,0.9947408813403548,1.0017598273257,1.0949168640729248
2017-12-31,20260910,prefix20,20,0.9035683571859784,1.0320103441779107,1.0067693916037694
2017-12-31,20260911,prefix20,0,0.9999999963365559,1.6656157302451504,1.166561569361071
2017-12-31,20260911,prefix20,5,0.9999309515291604,1.00404970682003,1.1003359222111635
2017-12-31,20260911,prefix20,10,0.997111644991054,1.0019544954339532,1.0973070945344494
2017-12-31,20260911,prefix20,15,0.9701751523316912,1.0151023309371467,1.0716853854254058
2017-12-31,20260911,prefix20,20,0.9383147261743835,1.0268788914483693,1.0410026153192204
2017-12-31,20260912,prefix20,0,0.9999999963365559,1.4847182631670222,1.1484718226532582
2017-12-31,20260912,prefix20,5,1.000555409643813,1.003731737184173,1.1009285833622302
2017-12-31,20260912,prefix20,10,0.9996793987729942,1.0011909495754983,1.099798493730544
2017-12-31,20260912,prefix20,15,0.9958772476475027,1.0013340038133072,1.0960106480288334
2017-12-31,20260912,prefix20,20,0.8647827002667409,1.0581026276411474,0.9705929630308556
2018-12-31,20260910,prefix20,0,1.000000002511758,1.3750202232416193,1.1375020248359198
2018-12-31,20260910,prefix20,5,0.9997562605734118,1.015339963046959,1.1012902568781078
2018-12-31,20260910,prefix20,10,0.9894077692264696,1.0137628893746584,1.0907840581639354
2018-12-31,20260910,prefix20,15,0.9414248656964855,1.010821636969816,1.042507029393467
2018-12-31,20260910,prefix20,20,0.8408978699111447,0.978892420167913,0.938787111927936
2018-12-31,20260911,prefix20,0,1.000000002511758,1.6661073366438952,1.1666107361761475
2018-12-31,20260911,prefix20,5,0.9998153708781378,1.0023512402195474,1.1000504949000924
2018-12-31,20260911,prefix20,10,0.9976908057791436,1.0004771837711584,1.0977385241562594
2018-12-31,20260911,prefix20,15,0.9443578683403694,1.0165197317086583,1.046009841511235
2018-12-31,20260911,prefix20,20,0.8820400550238803,1.0100207789425333,0.9830421329181336
2018-12-31,20260912,prefix20,0,1.000000002511758,1.4848892443940889,1.1484889269511669
2018-12-31,20260912,prefix20,5,0.9998221497379385,1.0033596271318361,1.1001581124511222
2018-12-31,20260912,prefix20,10,0.999142385441898,1.0004902171753522,1.0991914071594333
2018-12-31,20260912,prefix20,15,0.9730286597694286,1.0247738361824061,1.0755060433876693
2018-12-31,20260912,prefix20,20,0.9068090927422244,1.0478992922108412,1.0115990219633086
2019-12-31,20260910,prefix20,0,1.0000000010567107,1.375075494169363,1.137507550473647
2019-12-31,20260910,prefix20,5,1.0002465058691457,1.0093646651499542,1.101182972384141
2019-12-31,20260910,prefix20,10,0.999619525132353,1.0008629975707095,1.099705824889424
2019-12-31,20260910,prefix20,15,0.978304238725527,1.046907959859517,1.0829950347114787
2019-12-31,20260910,prefix20,20,0.9083641118845437,1.013135403589137,1.0096776522434574
2019-12-31,20260911,prefix20,0,1.0000000010567107,1.6660587808138778,1.1666058791380984
2019-12-31,20260911,prefix20,5,0.9993246787824689,1.0083127971230974,1.1001559584947787
2019-12-31,20260911,prefix20,10,0.9608038593730114,1.0154323947054547,1.0623470988435568
2019-12-31,20260911,prefix20,15,0.9141344624831509,1.004777550198327,1.0146122175029837
2019-12-31,20260911,prefix20,20,0.882861090183672,0.977236361170992,0.9805847263007712
2019-12-31,20260912,prefix20,0,1.0000000010567107,1.4847883362555339,1.148478834682264
2019-12-31,20260912,prefix20,5,1.0001579853934504,1.0016509851789226,1.1003230839113427
2019-12-31,20260912,prefix20,10,0.9995292191273618,1.0005213376452962,1.0995813528918914
2019-12-31,20260912,prefix20,15,0.9687191253614105,1.026120574805051,1.0713311828419156
2019-12-31,20260912,prefix20,20,0.9001538581460073,1.039286982510712,1.0040825563970786
