schedule,cutoff,seed,epoch,return_mse,auxiliary_mse,joint_mse
constant40,2017-12-31,20260910,25,0.8365829475426756,1.0031600111587078,0.9368989486585464
constant40,2017-12-31,20260910,30,0.7851478144989016,0.9871924952232014,0.8838670640212217
constant40,2017-12-31,20260910,35,0.7331021369841648,0.9743212360125013,0.8305342605854149
constant40,2017-12-31,20260910,40,0.7029378729107485,0.9555551456165399,0.7984933874724025
decay40,2017-12-31,20260910,25,0.8760138196096416,1.034382624607156,0.9794520820703573
decay40,2017-12-31,20260910,30,0.8670959397411376,1.031380114774969,0.9702339512186345
decay40,2017-12-31,20260910,35,0.858404330571434,1.0266487264852522,0.9610692032199591
decay40,2017-12-31,20260910,40,0.8512454428034503,1.022605452020525,0.9535059880055028
constant40,2017-12-31,20260911,25,0.8844693843355412,0.978512061229231,0.9823205904584643
constant40,2017-12-31,20260911,30,0.82156156652132,0.9513181206638147,0.9166933785877014
constant40,2017-12-31,20260911,35,0.7522222864161707,0.925272478954034,0.8447495343115741
constant40,2017-12-31,20260911,40,0.7154675459928985,0.9070784575544537,0.8061753917483439
decay40,2017-12-31,20260911,25,0.9224039350066788,1.000965823984402,1.022500517405119
decay40,2017-12-31,20260911,30,0.9134217770741044,0.9971112598297636,1.0131329030570808
decay40,2017-12-31,20260911,35,0.9064998012846138,0.9962415670458765,1.0061239579892014
decay40,2017-12-31,20260911,40,0.8993873342770974,0.9927899420119298,0.9986663284782904
constant40,2017-12-31,20260912,25,0.8242888385871265,1.0187757072972492,0.9261664093168515
constant40,2017-12-31,20260912,30,0.7935956773720977,0.9943656658973541,0.8930322439618331
constant40,2017-12-31,20260912,35,0.7767794038716853,0.9791032018381947,0.8746897240555048
constant40,2017-12-31,20260912,40,0.6947967927825345,0.949723186248889,0.7897691114074233
decay40,2017-12-31,20260912,25,0.8479446680765818,1.0609377219393867,0.9540384402705204
decay40,2017-12-31,20260912,30,0.8381078043421175,1.0559456351660503,0.9437023678587225
decay40,2017-12-31,20260912,35,0.8310206860089996,1.0486545209751794,0.9358861381065176
decay40,2017-12-31,20260912,40,0.8249416233182681,1.0450377907510735,0.9294454023933755
constant40,2018-12-31,20260910,25,0.8009369364614908,0.9458245053995965,0.8955193870014504
constant40,2018-12-31,20260910,30,0.7788757885390382,0.9242375740419757,0.8712995459432358
constant40,2018-12-31,20260910,35,0.7232795628653418,0.8922910333079233,0.8125086661961342
constant40,2018-12-31,20260910,40,0.701669870406377,0.8807623924426676,0.7897461096506437
decay40,2018-12-31,20260910,25,0.8264249645887254,0.9733183506230462,0.92375679965103
decay40,2018-12-31,20260910,30,0.8187936849909718,0.968555712039771,0.915649256194949
decay40,2018-12-31,20260910,35,0.8136995927584858,0.9645477939457213,0.910154372153058
decay40,2018-12-31,20260910,40,0.8095241609531505,0.9612897223929202,0.9056531331924426
constant40,2018-12-31,20260911,25,0.825633223031864,0.9614697051453194,0.921780193546396
constant40,2018-12-31,20260911,30,0.7924188581395457,0.9333176241856977,0.8857506205581155
constant40,2018-12-31,20260911,35,0.7595458171359605,0.9089138850914911,0.8504372056451096
constant40,2018-12-31,20260911,40,0.7413527703845463,0.8986098929068373,0.83121375967523
decay40,2018-12-31,20260911,25,0.8470112790455704,0.9977823779886741,0.9467895168444378
decay40,2018-12-31,20260911,30,0.8363679893253331,0.989368140600517,0.9353048033853848
decay40,2018-12-31,20260911,35,0.829967762600284,0.985297155552454,0.9284974781555294
decay40,2018-12-31,20260911,40,0.8254735146200953,0.9788810203161201,0.9233616166517074
constant40,2018-12-31,20260912,25,0.852424181069863,1.0307084157256208,0.955495022642425
