schedule,n,prediction_mean,actual_mean,squared_bias,prediction_variance,target_variance,prediction_target_covariance,negative_twice_covariance,mse,reconstructed_mse
archived20,141,0.001965054409740789,0.001866418609211463,9.729021146060968e-09,4.339960705631743e-05,0.0009304551136941221,2.4876802731285306e-05,-4.975360546257061e-05,0.0009241108443090148,0.000924110844309015
constant40,141,0.0008643270579736391,0.001866418609211463,1.0041874770622284e-06,0.00012539460315589432,0.0009304551136941221,4.003073113261351e-05,-8.006146226522702e-05,0.0009767924420618515,0.0009767924420618517
decay40,141,0.0018086961252910423,0.001866418609211463,3.3318851499432296e-09,6.6692310359463e-05,0.0009304551136941221,3.692085572659274e-05,-7.384171145318548e-05,0.0009233090444855494,0.0009233090444855496
