cutoff,seed,schedule,epoch,mode,draw,audit_seed,return_mse,auxiliary_mse,joint_mse
2017-12-31,20260910,prefix20,20,eval,-1,-1,0.9035683571859784,1.0320103441779107,1.0067693916037694
2017-12-31,20260910,prefix20,20,dropout,0,20261200,0.9362978226125377,1.0335628770567096,1.0396541103182086
2017-12-31,20260910,prefix20,20,dropout,1,20261201,0.9370053251991944,1.033509644589812,1.0403562896581757
2017-12-31,20260910,prefix20,20,dropout,2,20261202,0.9368827711688783,1.0317039817962375,1.040053169348502
2017-12-31,20260910,prefix20,20,dropout,3,20261203,0.932995823639369,1.0345501135213298,1.036450834991502
2017-12-31,20260910,prefix20,20,dropout,4,20261204,0.9319760426120182,1.0327251631016172,1.0352485589221798
2017-12-31,20260910,prefix20,20,dropout,5,20261205,0.9307218661213952,1.0344329994078614,1.0341651660621813
2017-12-31,20260910,prefix20,20,dropout,6,20261206,0.9448224849050858,1.0328203210334101,1.0481045170084269
2017-12-31,20260910,prefix20,20,dropout,7,20261207,0.9224340835118059,1.033317269040305,1.0257658104158365
2017-12-31,20260911,prefix20,20,eval,-1,-1,0.9383147261743835,1.0268788914483693,1.0410026153192204
2017-12-31,20260911,prefix20,20,dropout,0,20261200,0.9518175743013163,1.0350775331862634,1.0553253276199426
2017-12-31,20260911,prefix20,20,dropout,1,20261201,0.948216993889709,1.0348462695821996,1.051701620847929
2017-12-31,20260911,prefix20,20,dropout,2,20261202,0.9501555180287701,1.036259740186995,1.0537814920474695
2017-12-31,20260911,prefix20,20,dropout,3,20261203,0.9496862585774629,1.0331362508064197,1.052999883658105
2017-12-31,20260911,prefix20,20,dropout,4,20261204,0.9474370818863235,1.0310346140804856,1.050540543294372
2017-12-31,20260911,prefix20,20,dropout,5,20261205,0.9533138753054616,1.0373494864726733,1.057048823952729
2017-12-31,20260911,prefix20,20,dropout,6,20261206,0.9463971015514775,1.0352667876862265,1.0499237803201003
2017-12-31,20260911,prefix20,20,dropout,7,20261207,0.9457982863199131,1.0336992096186963,1.0491682072817827
2017-12-31,20260912,prefix20,20,eval,-1,-1,0.8647827002667409,1.0581026276411474,0.9705929630308556
2017-12-31,20260912,prefix20,20,dropout,0,20261200,0.9095061410852053,1.0680542465863267,1.016311565743838
2017-12-31,20260912,prefix20,20,dropout,1,20261201,0.9010326297315904,1.0656531639752356,1.007597946129114
2017-12-31,20260912,prefix20,20,dropout,2,20261202,0.9030400198634768,1.063702325732919,1.0094102524367687
2017-12-31,20260912,prefix20,20,dropout,3,20261203,0.9037451830491099,1.067739526806699,1.0105191357297798
2017-12-31,20260912,prefix20,20,dropout,4,20261204,0.9047588265744084,1.0683955036245811,1.0115983769368666
2017-12-31,20260912,prefix20,20,dropout,5,20261205,0.9041144880498235,1.0676522402978625,1.0108797120796098
2017-12-31,20260912,prefix20,20,dropout,6,20261206,0.8987621981881971,1.0676121073503033,1.0055234089232274
2017-12-31,20260912,prefix20,20,dropout,7,20261207,0.9076206091734308,1.0684895980548161,1.0144695689789125
2018-12-31,20260910,prefix20,20,eval,-1,-1,0.8408978699111447,0.978892420167913,0.938787111927936
2018-12-31,20260910,prefix20,20,dropout,0,20261200,0.8853522587328199,0.9955711044072484,0.9849093691735447
2018-12-31,20260910,prefix20,20,dropout,1,20261201,0.8926216647939319,0.9982026676331753,0.9924419315572495
2018-12-31,20260910,prefix20,20,dropout,2,20261202,0.9067702644455554,0.9987135897586893,1.0066416234214244
2018-12-31,20260910,prefix20,20,dropout,3,20261203,0.8847826825770448,0.9973397984895186,0.9845166624259967
2018-12-31,20260910,prefix20,20,dropout,4,20261204,0.8864120385521276,0.992825449959708,0.9856945835480984
2018-12-31,20260910,prefix20,20,dropout,5,20261205,0.8890200258457376,0.9973093308236902,0.9887509589281066
2018-12-31,20260910,prefix20,20,dropout,6,20261206,0.8882555196256688,0.9934436921253296,0.9875998888382018
2018-12-31,20260910,prefix20,20,dropout,7,20261207,0.8800618692439723,0.9947440797799518,0.9795362772219676
2018-12-31,20260911,prefix20,20,eval,-1,-1,0.8820400550238803,1.0100207789425333,0.9830421329181336
2018-12-31,20260911,prefix20,20,dropout,0,20261200,0.9242132847019833,1.0211317945021567,1.026326464152199
2018-12-31,20260911,prefix20,20,dropout,1,20261201,0.9115114978582973,1.0206510590865456,1.0135766037669518
2018-12-31,20260911,prefix20,20,dropout,2,20261202,0.9092166252634609,1.0168253225465884,1.0108991575181197
2018-12-31,20260911,prefix20,20,dropout,3,20261203,0.918364479510957,1.021587143945452,1.0205231939055022
2018-12-31,20260911,prefix20,20,dropout,4,20261204,0.9135194720994746,1.0171019349699062,1.0152296655964652
2018-12-31,20260911,prefix20,20,dropout,5,20261205,0.9228947996695244,1.0206247304237988,1.0249572727119043
2018-12-31,20260911,prefix20,20,dropout,6,20261206,0.9104441855648215,1.0219996012320653,1.0126441456880282
2018-12-31,20260911,prefix20,20,dropout,7,20261207,0.9078786142033095,1.0192112239259006,1.0097997365958995
2018-12-31,20260912,prefix20,20,eval,-1,-1,0.9068090927422244,1.0478992922108412,1.0115990219633086
2018-12-31,20260912,prefix20,20,dropout,0,20261200,0.932638825177756,1.047566437825196,1.0373954689602756
2018-12-31,20260912,prefix20,20,dropout,1,20261201,0.9374744150387736,1.0489054482036553,1.0423649598591391
2018-12-31,20260912,prefix20,20,dropout,2,20261202,0.9276841545974138,1.0476146179955803,1.0324456163969717
2018-12-31,20260912,prefix20,20,dropout,3,20261203,0.9304267397545476,1.0481599237787296,1.0352427321324205
2018-12-31,20260912,prefix20,20,dropout,4,20261204,0.9307534123913702,1.0488726988295165,1.0356406822743218
2018-12-31,20260912,prefix20,20,dropout,5,20261205,0.9286381481874624,1.0491819559368132,1.0335563437811437
2018-12-31,20260912,prefix20,20,dropout,6,20261206,0.9312243851026004,1.0485400610071554,1.036078391203316
2018-12-31,20260912,prefix20,20,dropout,7,20261207,0.9413778056816027,1.0475057663666525,1.0461283823182679
2019-12-31,20260910,prefix20,20,eval,-1,-1,0.9083641118845437,1.013135403589137,1.0096776522434574
2019-12-31,20260910,prefix20,20,dropout,0,20261200,0.9340034742774564,1.0182774707089945,1.0358312213483558
2019-12-31,20260910,prefix20,20,dropout,1,20261201,0.9251285912621501,1.0182296201363035,1.0269515532757805
2019-12-31,20260910,prefix20,20,dropout,2,20261202,0.9250737193048157,1.0179446482682475,1.0268681841316405
2019-12-31,20260910,prefix20,20,dropout,3,20261203,0.9298017492925668,1.0186755438135209,1.0316693036739188
2019-12-31,20260910,prefix20,20,dropout,4,20261204,0.9242420749634287,1.019216855551712,1.0261637605185998
2019-12-31,20260910,prefix20,20,dropout,5,20261205,0.9323931651289674,1.0171067936246996,1.0341038444914374
2019-12-31,20260910,prefix20,20,dropout,6,20261206,0.9375055081642695,1.018081179324873,1.0393136260967568
2019-12-31,20260910,prefix20,20,dropout,7,20261207,0.9288416528531502,1.0156755479547361,1.0304092076486238
2019-12-31,20260911,prefix20,20,eval,-1,-1,0.882861090183672,0.977236361170992,0.9805847263007712
2019-12-31,20260911,prefix20,20,dropout,0,20261200,0.9251983441595268,0.9947374670647997,1.0246720908660067
2019-12-31,20260911,prefix20,20,dropout,1,20261201,0.9377759215509234,1.0034083402597327,1.0381167555768966
2019-12-31,20260911,prefix20,20,dropout,2,20261202,0.9162040361098402,0.9919031621832357,1.0153943523281639
2019-12-31,20260911,prefix20,20,dropout,3,20261203,0.9138203137234514,0.9921061416094215,1.0130309278843936
2019-12-31,20260911,prefix20,20,dropout,4,20261204,0.9186685288583644,0.994623413709515,1.018130870229316
2019-12-31,20260911,prefix20,20,dropout,5,20261205,0.9282440652066191,0.9970847026477234,1.0279525354713914
2019-12-31,20260911,prefix20,20,dropout,6,20261206,0.9189294174707442,0.9965400086109275,1.018583418331837
2019-12-31,20260911,prefix20,20,dropout,7,20261207,0.9159068606201429,0.9880208861280672,1.0147089492329497
