schedule,cutoff,seed,epoch,train_n,presentations,optimizer_steps,learning_rate,training_order_sha256,batch_boundaries_sha256,online_joint_mse,online_return_mse,online_auxiliary_mse,raw_gradient_norm_mean,raw_gradient_norm_max,gradient_clipping_fraction
constant40,2017-12-31,20260910,21,1678,1678,14,0.001,f8b1ab2bf884072a39287f0a036fa3648a70aaf1092874cc21486b6aad60b622,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,1.0422136459646123,0.9386083133456533,1.0360533403270435,0.899411895445415,2.384941339492798,0.21428571428571427
constant40,2017-12-31,20260910,22,1678,1678,14,0.001,d505082389eb94b2f6ca497d4d725768adf9feca18fbbcb8308e9ec2746a6113,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,1.0279056774419026,0.9246213792759983,1.0328428265022578,1.143910186631339,2.676931619644165,0.6428571428571429
constant40,2017-12-31,20260910,23,1678,1678,14,0.001,e65da83186b9028638b7f24383f36d2d824d059548d262737537acaeea13b463,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,0.9986882849160196,0.8960932378831439,1.025950605238436,1.0730291562420982,2.869643211364746,0.42857142857142855
constant40,2017-12-31,20260910,24,1678,1678,14,0.001,dfa31ce11afe47b1e9fbd5d8f49cce1c3ea7779a00a36d3ac91a19dde60155c3,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,1.0088811478398838,0.9072442960185004,1.0163686318818093,1.0230621142046792,1.6980429887771606,0.42857142857142855
constant40,2017-12-31,20260910,25,1678,1678,14,0.001,620ab558e4927be14ec5fdd0b8c8b1252054febaabc45a54c48308262d49700c,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,0.993123387196351,0.8912122613340794,1.0191113475679072,1.1065441157136644,1.777426838874817,0.5
constant40,2017-12-31,20260910,26,1678,1678,14,0.001,7559c98ebc27a1c0dd12d03ae048f7367793bcc99299c67fd9785c109f88e28b,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,0.9827447832696344,0.8822233311752028,1.0052145836037873,1.1880878593240465,4.961904048919678,0.21428571428571427
constant40,2017-12-31,20260910,27,1678,1678,14,0.001,326d3b028ca119c89f0a35ec65b85784b737e3d224a5953c0c3e2f3d0a3f583b,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,0.9828057736691189,0.8820247325482329,1.0078104511347374,1.3122722676822118,3.3999533653259277,0.6428571428571429
constant40,2017-12-31,20260910,28,1678,1678,14,0.001,63129dfed8213a81ae562b9b3f8a244d03e0e784155d888647b686fa691dc3eb,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,0.9837301172431518,0.88364381106022,1.0008631608625418,1.054603329726628,2.0953636169433594,0.35714285714285715
constant40,2017-12-31,20260910,29,1678,1678,14,0.001,5a271a8e2697509cb4dcda95620a105e202a7ecb1167f74d677abcc1c0e09a46,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,0.9626062444907405,0.8623956193230575,1.0021062779625494,1.5568927483899253,4.566810607910156,0.9285714285714286
constant40,2017-12-31,20260910,30,1678,1678,14,0.001,35cf488dcbe714575c106400a2a9180e9715e23e8b16f1a5b6d3847b17e8a5ca,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,0.9470573770275275,0.8474059124456117,0.9965146029094973,1.1829678671700614,2.252150774002075,0.7857142857142857
constant40,2017-12-31,20260910,31,1678,1678,14,0.001,71a94f077909b62f29f4b55048d6bcb24718fead5f37adc16a9bce96fc31cd00,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,0.9535175733827721,0.854020536336626,0.9949703760027744,1.2264274912221091,2.290515184402466,0.7857142857142857
constant40,2017-12-31,20260910,32,1678,1678,14,0.001,6e987d5715b92baaf489d530f576d6cd9d446ae68f3361ac008e3b7c6a90e1d9,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,0.9422909137887239,0.8427807468126158,0.9951016672745933,1.2958719049181258,1.7024502754211426,0.8571428571428571
constant40,2017-12-31,20260910,33,1678,1678,14,0.001,440e9b853d9590c672b55995b06125b674018448fce5c77fead3d0a1a422d9ff,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,0.9403060114142153,0.8409252589450832,0.9938075959469337,1.1972998125212533,2.5651471614837646,0.5714285714285714
constant40,2017-12-31,20260910,34,1678,1678,14,0.001,81d1d0e3dc0916a6501e833d3700138c19fd43e5e3f1e4a9fcb36f3761d2f5b9,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,0.9688036115007548,0.8691368358780289,0.9966676582596725,1.3697569583143507,3.2267563343048096,0.8571428571428571
constant40,2017-12-31,20260910,35,1678,1678,14,0.001,c9866e3d372536d91811f96fb4623efbafc15b4c51cd8c8cd8e70c7c0805aa8b,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,0.9250853701058389,0.8261064781193511,0.9897888597629352,1.378936963421958,2.9068477153778076,0.7857142857142857
constant40,2017-12-31,20260910,36,1678,1678,14,0.001,2fcdfa714ed910a56f5e3b7b21b97d72860b74781e91f5983589785edc65811e,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,0.9047103431852839,0.8061139407402285,0.9859639971702403,1.5463779611246926,3.1113669872283936,0.9285714285714286
constant40,2017-12-31,20260910,37,1678,1678,14,0.001,5c152597fd4701e52eba9afdb934eb4daee9f8b1ae6b8465a36866e02c538629,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,0.9053831209158869,0.8073577862388329,0.9802533003087549,1.3969794469220298,2.6238467693328857,0.7857142857142857
constant40,2017-12-31,20260910,38,1678,1678,14,0.001,a899f17326e6860baa478fa04c63d517ffbd2d4d63c15780d8606f2e79329715,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,0.8820650654271049,0.7843931714456897,0.976718919638087,1.623614877462387,5.078554630279541,0.9285714285714286
constant40,2017-12-31,20260910,39,1678,1678,14,0.001,2cf48a7987218202ceae364081254ba025490c6c8c58e48223387716b1b81265,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,0.8898993883996811,0.7919063607188601,0.9799303354182601,1.7355722529547555,3.696617841720581,1.0
constant40,2017-12-31,20260910,40,1678,1678,14,0.001,84a86b4d414e6b1611cc6133a94f99aa64556b125ac7b8f38834476102271e9a,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,0.899525174011917,0.8022526799566839,0.9727250425693389,1.5247856634003776,3.2431106567382812,1.0
decay40,2017-12-31,20260910,21,1678,1678,14,0.0001,f8b1ab2bf884072a39287f0a036fa3648a70aaf1092874cc21486b6aad60b622,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,1.0431439735892276,0.9398985234432198,1.0324546237241952,0.8835533687046596,2.8877923488616943,0.14285714285714285
decay40,2017-12-31,20260910,22,1678,1678,14,0.0001,d505082389eb94b2f6ca497d4d725768adf9feca18fbbcb8308e9ec2746a6113,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,1.0222200067165497,0.918752630149082,1.0346735439510824,0.8908833393028804,2.2961528301239014,0.2857142857142857
decay40,2017-12-31,20260910,23,1678,1678,14,0.0001,e65da83186b9028638b7f24383f36d2d824d059548d262737537acaeea13b463,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,1.017690762788661,0.9140293466036027,1.0366142618784036,0.9701980309826987,3.1547367572784424,0.2857142857142857
decay40,2017-12-31,20260910,24,1678,1678,14,0.0001,dfa31ce11afe47b1e9fbd5d8f49cce1c3ea7779a00a36d3ac91a19dde60155c3,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,1.0221596265009674,0.9187152988151941,1.0344432976021385,0.8769548918519702,1.498616337776184,0.35714285714285715
decay40,2017-12-31,20260910,25,1678,1678,14,0.0001,620ab558e4927be14ec5fdd0b8c8b1252054febaabc45a54c48308262d49700c,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,1.014120689379018,0.9103396480572238,1.0378102157198346,0.9359834151608604,1.4642648696899414,0.35714285714285715
decay40,2017-12-31,20260910,26,1678,1678,14,0.0001,7559c98ebc27a1c0dd12d03ae048f7367793bcc99299c67fd9785c109f88e28b,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,1.0117176945928452,0.9080664509101477,1.036512542396109,1.059913354260581,4.311391353607178,0.21428571428571427
decay40,2017-12-31,20260910,27,1678,1678,14,0.0001,326d3b028ca119c89f0a35ec65b85784b737e3d224a5953c0c3e2f3d0a3f583b,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,1.0101900299626965,0.9067787874014926,1.0341123851888654,1.0080109536647797,2.3603780269622803,0.42857142857142855
decay40,2017-12-31,20260910,28,1678,1678,14,0.0001,63129dfed8213a81ae562b9b3f8a244d03e0e784155d888647b686fa691dc3eb,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,1.0207412183213718,0.9174082725352127,1.0333295129195157,0.8896488802773612,1.6800354719161987,0.2857142857142857
decay40,2017-12-31,20260910,29,1678,1678,14,0.0001,5a271a8e2697509cb4dcda95620a105e202a7ecb1167f74d677abcc1c0e09a46,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,1.0058371402651818,0.9025970087858434,1.0324013748953254,1.1666269430092402,4.143953323364258,0.35714285714285715
decay40,2017-12-31,20260910,30,1678,1678,14,0.0001,35cf488dcbe714575c106400a2a9180e9715e23e8b16f1a5b6d3847b17e8a5ca,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,1.0111440778915306,0.9078152794945936,1.0332880172882943,0.9211864769458771,1.969473958015442,0.2857142857142857
decay40,2017-12-31,20260910,31,1678,1678,14,0.0001,71a94f077909b62f29f4b55048d6bcb24718fead5f37adc16a9bce96fc31cd00,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,1.0131108917482419,0.909902206763039,1.0320868534041532,0.9432596692017147,1.7064696550369263,0.2857142857142857
decay40,2017-12-31,20260910,32,1678,1678,14,0.0001,6e987d5715b92baaf489d530f576d6cd9d446ae68f3361ac008e3b7c6a90e1d9,11160b7c6491943305a0f55c59eec9c7321c416054adc973398d0781b5b62f19,1.0068862446016578,0.9037854571308368,1.0310079797800449,0.9740513478006635,1.812247395515442,0.2857142857142857
