schedule,cutoff,seed,mode,draws,return_mse,return_mse_draw_sd,auxiliary_mse,auxiliary_mse_draw_sd,joint_mse,joint_mse_draw_sd
prefix20,2017-12-31,20260910,eval,1,0.9035683571859784,0.0,1.0320103441779107,0.0,1.0067693916037694,0.0
prefix20,2017-12-31,20260910,dropout,8,0.9341420274712856,0.006427713464069713,1.0333277961934102,0.0009305487893624624,1.0374748070906266,0.006400334989547366
prefix20,2017-12-31,20260911,eval,1,0.9383147261743836,0.0,1.0268788914483693,0.0,1.0410026153192204,0.0
prefix20,2017-12-31,20260911,dropout,8,0.9491028362325543,0.002628189978457259,1.034583736452495,0.0019534420743669762,1.0525612098778039,0.002745152565813111
prefix20,2017-12-31,20260912,eval,1,0.8647827002667409,0.0,1.0581026276411474,0.0,0.9705929630308556,0.0
prefix20,2017-12-31,20260912,dropout,8,0.9040725119644053,0.0034058690837852315,1.067162339053593,0.0016519491695305625,1.0107887458697644,0.0034762805524695822
prefix20,2018-12-31,20260910,eval,1,0.8408978699111447,0.0,0.978892420167913,0.0,0.938787111927936,0.0
prefix20,2018-12-31,20260910,dropout,8,0.8891595404771073,0.007990434366540365,0.9960187141221639,0.0022069916327488097,0.9887614118893238,0.00812370527106003
prefix20,2018-12-31,20260911,eval,1,0.8820400550238803,0.0,1.0100207789425333,0.0,0.9830421329181336,0.0
prefix20,2018-12-31,20260911,dropout,8,0.9147553698589785,0.006294351914754562,1.0198916013290518,0.0019863131386920366,1.0167445299918838,0.006381705582839576
prefix20,2018-12-31,20260912,eval,1,0.9068090927422244,0.0,1.0478992922108412,0.0,1.0115990219633086,0.0
prefix20,2018-12-31,20260912,dropout,8,0.9325272357414409,0.004639211954222872,1.0482933637429124,0.0006748507864072664,1.037356572115732,0.004623475506532511
prefix20,2019-12-31,20260910,eval,1,0.9083641118845436,0.0,1.013135403589137,0.0,1.0096776522434574,0.0
prefix20,2019-12-31,20260910,dropout,8,0.9296237419058506,0.0047732704266677875,1.0179009574228859,0.0010822519946203427,1.0314138376481392,0.0047564824188989505
prefix20,2019-12-31,20260911,eval,1,0.882861090183672,0.0,0.977236361170992,0.0,0.9805847263007712,0.0
prefix20,2019-12-31,20260911,dropout,8,0.9218434359624514,0.008071602315729547,0.9948030152766778,0.004535431398390334,1.0213237374901194,0.0084730274834437
prefix20,2019-12-31,20260912,eval,1,0.9001538581460073,0.0,1.039286982510712,0.0,1.0040825563970786,0.0
prefix20,2019-12-31,20260912,dropout,8,0.9246408928886951,0.00451701939440273,1.0396378361146819,0.0007367245987850963,1.028604676500163,0.004515868621845659
constant40,2017-12-31,20260910,eval,1,0.7029378729107485,0.0,0.95555514561654,0.0,0.7984933874724025,0.0
