method,year,n,accuracy,wilson_low,wilson_high,balanced_accuracy,true_up_rate,predicted_up_rate,return_rmse,mse_skill_vs_zero,correlation,ohlc_invalid_fraction
fixed_5,2021,50,0.54,0.4039887139915783,0.6703034780777533,0.54,0.5,0.56,0.02673220680714939,-0.15462654180430402,0.12316069038301465,0.008
fixed_5,2022,49,0.4489795918367347,0.31852841068686966,0.5868489178050174,0.4464285714285714,0.42857142857142855,0.4897959183673469,0.029493427107628846,-0.4249119787914488,-0.1910133941468261,0.008163265306122448
fixed_5,2023,48,0.5,0.36389330502679734,0.6361066949732026,0.49546279491833034,0.3958333333333333,0.4791666666666667,0.021817140836071426,-0.18531879597984102,-0.02049550300094112,0.0125
fixed_5,2024,47,0.40425531914893614,0.2764003451920907,0.5465787704988867,0.4203296703296703,0.44680851063829785,0.6595744680851063,0.03640665728896291,-0.18439773664175663,-0.33116253964803105,0.00425531914893617
fixed_5,2025,48,0.3333333333333333,0.21676780694818834,0.4745989029405162,0.2846299810246679,0.6458333333333334,0.6041666666666666,0.02428057197479372,-0.4115447026479384,-0.2043788946587917,0.004166666666666667
fixed_5,2026,30,0.4666666666666667,0.3023238890770015,0.6385770038012628,0.48611111111111116,0.4,0.6,0.02139605356100467,-0.05658649235052837,0.013327767528750627,0.0
fixed_10,2021,50,0.52,0.38511744890044963,0.6520286471342163,0.52,0.5,0.5,0.025653935391453116,-0.063358985597195,0.18588564310341815,0.0
fixed_10,2022,49,0.4489795918367347,0.31852841068686966,0.5868489178050174,0.4464285714285714,0.42857142857142855,0.4897959183673469,0.028939200132926828,-0.3718625599940055,-0.20735041885991023,0.004081632653061224
fixed_10,2023,48,0.5416666666666666,0.40291074545650174,0.6742475770713221,0.5480943738656987,0.3958333333333333,0.5208333333333334,0.02106793920833162,-0.10530876506623899,0.08204288804905825,0.004166666666666667
fixed_10,2024,47,0.425531914893617,0.29513628343680287,0.5671808065450684,0.43956043956043955,0.44680851063829785,0.6382978723404256,0.03564751348550841,-0.13551909439842436,-0.2279289833150425,0.0
fixed_10,2025,48,0.375,0.25215266760868493,0.5163723648078435,0.3301707779886148,0.6458333333333334,0.6041666666666666,0.023639938494570148,-0.338041226638343,-0.20355765998176595,0.0
fixed_10,2026,30,0.5,0.33154125640534177,0.6684587435946583,0.5277777777777778,0.4,0.6333333333333333,0.021402298679342163,-0.05720337907235429,-0.008194574596466012,0.0
fixed_20,2021,50,0.48,0.3479713528657838,0.6148825510995504,0.48000000000000004,0.5,0.58,0.025378661958653518,-0.04066117940202241,0.14795122313669204,0.0
fixed_20,2022,49,0.4489795918367347,0.31852841068686966,0.5868489178050174,0.44047619047619047,0.42857142857142855,0.4489795918367347,0.027263155962048403,-0.2175584338010621,-0.1446724667053339,0.0
fixed_20,2023,48,0.5625,0.42275017419828137,0.6929873095934544,0.5834845735027223,0.3958333333333333,0.5833333333333334,0.02092447267355865,-0.09030635855335545,0.06319063745612072,0.0
fixed_20,2024,47,0.425531914893617,0.29513628343680287,0.5671808065450684,0.43956043956043955,0.44680851063829785,0.6382978723404256,0.035206168153081065,-0.10757584434413658,-0.18949526011100612,0.0
fixed_20,2025,48,0.3541666666666667,0.23433644125605135,0.4956094298965652,0.30075901328273247,0.6458333333333334,0.625,0.023322094801829098,-0.30230264603112267,-0.16981972748450577,0.0
