method,date,wealth,net_return,position,turnover,initial
fixed_5,2021-05-06,0.9562706805173676,-0.011162913372999461,1,0.0,False
fixed_5,2021-05-07,0.9553144098368502,-0.0010000000000000009,0,1.0,False
fixed_5,2021-05-10,0.9553144098368502,0.0,0,0.0,False
fixed_5,2021-05-11,0.9457036424837473,-0.010060318628234977,1,1.0,False
fixed_5,2021-05-12,0.9548132395629254,0.009632612871462776,1,0.0,False
fixed_5,2021-05-13,0.9526245701348113,-0.002292248721976309,1,0.0,False
fixed_5,2021-05-14,0.9555402518141125,0.0030606828447523604,1,0.0,False
fixed_5,2021-05-17,0.9760874117111784,0.021503186137953545,1,0.0,False
fixed_5,2021-05-18,0.9751113242994672,-0.0010000000000000009,0,1.0,False
fixed_5,2021-05-19,0.9751113242994672,0.0,0,0.0,False
fixed_5,2021-05-20,0.9751113242994672,0.0,0,0.0,False
fixed_5,2021-05-21,0.9751113242994672,0.0,0,0.0,False
fixed_5,2021-05-24,0.9751113242994672,0.0,0,0.0,False
fixed_5,2021-05-25,0.9751113242994672,0.0,0,0.0,False
fixed_5,2021-05-26,0.9751113242994672,0.0,0,0.0,False
fixed_5,2021-05-27,0.9751113242994672,0.0,0,0.0,False
fixed_5,2021-05-28,0.9751113242994672,0.0,0,0.0,False
fixed_5,2021-05-31,0.9751113242994672,0.0,0,0.0,False
fixed_5,2021-06-01,0.9745739998360293,-0.0005510390968168632,1,1.0,False
fixed_5,2021-06-02,0.9796790708871639,0.00523825902598829,1,0.0,False
fixed_5,2021-06-03,0.9682068570395658,-0.011710175493704567,1,0.0,False
fixed_5,2021-06-04,0.9576871501695743,-0.010865143944711386,1,0.0,False
fixed_5,2021-06-07,0.9680566540161739,0.010827652688838452,1,0.0,False
fixed_5,2021-06-08,0.9666059126195112,-0.001498612080856998,1,0.0,False
fixed_5,2021-06-09,0.9570771793550683,-0.009857929834734769,1,0.0,False
fixed_5,2021-06-10,0.9591873486593048,0.0022048057876151717,1,0.0,False
fixed_5,2021-06-11,0.966382439828611,0.007501236520021992,1,0.0,False
fixed_5,2021-06-15,0.9559066948191247,-0.010840164905463578,1,0.0,False
fixed_5,2021-06-16,0.9549507881243056,-0.0010000000000000009,0,1.0,False
fixed_5,2021-06-17,0.9549507881243056,0.0,0,0.0,False
fixed_5,2021-06-18,0.9549507881243056,0.0,0,0.0,False
fixed_5,2021-06-21,0.9549507881243056,0.0,0,0.0,False
fixed_5,2021-06-22,0.9573670129944938,0.0025302087816840846,1,1.0,False
fixed_5,2021-06-23,0.9613269256698869,0.004136253517871946,1,0.0,False
fixed_5,2021-06-24,0.9668336792341053,0.005728283913800869,1,0.0,False
fixed_5,2021-06-25,0.9674411658377167,0.0006283258606512021,1,0.0,False
fixed_5,2021-06-28,0.985030152962651,0.018180937245629636,1,0.0,False
fixed_5,2021-06-29,0.9840451228096883,-0.0010000000000000009,0,1.0,False
fixed_5,2021-06-30,0.9840451228096883,0.0,0,0.0,False
fixed_5,2021-07-01,0.9840451228096883,0.0,0,0.0,False
fixed_5,2021-07-02,0.9840451228096883,0.0,0,0.0,False
fixed_5,2021-07-05,0.9840451228096883,0.0,0,0.0,False
fixed_5,2021-07-06,0.9861611287815238,0.0021503139671013027,1,1.0,False
fixed_5,2021-07-07,0.9789225094755268,-0.007340199379933798,1,0.0,False
fixed_5,2021-07-08,0.9976952563855391,0.01917694886806731,1,0.0,False
fixed_5,2021-07-09,0.9810014812408734,-0.016732338895891097,1,0.0,False
fixed_5,2021-07-12,0.9897649381790492,0.008933174012225598,1,0.0,False
fixed_5,2021-07-13,0.9887751732408702,-0.0010000000000000009,0,1.0,False
fixed_5,2021-07-14,0.9887751732408702,0.0,0,0.0,False
fixed_5,2021-07-15,0.9887751732408702,0.0,0,0.0,False
fixed_5,2021-07-16,0.9887751732408702,0.0,0,0.0,False
fixed_5,2021-07-19,0.9887751732408702,0.0,0,0.0,False
fixed_5,2021-07-20,0.9887751732408702,0.0,0,0.0,False
fixed_5,2021-07-21,0.9887751732408702,0.0,0,0.0,False
fixed_5,2021-07-22,0.9887751732408702,0.0,0,0.0,False
fixed_5,2021-07-23,0.9887751732408702,0.0,0,0.0,False
fixed_5,2021-07-26,0.9887751732408702,0.0,0,0.0,False
fixed_5,2021-07-27,0.9599051181546946,-0.029197795279941485,1,1.0,False
fixed_5,2021-07-28,0.9189711185118423,-0.04264379767194393,1,0.0,False
fixed_5,2021-07-29,0.944598971900317,0.027887550405257366,1,0.0,False
fixed_5,2021-07-30,0.9406886141078715,-0.00413970151224996,1,0.0,False
fixed_5,2021-08-02,0.9346690802778258,-0.0063990716372754886,1,0.0,False
fixed_5,2021-08-03,0.9569713751449085,0.023861166842550796,1,0.0,False
fixed_5,2021-08-04,0.9605795866473095,0.0037704487261749353,1,0.0,False
fixed_5,2021-08-05,0.9641722035024823,0.003740051220234797,1,0.0,False
fixed_5,2021-08-06,0.9635620629296829,-0.0006328128632862029,1,0.0,False
fixed_5,2021-08-09,0.9532734944209457,-0.010677639671133554,1,0.0,False
fixed_5,2021-08-10,0.9703418358120981,0.017904978467402355,1,0.0,False
fixed_5,2021-08-11,0.9818935707463112,0.011904809735988842,1,0.0,False
fixed_5,2021-08-12,0.9742892308917102,-0.007744566296346345,1,0.0,False
fixed_5,2021-08-13,0.9666264111100039,-0.007865035903858786,1,0.0,False
fixed_5,2021-08-16,0.9621741393263821,-0.0046059902072292935,1,0.0,False
fixed_5,2021-08-17,0.9612119651870557,-0.0010000000000000009,0,1.0,False
fixed_5,2021-08-18,0.9612119651870557,0.0,0,0.0,False
fixed_5,2021-08-19,0.9612119651870557,0.0,0,0.0,False
fixed_5,2021-08-20,0.9612119651870557,0.0,0,0.0,False
fixed_5,2021-08-23,0.9612119651870557,0.0,0,0.0,False
fixed_5,2021-08-24,0.9736885919780175,0.012980099335877293,1,1.0,False
fixed_5,2021-08-25,0.9829198204265654,0.009480678447505442,1,0.0,False
fixed_5,2021-08-26,0.983257474765637,0.00034352175228802295,1,0.0,False
fixed_5,2021-08-27,0.9637157298918659,-0.019874494092637196,1,0.0,False
fixed_5,2021-08-30,0.9741789947085738,0.010857210785468752,1,0.0,False
fixed_5,2021-08-31,0.9732048157138653,-0.0010000000000000009,0,1.0,False
fixed_5,2021-09-01,0.9732048157138653,0.0,0,0.0,False
fixed_5,2021-09-02,0.9732048157138653,0.0,0,0.0,False
fixed_5,2021-09-03,0.9732048157138653,0.0,0,0.0,False
fixed_5,2021-09-06,0.9732048157138653,0.0,0,0.0,False
fixed_5,2021-09-07,0.9906919335699954,0.017968589523781775,1,1.0,False
fixed_5,2021-09-08,1.0015006211918258,0.010910240868602816,1,0.0,False
fixed_5,2021-09-09,0.994610133040488,-0.006880163631988512,1,0.0,False
fixed_5,2021-09-10,0.9977209946395617,0.0031277195915588862,1,0.0,False
fixed_5,2021-09-13,1.0055112026078041,0.007808002447674989,1,0.0,False
fixed_5,2021-09-14,1.0021091370501338,-0.0033834188508760077,1,0.0,False
fixed_5,2021-09-15,0.9848417464569533,-0.017231047951533296,1,0.0,False
fixed_5,2021-09-16,0.9773989749358638,-0.0075573274060177775,1,0.0,False
fixed_5,2021-09-17,0.9634051184979383,-0.014317445379808946,1,0.0,False
fixed_5,2021-09-22,0.9581072147546479,-0.005499144276449819,1,0.0,False
fixed_5,2021-09-23,0.9571491075398932,-0.0010000000000000009,0,1.0,False
fixed_5,2021-09-24,0.9571491075398932,0.0,0,0.0,False
fixed_5,2021-09-27,0.9571491075398932,0.0,0,0.0,False
fixed_5,2021-09-28,0.9571491075398932,0.0,0,0.0,False
fixed_5,2021-09-29,0.9571491075398932,0.0,0,0.0,False
fixed_5,2021-09-30,0.9571491075398932,0.0,0,0.0,False
fixed_5,2021-10-08,0.9571491075398932,0.0,0,0.0,False
fixed_5,2021-10-11,0.9571491075398932,0.0,0,0.0,False
fixed_5,2021-10-12,0.952199834897313,-0.005170848098371095,1,1.0,False
fixed_5,2021-10-13,0.9443587856661044,-0.008234667707177401,1,0.0,False
fixed_5,2021-10-14,0.9548315789630691,0.011089845783112784,1,0.0,False
fixed_5,2021-10-15,0.9475362296043187,-0.007640456725020561,1,0.0,False
fixed_5,2021-10-18,0.952557829494493,0.005299638930187589,1,0.0,False
fixed_5,2021-10-19,0.9516052716649984,-0.0010000000000000009,0,1.0,False
fixed_5,2021-10-20,0.9516052716649984,0.0,0,0.0,False
fixed_5,2021-10-21,0.9516052716649984,0.0,0,0.0,False
fixed_5,2021-10-22,0.9516052716649984,0.0,0,0.0,False
fixed_5,2021-10-25,0.9516052716649984,0.0,0,0.0,False
fixed_5,2021-10-26,0.9516052716649984,0.0,0,0.0,False
fixed_5,2021-10-27,0.9516052716649984,0.0,0,0.0,False
fixed_5,2021-10-28,0.9516052716649984,0.0,0,0.0,False
fixed_5,2021-10-29,0.9516052716649984,0.0,0,0.0,False
fixed_5,2021-11-01,0.9516052716649984,0.0,0,0.0,False
fixed_5,2021-11-02,0.9516052716649984,0.0,0,0.0,False
fixed_5,2021-11-03,0.9516052716649984,0.0,0,0.0,False
fixed_5,2021-11-04,0.9516052716649984,0.0,0,0.0,False
fixed_5,2021-11-05,0.9516052716649984,0.0,0,0.0,False
fixed_5,2021-11-08,0.9516052716649984,0.0,0,0.0,False
fixed_5,2021-11-09,0.954011582941122,0.0025286863658429137,1,1.0,False
fixed_5,2021-11-10,0.9490139819971912,-0.005238511809808055,1,0.0,False
fixed_5,2021-11-11,0.9454734419178564,-0.003730756497268617,1,0.0,False
fixed_5,2021-11-12,0.962785367230899,0.018310324273018264,1,0.0,False
fixed_5,2021-11-15,0.9611123000386675,-0.0017377364147561636,1,0.0,False
fixed_5,2021-11-16,0.9584593495965259,-0.0027602918431435253,1,0.0,False
fixed_5,2021-11-17,0.958920817660111,0.00048146858161413064,1,0.0,False
fixed_5,2021-11-18,0.9565977677910854,-0.0024225669380023573,1,0.0,False
fixed_5,2021-11-19,0.9488686686495093,-0.008079779612515381,1,0.0,False
fixed_5,2021-11-22,0.961304742039652,0.013106211429493753,1,0.0,False
fixed_5,2021-11-23,0.9603434372976123,-0.0010000000000000009,0,1.0,False
fixed_5,2021-11-24,0.9603434372976123,0.0,0,0.0,False
fixed_5,2021-11-25,0.9603434372976123,0.0,0,0.0,False
fixed_5,2021-11-26,0.9603434372976123,0.0,0,0.0,False
fixed_5,2021-11-29,0.9603434372976123,0.0,0,0.0,False
fixed_5,2021-11-30,0.966781474693298,0.006703890655828548,1,1.0,False
fixed_5,2021-12-01,0.9617477095260624,-0.0052067248897508245,1,0.0,False
fixed_5,2021-12-02,0.9633440241421646,0.0016598059972390278,1,0.0,False
fixed_5,2021-12-03,0.9667416663487565,0.0035269250874498947,1,0.0,False
fixed_5,2021-12-06,0.9771814047046882,0.010798891492244334,1,0.0,False
fixed_5,2021-12-07,0.9762042232999835,-0.0010000000000000009,0,1.0,False
fixed_5,2021-12-08,0.9762042232999835,0.0,0,0.0,False
fixed_5,2021-12-09,0.9762042232999835,0.0,0,0.0,False
fixed_5,2021-12-10,0.9762042232999835,0.0,0,0.0,False
fixed_5,2021-12-13,0.9762042232999835,0.0,0,0.0,False
fixed_5,2021-12-14,0.9706929392122536,-0.005645626146852045,1,1.0,False
fixed_5,2021-12-15,0.9649316442598495,-0.00593523937351359,1,0.0,False
fixed_5,2021-12-16,0.9592469877504437,-0.005891253067740521,1,0.0,False
fixed_5,2021-12-17,0.9620691984138596,0.0029421105298796935,1,0.0,False
fixed_5,2021-12-20,0.9455210426094319,-0.017200587890881747,1,0.0,False
fixed_5,2021-12-21,0.934320334165217,-0.011846069986241048,1,0.0,False
fixed_5,2021-12-22,0.9435303590525487,0.009857459535610458,1,0.0,False
fixed_5,2021-12-23,0.9434747961813748,-5.8888270674906096e-05,1,0.0,False
fixed_5,2021-12-24,0.9489870161940342,0.005842466629707221,1,0.0,False
fixed_5,2021-12-27,0.9422983960813495,-0.007048168203090732,1,0.0,False
fixed_5,2021-12-28,0.9433598385168772,0.001126439819850944,1,0.0,False
fixed_5,2021-12-29,0.9500580384349366,0.00710036578257367,1,0.0,False
fixed_5,2021-12-30,0.9354028521725692,-0.015425569459429411,1,0.0,False
fixed_5,2021-12-31,0.9459981169170969,0.01132695364346925,1,0.0,False
fixed_5,2022-01-04,0.9499296690429142,0.004155983035811772,1,0.0,False
fixed_5,2022-01-05,0.9403402838627406,-0.010094837010233837,1,0.0,False
fixed_5,2022-01-06,0.92773900787273,-0.013400761624554614,1,0.0,False
fixed_5,2022-01-07,0.9243209333150018,-0.0036843061774084473,1,0.0,False
fixed_5,2022-01-10,0.9220045363753753,-0.002506052666489844,1,0.0,False
fixed_5,2022-01-11,0.9210825318389999,-0.0010000000000000009,0,1.0,False
fixed_5,2022-01-12,0.9210825318389999,0.0,0,0.0,False
fixed_5,2022-01-13,0.9210825318389999,0.0,0,0.0,False
