method,cost_bps,start,end,total_return,cagr,sharpe_zero_cash,max_drawdown,exposure,one_way_turnover,observations
fixed_5,0,2021-01-11,2026-08-31,-0.37312685117833133,-0.07954231955659719,-0.5527199489941896,-0.44332172783726576,0.5636896046852123,144,1366
fixed_5,5,2021-01-11,2026-08-31,-0.41668567052066807,-0.09123239288087637,-0.6489593648505161,-0.47992633809473906,0.5636896046852123,144,1366
fixed_5,10,2021-01-11,2026-08-31,-0.45723732724137867,-0.10277973724903966,-0.7450513446889325,-0.5142195776045182,0.5636896046852123,144,1366
fixed_5,20,2021-01-11,2026-08-31,-0.5301301125766568,-0.12545291036568218,-0.9364350608388688,-0.5770170976616877,0.5636896046852123,144,1366
fixed_10,0,2021-01-11,2026-08-31,-0.19023788092467753,-0.03675790771133869,-0.2130380922434408,-0.32414645210792625,0.5585651537335286,136,1366
fixed_10,5,2021-01-11,2026-08-31,-0.24348412431560573,-0.04831581356961301,-0.3040867053999708,-0.3513027285529611,0.5585651537335286,136,1366
fixed_10,10,2021-01-11,2026-08-31,-0.2932531927789963,-0.05974071600918296,-0.39508931678043135,-0.37738062309109943,0.5585651537335286,136,1366
fixed_10,20,2021-01-11,2026-08-31,-0.38324728274209063,-0.0821973557115322,-0.5766322433675498,-0.43750078947489757,0.5585651537335286,136,1366
fixed_20,0,2021-01-11,2026-08-31,-0.2246373413642967,-0.04415046644286136,-0.25741515279267907,-0.3179037084661297,0.5951683748169839,122,1366
fixed_20,5,2021-01-11,2026-08-31,-0.2705319196836402,-0.05444539838529505,-0.3364670197530593,-0.347272436875915,0.5951683748169839,122,1366
fixed_20,10,2021-01-11,2026-08-31,-0.3137308993336487,-0.06463451754530858,-0.4154886489231429,-0.37539040381851874,0.5951683748169839,122,1366
fixed_20,20,2021-01-11,2026-08-31,-0.39266135153338755,-0.08469944955433284,-0.573201809874108,-0.4408153196021033,0.5951683748169839,122,1366
adaptive_raw,0,2021-01-11,2026-08-31,-0.12290909486994217,-0.023006524963093522,-0.10111470980297729,-0.25143023992390023,0.5702781844802343,108,1366
adaptive_raw,5,2021-01-11,2026-08-31,-0.1690271381092442,-0.032327447871928205,-0.1717965245423511,-0.27283228400330306,0.5702781844802343,108,1366
adaptive_raw,10,2021-01-11,2026-08-31,-0.21274154044588045,-0.04156404265712099,-0.24243671723128782,-0.29363268386769115,0.5702781844802343,108,1366
adaptive_raw,20,2021-01-11,2026-08-31,-0.2934497299627191,-0.059787127234234405,-0.38339693291837734,-0.34080144318118855,0.5702781844802343,108,1366
adaptive_normalized,0,2021-01-11,2026-08-31,-0.22395517353029026,-0.04400126821744832,-0.2814874777127042,-0.37211212961968076,0.5490483162518301,104,1366
adaptive_normalized,5,2021-01-11,2026-08-31,-0.26328782478240975,-0.05278564850923129,-0.353277674036715,-0.38945341445277626,0.5490483162518301,104,1366
adaptive_normalized,10,2021-01-11,2026-08-31,-0.30064516211352355,-0.06149364683185876,-0.4250463253533502,-0.4070306445603602,0.5490483162518301,104,1366
adaptive_normalized,20,2021-01-11,2026-08-31,-0.3698221968217379,-0.07868299844300364,-0.5683056919461623,-0.4515887080460249,0.5490483162518301,104,1366
random_partition,0,2021-01-11,2026-08-31,-0.33093542163221445,-0.06883982545457734,-0.515237698622492,-0.4338662497088721,0.5900439238653001,114,1366
random_partition,5,2021-01-11,2026-08-31,-0.36801457611012856,-0.07821452345291802,-0.5977653350349693,-0.4500523423414904,0.5900439238653001,114,1366
random_partition,10,2021-01-11,2026-08-31,-0.40305585644036834,-0.08749945940803094,-0.6801734635256319,-0.4657834191373035,0.5900439238653001,114,1366
