method,n,accuracy,wilson_low,wilson_high,balanced_accuracy,true_up_rate,predicted_up_rate,return_rmse,mse_skill_vs_zero,correlation,ohlc_invalid_fraction
fixed_5,272,0.4485294117647059,0.3905503646322893,0.5079420515559498,0.45161814929256794,0.4742647058823529,0.5625,0.027488570532041044,-0.23979392489180373,-0.09430892868524765,0.006617647058823529
fixed_10,272,0.46691176470588236,0.40849516833836197,0.5262499563540776,0.46985959776657454,0.4742647058823529,0.5588235294117647,0.026812201806725427,-0.17953314937969478,-0.057105686419364435,0.0014705882352941176
fixed_20,272,0.4522058823529412,0.3941329601646448,0.5116099977244344,0.4570119802677942,0.4742647058823529,0.5955882352941176,0.02622866925283106,-0.1287498482301317,-0.04152336370326857,0.0
adaptive_raw,272,0.5,0.4409950665500109,0.5590049334499891,0.5036049222095733,0.4742647058823529,0.5698529411764706,0.028154081117772196,-0.3005525555753732,-0.05785506006029577,0.0014705882352941176
adaptive_normalized,272,0.5147058823529411,0.45552132106946286,0.5734808457338973,0.5175909361955874,0.4742647058823529,0.5551470588235294,0.027404914003783292,-0.23225922725605752,0.016672658211535435,0.0022058823529411764
random_partition,272,0.43014705882352944,0.37268548118018363,0.48955422650385516,0.4348945628015396,0.4742647058823529,0.5955882352941176,0.027231522333058606,-0.21671547779040012,-0.0767451401226437,0.008823529411764706
shuffled_labels,272,0.4889705882352941,0.4301334114309235,0.5481149634665563,0.49235648072857374,0.4742647058823529,0.5661764705882353,0.065428066079412,-6.023819766804646,0.07930053999352206,
training_mean,272,0.4742647058823529,0.4156952911018796,0.5335509169922401,0.5,0.4742647058823529,1.0,0.024800393320164326,-0.009165346029326837,-0.09408059533973936,
always_up,272,0.4742647058823529,0.4156952911018796,0.5335509169922401,0.5,0.4742647058823529,1.0,0.02468751656561296,-1.0228198288331214e-09,,
zero_return,272,0.5257352941176471,0.46644908300776,0.5843047088981205,0.5,0.4742647058823529,0.0,0.024687516552987517,0.0,,
momentum_20,272,0.5036764705882353,0.44462191028069825,0.5626286314201416,0.5002710467826748,0.4742647058823529,0.4338235294117647,0.05505645709642078,-3.9734953193845453,-0.051169877096704224,
