year,date,method,patches,min_length,max_length,mean_length,lengths
2021,2021-01-08,raw,14,5,15,8.928571428571429,"[11, 6, 10, 5, 7, 12, 15, 5, 15, 5, 8, 5, 11, 10]"
2021,2021-01-08,normalized,11,6,25,11.363636363636363,"[11, 6, 10, 10, 14, 15, 7, 25, 7, 10, 10]"
2021,2021-01-15,raw,13,5,20,9.615384615384615,"[6, 6, 10, 5, 7, 12, 15, 5, 15, 5, 10, 9, 20]"
2021,2021-01-15,normalized,10,6,25,12.5,"[6, 6, 10, 10, 14, 15, 25, 10, 9, 20]"
2021,2021-01-22,raw,15,1,17,8.333333333333334,"[1, 6, 10, 5, 7, 12, 15, 5, 15, 5, 9, 7, 5, 17, 6]"
2021,2021-01-22,normalized,10,1,25,12.5,"[1, 6, 10, 10, 14, 15, 25, 10, 9, 25]"
2021,2021-01-29,raw,14,2,19,8.928571428571429,"[2, 10, 5, 7, 12, 19, 17, 6, 5, 8, 7, 13, 8, 6]"
2021,2021-01-29,normalized,10,2,25,12.5,"[2, 10, 10, 14, 15, 25, 9, 9, 25, 6]"
2021,2021-02-05,raw,13,5,19,9.615384615384615,"[7, 5, 7, 12, 19, 17, 6, 5, 8, 7, 13, 6, 13]"
2021,2021-02-05,normalized,9,7,25,13.88888888888889,"[7, 10, 14, 15, 25, 9, 8, 24, 13]"
2021,2021-02-19,raw,14,2,19,8.928571428571429,"[2, 5, 7, 12, 19, 17, 6, 5, 8, 7, 13, 8, 6, 10]"
2021,2021-02-19,normalized,9,2,25,13.88888888888889,"[2, 10, 14, 15, 25, 15, 7, 25, 12]"
2021,2021-02-26,raw,13,2,22,9.615384615384615,"[2, 7, 12, 15, 5, 15, 5, 9, 9, 22, 8, 7, 9]"
2021,2021-02-26,normalized,9,2,25,13.88888888888889,"[2, 5, 14, 15, 25, 15, 7, 25, 17]"
2021,2021-03-05,raw,12,4,19,10.416666666666666,"[4, 12, 19, 17, 6, 5, 8, 7, 13, 6, 13, 15]"
2021,2021-03-05,normalized,9,2,25,13.88888888888889,"[2, 14, 15, 25, 9, 8, 24, 13, 15]"
2021,2021-03-12,raw,13,4,19,9.615384615384615,"[4, 7, 19, 17, 6, 5, 8, 7, 13, 6, 10, 11, 12]"
2021,2021-03-12,normalized,8,8,25,15.625,"[11, 15, 25, 9, 8, 24, 10, 23]"
2021,2021-03-19,raw,14,1,19,8.928571428571429,"[1, 5, 19, 17, 6, 5, 8, 7, 13, 6, 10, 11, 12, 5]"
2021,2021-03-19,normalized,9,1,25,13.88888888888889,"[1, 5, 15, 25, 15, 7, 25, 12, 20]"
2021,2021-03-26,raw,13,1,19,9.615384615384615,"[1, 19, 17, 6, 5, 8, 7, 13, 8, 6, 10, 19, 6]"
2021,2021-03-26,normalized,9,1,25,13.88888888888889,"[1, 15, 25, 9, 8, 24, 9, 11, 23]"
2021,2021-04-02,raw,15,2,19,8.333333333333334,"[2, 6, 7, 17, 6, 5, 8, 7, 13, 8, 6, 10, 19, 6, 5]"
2021,2021-04-02,normalized,9,5,25,13.88888888888889,"[11, 25, 9, 8, 24, 9, 11, 23, 5]"
2021,2021-04-09,raw,14,4,17,8.928571428571429,"[4, 7, 17, 6, 5, 8, 7, 13, 6, 10, 11, 12, 9, 10]"
2021,2021-04-09,normalized,10,2,25,12.5,"[2, 5, 25, 9, 8, 24, 10, 23, 9, 10]"
2021,2021-04-16,raw,14,5,17,8.928571428571429,"[6, 17, 6, 5, 8, 7, 13, 6, 10, 11, 12, 9, 5, 10]"
2021,2021-04-16,normalized,9,2,25,13.88888888888889,"[2, 25, 15, 7, 25, 5, 11, 25, 10]"
2021,2021-04-23,raw,14,1,17,8.928571428571429,"[1, 17, 6, 5, 8, 7, 13, 6, 10, 11, 12, 9, 10, 10]"
2021,2021-04-23,normalized,9,8,24,13.88888888888889,"[22, 9, 8, 24, 10, 23, 9, 10, 10]"
2021,2021-04-30,raw,15,5,13,8.333333333333334,"[7, 6, 6, 5, 8, 7, 13, 6, 10, 11, 12, 9, 10, 10, 5]"
2021,2021-04-30,normalized,11,5,24,11.363636363636363,"[7, 5, 5, 9, 8, 24, 10, 23, 9, 10, 15]"
2021,2021-05-07,raw,15,5,13,8.333333333333334,"[5, 6, 6, 5, 8, 7, 13, 6, 10, 11, 12, 9, 10, 12, 5]"
2021,2021-05-07,normalized,12,5,24,10.416666666666666,"[5, 5, 5, 9, 8, 24, 10, 23, 9, 10, 12, 5]"
2021,2021-05-14,raw,14,5,13,8.928571428571429,"[6, 6, 5, 8, 7, 13, 6, 10, 11, 12, 9, 10, 13, 9]"
2021,2021-05-14,normalized,11,5,24,11.363636363636363,"[5, 5, 9, 8, 24, 10, 23, 9, 10, 14, 8]"
2021,2021-05-21,raw,15,1,13,8.333333333333334,"[1, 6, 5, 8, 7, 13, 6, 10, 11, 12, 9, 10, 9, 5, 13]"
2021,2021-05-21,normalized,10,5,24,12.5,"[5, 9, 8, 24, 10, 23, 9, 10, 14, 13]"
2021,2021-05-28,raw,14,2,13,8.928571428571429,"[2, 5, 8, 7, 13, 6, 10, 11, 12, 9, 10, 13, 8, 11]"
2021,2021-05-28,normalized,9,5,25,13.88888888888889,"[15, 7, 25, 5, 11, 25, 10, 16, 11]"
2021,2021-06-04,raw,15,2,13,8.333333333333334,"[2, 8, 7, 13, 6, 10, 11, 12, 9, 10, 12, 5, 7, 7, 6]"
2021,2021-06-04,normalized,9,4,24,13.88888888888889,"[4, 8, 24, 10, 23, 9, 10, 13, 24]"
2021,2021-06-11,raw,15,5,13,8.333333333333334,"[5, 7, 13, 6, 10, 11, 12, 9, 10, 12, 5, 7, 7, 5, 6]"
2021,2021-06-11,normalized,11,5,25,11.363636363636363,"[5, 7, 25, 5, 11, 25, 10, 16, 10, 5, 6]"
2021,2021-06-18,raw,13,1,14,9.615384615384615,"[1, 7, 13, 6, 10, 11, 12, 9, 10, 13, 8, 14, 11]"
2021,2021-06-18,normalized,9,3,24,13.88888888888889,"[3, 24, 10, 23, 9, 10, 13, 22, 11]"
2021,2021-06-25,raw,13,3,13,9.615384615384615,"[3, 13, 6, 10, 11, 12, 9, 10, 13, 12, 5, 9, 12]"
2021,2021-06-25,normalized,8,9,23,15.625,"[22, 10, 23, 9, 10, 15, 23, 13]"
2021,2021-07-02,raw,12,5,16,10.416666666666666,"[11, 6, 10, 11, 12, 9, 10, 13, 16, 5, 13, 9]"
2021,2021-07-02,normalized,10,6,23,12.5,"[11, 6, 10, 23, 9, 10, 13, 15, 19, 9]"
2021,2021-07-09,raw,14,1,13,8.928571428571429,"[1, 5, 6, 10, 11, 12, 9, 10, 13, 12, 5, 9, 12, 10]"
2021,2021-07-09,normalized,10,6,23,12.5,"[6, 6, 10, 23, 9, 10, 15, 23, 13, 10]"
2021,2021-07-16,raw,14,1,16,8.928571428571429,"[1, 6, 10, 11, 12, 9, 10, 13, 8, 11, 6, 7, 5, 16]"
2021,2021-07-16,normalized,11,3,25,11.363636363636363,"[3, 10, 5, 11, 25, 10, 16, 10, 5, 14, 16]"
2021,2021-07-23,raw,14,2,16,8.928571428571429,"[2, 10, 11, 12, 9, 10, 13, 8, 11, 6, 7, 5, 16, 5]"
