job,method,cutoff,seed,gate,gate_linear_r2,product_linear_r2,residual_raw_sd,orthogonality_inf
learned_order_extension_2014-12-31_20260910,learned_order_extension,2014-12-31,20260910,excess_order,0.4103366301392668,0.25574345278612187,0.06650817291528525,5.184339494377751e-15
learned_order_extension_2014-12-31_20260911,learned_order_extension,2014-12-31,20260911,excess_order,0.35769858603923466,0.19993893249982286,0.07088775137080519,8.003759627619194e-16
learned_order_extension_2014-12-31_20260912,learned_order_extension,2014-12-31,20260912,excess_order,0.41583880748246116,0.24722539487737805,0.06503611125536625,1.0933171215575125e-15
learned_order_extension_2015-12-31_20260910,learned_order_extension,2015-12-31,20260910,excess_order,0.32302689715236654,0.1602572357953408,0.07861534757971038,4.735614328314985e-15
learned_order_extension_2015-12-31_20260911,learned_order_extension,2015-12-31,20260911,excess_order,0.25986569365119183,0.2996487183042601,0.05080733617146243,2.151686858565545e-15
learned_order_extension_2015-12-31_20260912,learned_order_extension,2015-12-31,20260912,excess_order,0.3854389253675685,0.29558700810134275,0.05590290625477175,6.970148081491214e-16
learned_order_extension_2016-12-31_20260910,learned_order_extension,2016-12-31,20260910,excess_order,0.3960938740015081,0.2631681981989906,0.06996001092993694,2.0450865547750008e-15
learned_order_extension_2016-12-31_20260911,learned_order_extension,2016-12-31,20260911,excess_order,0.3094825181102343,0.18255979977041736,0.05421923585817442,1.8105771027813047e-15
learned_order_extension_2016-12-31_20260912,learned_order_extension,2016-12-31,20260912,excess_order,0.3986491422167465,0.2128208039557532,0.04073744985221357,5.037133735069279e-16
learned_order_extension_2017-12-31_20260910,learned_order_extension,2017-12-31,20260910,excess_order,0.32798035727858943,0.2793467109923917,0.067874033936018,5.909059495189078e-16
learned_order_extension_2017-12-31_20260911,learned_order_extension,2017-12-31,20260911,excess_order,0.3011414844065068,0.19082912215618109,0.06354678039800607,2.2880651154700335e-15
learned_order_extension_2017-12-31_20260912,learned_order_extension,2017-12-31,20260912,excess_order,0.28559235037961084,0.24190612815092394,0.06461188504510991,4.1843432440319705e-15
learned_order_extension_2018-12-31_20260910,learned_order_extension,2018-12-31,20260910,excess_order,0.2765480828308281,0.14460374006779209,0.07842894625615121,1.0191396572743368e-15
learned_order_extension_2018-12-31_20260911,learned_order_extension,2018-12-31,20260911,excess_order,0.25596330633691444,0.19901552099891773,0.0657761262135329,3.215601190375798e-15
learned_order_extension_2018-12-31_20260912,learned_order_extension,2018-12-31,20260912,excess_order,0.3148745280182671,0.1348692827381225,0.06290513593544339,1.890890128262869e-15
learned_order_extension_2019-12-31_20260910,learned_order_extension,2019-12-31,20260910,excess_order,0.19928190861660633,0.1444347339110017,0.05677912644137393,1.6766675294754788e-15
learned_order_extension_2019-12-31_20260911,learned_order_extension,2019-12-31,20260911,excess_order,0.22319850766804072,0.13341899980252325,0.07216254727004892,1.4543152414951241e-15
learned_order_extension_2019-12-31_20260912,learned_order_extension,2019-12-31,20260912,excess_order,0.2398850508756426,0.2354136046296238,0.05440475840409398,4.53673897589466e-15
raw_order_extension_2014-12-31_-1,raw_order_extension,2014-12-31,-1,excess_order,0.40005219685554816,0.2388392860691877,0.06258244179303193,7.642189779998698e-16
raw_order_extension_2015-12-31_-1,raw_order_extension,2015-12-31,-1,excess_order,0.3988383913816984,0.26830507456414987,0.04991903861570395,2.772758679988206e-16
raw_order_extension_2016-12-31_-1,raw_order_extension,2016-12-31,-1,excess_order,0.33663518152367566,0.24285648583006858,0.05453389627497589,4.865161427297408e-16
raw_order_extension_2017-12-31_-1,raw_order_extension,2017-12-31,-1,excess_order,0.34570077426360124,0.1715127374716391,0.03875490827747994,3.398486630504837e-16
raw_order_extension_2018-12-31_-1,raw_order_extension,2018-12-31,-1,excess_order,0.30305478690519994,0.15171328910050375,0.04090150832792806,2.6073769784468473e-16
raw_order_extension_2019-12-31_-1,raw_order_extension,2019-12-31,-1,excess_order,0.2656914437911502,0.18591241966986782,0.03458585009217948,5.52714148506517e-16
