job,method,cutoff,seed,train_n,objective,log_loss,brier,accuracy,auroc,mean_probability,probability_std
learned_order_extension_2014-12-31_20260910,learned_order_extension,2014-12-31,20260910,1077,0.6363045664021426,0.6316365022287185,0.22069322585286916,0.6471680594243269,0.6970473595253699,0.49210770659260833,0.15781163899163403
learned_order_extension_2014-12-31_20260911,learned_order_extension,2014-12-31,20260911,1077,0.6322360672491205,0.6284953147540736,0.21973170383744448,0.637883008356546,0.6975923562484909,0.49210770659237296,0.16506584965866394
learned_order_extension_2014-12-31_20260912,learned_order_extension,2014-12-31,20260912,1077,0.6341309692323001,0.62969966547472,0.22022843391523886,0.6220984215413184,0.6959953088889655,0.49210770659238307,0.1612945887799771
learned_order_extension_2015-12-31_20260910,learned_order_extension,2015-12-31,20260910,1190,0.6263437169622594,0.6228905396127711,0.2170421452945238,0.6428571428571429,0.7067673420732241,0.5033613445378199,0.1732847219355868
learned_order_extension_2015-12-31_20260911,learned_order_extension,2015-12-31,20260911,1190,0.6426339701501292,0.6380420196597231,0.2243638129461931,0.6235294117647059,0.6766070919100927,0.5033613445378228,0.14814473414823986
learned_order_extension_2015-12-31_20260912,learned_order_extension,2015-12-31,20260912,1190,0.6370924678843588,0.6316091392826314,0.22100370603976988,0.6394957983193277,0.6944569205867648,0.5033613445379611,0.15524550412296056
learned_order_extension_2016-12-31_20260910,learned_order_extension,2016-12-31,20260910,1434,0.6386615790198922,0.6360238033662052,0.22337444692748507,0.6255230125523012,0.6830652017844739,0.5069735006968359,0.15708541646715374
learned_order_extension_2016-12-31_20260911,learned_order_extension,2016-12-31,20260911,1434,0.652202303373407,0.650018439050295,0.22962942777439063,0.603905160390516,0.6568759253602704,0.5069735006973747,0.13576915850073457
learned_order_extension_2016-12-31_20260912,learned_order_extension,2016-12-31,20260912,1434,0.6640470986574873,0.6618030997382935,0.23458732197529364,0.6101813110181311,0.6444729361912415,0.50697350069735,0.11430554732492841
learned_order_extension_2017-12-31_20260910,learned_order_extension,2017-12-31,20260910,1678,0.6494803901869755,0.6469183537095354,0.22837671917103286,0.6090584028605482,0.661078738981025,0.5202622169259496,0.13870392051154024
learned_order_extension_2017-12-31_20260911,learned_order_extension,2017-12-31,20260911,1678,0.6489261375170231,0.6464755477522953,0.2279115027129123,0.6191895113230036,0.6668160764978336,0.5202622169249067,0.1400421619877586
learned_order_extension_2017-12-31_20260912,learned_order_extension,2017-12-31,20260912,1678,0.6403816233525936,0.6375913195495783,0.22341258493479935,0.6269368295589988,0.6864257611007947,0.5202622169237158,0.1528578630903411
learned_order_extension_2018-12-31_20260910,learned_order_extension,2018-12-31,20260910,1921,0.630204068379935,0.6283333411632159,0.21973740316036913,0.6330036439354503,0.6968467559847218,0.511192087454033,0.1696877624051848
learned_order_extension_2018-12-31_20260911,learned_order_extension,2018-12-31,20260911,1921,0.6444290788733449,0.6431027938149732,0.225826594814984,0.6288391462779802,0.6781817117052634,0.5111920874544396,0.15030571466281703
learned_order_extension_2018-12-31_20260912,learned_order_extension,2018-12-31,20260912,1921,0.6479540489433134,0.6453162912878534,0.22692338307540366,0.6277980218636127,0.6751234684382788,0.5111920874544503,0.14265897223735893
learned_order_extension_2019-12-31_20260910,learned_order_extension,2019-12-31,20260910,2165,0.650733543530168,0.6491179809271883,0.22883371966082502,0.6263279445727483,0.6656623724825673,0.5214780600461891,0.13877804059196003
learned_order_extension_2019-12-31_20260911,learned_order_extension,2019-12-31,20260911,2165,0.6387278022682353,0.637068071125234,0.22315114892858146,0.6360277136258661,0.6875912670863955,0.5214780600460883,0.15736474088036406
learned_order_extension_2019-12-31_20260912,learned_order_extension,2019-12-31,20260912,2165,0.655953287706304,0.6543845620758243,0.23127292660188836,0.6143187066974596,0.6563501373067361,0.521478060046183,0.12917921440386884
raw_order_extension_2014-12-31_-1,raw_order_extension,2014-12-31,-1,1077,0.6542257597772032,0.649480922027971,0.22860976215630757,0.6090993500464252,0.672350039667483,0.49210770659203484,0.12804991620067882
raw_order_extension_2015-12-31_-1,raw_order_extension,2015-12-31,-1,1190,0.6646151546811506,0.6607876964213424,0.23423085583905645,0.6050420168067226,0.6422266100579364,0.5033613445378142,0.10961825778940658
raw_order_extension_2016-12-31_-1,raw_order_extension,2016-12-31,-1,1434,0.6701356079893811,0.666206772717189,0.23688591319087499,0.592747559274756,0.6309395726367685,0.50697350069735,0.0963288166528535
raw_order_extension_2017-12-31_-1,raw_order_extension,2017-12-31,-1,1678,0.6778979276583138,0.675152759945298,0.24115453840266798,0.5828367103694875,0.607111907963544,0.5202622169249106,0.07554636803143298
raw_order_extension_2018-12-31_-1,raw_order_extension,2018-12-31,-1,1921,0.6782157697241781,0.6753580576441776,0.24121995397845547,0.5783446121811556,0.6073486766048728,0.5111920873912713,0.07621929260624158
raw_order_extension_2019-12-31_-1,raw_order_extension,2019-12-31,-1,2165,0.6816470235552771,0.6792077990285098,0.243100038824363,0.5778290993071593,0.5970979203928717,0.5214780600452255,0.06342438661477143
order_only_2014-12-31_0,order_only,2014-12-31,0,1077,0.6901256984470383,0.6900133997893158,0.24844586005247904,0.5329619312906221,0.5408161153461419,0.49210770659238634,0.03725844534828966
