window,method,reference,changed,correct_to_wrong,wrong_to_correct
early_2015_2017,learned_order_extension,learned_vol_interaction,5,0,5
early_2015_2017,learned_order_extension,learned_market,8,3,5
early_2015_2017,learned_order_extension,learned_hmm_interaction,9,3,6
early_2015_2017,learned_order_extension,native_mse,30,14,16
early_2015_2017,learned_order_extension,training_frequency,72,37,35
early_2015_2017,learned_order_extension,order_only,65,32,33
early_2015_2017,raw_order_extension,raw_vol_interaction,5,3,2
early_2015_2017,raw_order_extension,raw_trend,5,3,2
early_2015_2017,raw_order_extension,raw_hmm_interaction,5,3,2
early_2015_2017,raw_order_extension,native_mse,66,37,29
early_2015_2017,raw_order_extension,training_frequency,82,47,35
early_2015_2017,raw_order_extension,order_only,57,33,24
late_2018_2020,learned_order_extension,learned_vol_interaction,5,3,2
late_2018_2020,learned_order_extension,learned_market,3,1,2
late_2018_2020,learned_order_extension,learned_hmm_interaction,3,1,2
late_2018_2020,learned_order_extension,native_mse,15,9,6
late_2018_2020,learned_order_extension,training_frequency,58,28,30
late_2018_2020,learned_order_extension,order_only,55,26,29
late_2018_2020,raw_order_extension,raw_vol_interaction,1,0,1
late_2018_2020,raw_order_extension,raw_trend,6,3,3
late_2018_2020,raw_order_extension,raw_hmm_interaction,7,3,4
late_2018_2020,raw_order_extension,native_mse,52,29,23
late_2018_2020,raw_order_extension,training_frequency,61,31,30
late_2018_2020,raw_order_extension,order_only,58,29,29
