job,method,cutoff,seed,split,n,interaction_coefficient,raw_product_coefficient,interaction_feature_mean,interaction_feature_std,refitted_parent_mean,interaction_logit_mean,interaction_logit_std,total_logit_mean
learned_order_extension_2014-12-31_20260910,learned_order_extension,2014-12-31,20260910,training,1077,0.07721618357712992,1.1610029293013957,0.0,1.0,-0.03972718091012103,-8.246781984216576e-19,0.07721618357712992,-0.039727180910121014
learned_order_extension_2014-12-31_20260910,learned_order_extension,2014-12-31,20260910,validation,22,0.07721618357712992,1.1610029293013957,0.6553080198531684,0.5724867148212809,0.1358645886875801,0.05060038436054775,0.04420523926710805,0.1864649730481279
learned_order_extension_2014-12-31_20260911,learned_order_extension,2014-12-31,20260911,training,1077,0.14955335352573554,2.1097206588404838,3.2987127936866304e-18,1.0,-0.034557018274933314,-8.246781984216576e-19,0.14955335352573557,-0.034557018274933335
learned_order_extension_2014-12-31_20260911,learned_order_extension,2014-12-31,20260911,validation,22,0.14955335352573554,2.1097206588404838,0.05853893434291453,0.8357506258335692,0.2543925669199561,0.008754693942805718,0.1249893088046425,0.26314726086276186
learned_order_extension_2014-12-31_20260912,learned_order_extension,2014-12-31,20260912,training,1077,0.12349815349844942,1.8989166343837842,-1.3194851174746522e-17,0.9999999999999999,-0.03454952647091775,1.6493563968433152e-18,0.12349815349844942,-0.03454952647091774
learned_order_extension_2014-12-31_20260912,learned_order_extension,2014-12-31,20260912,validation,22,0.12349815349844942,1.8989166343837842,0.4091732997344184,1.0456609656809994,0.30613431398810637,0.050532146978068265,0.1291371984470089,0.35666646096617455
learned_order_extension_2015-12-31_20260910,learned_order_extension,2015-12-31,20260910,training,1190,0.22489096917499302,2.8606496835362782,8.95642103899286e-18,1.0,0.008441118174162586,-2.239105259748215e-18,0.22489096917499302,0.008441118174162564
learned_order_extension_2015-12-31_20260910,learned_order_extension,2015-12-31,20260910,validation,48,0.22489096917499302,2.8606496835362782,0.49090534450696865,1.4227338032459618,-0.1002577713525795,0.11040017869935602,0.3199599838900081,0.010142407346776516
learned_order_extension_2015-12-31_20260911,learned_order_extension,2015-12-31,20260911,training,1190,0.23299096422321022,4.58577405902412,3.582568415597144e-17,0.9999999999999999,0.012949223190393077,-1.4927368398321433e-18,0.23299096422321022,0.012949223190393065
learned_order_extension_2015-12-31_20260911,learned_order_extension,2015-12-31,20260911,validation,48,0.23299096422321022,4.58577405902412,0.36513784563204715,1.5813306556110514,-0.08825565736406178,0.08507381872819636,0.36843575420654,-0.003181838635865445
