job,objective_absolute_gap,maximum_training_probability_gap,alternate_gradient_inf,alternate_success,alternate_iterations,alternate_message
learned_order_extension_2014-12-31_20260910,1.9984014443252818e-15,4.3141280769987134e-08,4.256820568889104e-09,True,71,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_extension_2014-12-31_20260911,8.881784197001252e-16,6.079691960980682e-08,6.167489165209705e-09,True,80,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_extension_2014-12-31_20260912,1.3322676295501878e-15,8.323748634797568e-08,5.3951977195716705e-09,True,58,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_extension_2015-12-31_20260910,1.6209256159527285e-14,2.3272758198356058e-07,3.1366591483244013e-08,True,71,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_extension_2015-12-31_20260911,2.7755575615628914e-15,9.632417585780928e-08,1.1389198650152421e-08,True,81,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_extension_2015-12-31_20260912,9.2148511043888e-15,1.40461284769966e-07,3.381758490166725e-08,True,75,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_extension_2016-12-31_20260910,3.9968028886505635e-15,1.2526607079399454e-07,2.0392643033934196e-08,True,76,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_extension_2016-12-31_20260911,3.4416913763379853e-15,8.316778182804185e-08,9.131115125951203e-09,True,74,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_extension_2016-12-31_20260912,2.1094237467877974e-15,7.253193834433347e-08,1.672379977774377e-08,True,74,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_extension_2017-12-31_20260910,1.887379141862766e-15,6.552766357303952e-08,8.479675358370395e-09,True,68,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_extension_2017-12-31_20260911,1.5543122344752192e-15,1.2122327364139096e-07,1.0232516347912987e-08,True,76,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_extension_2017-12-31_20260912,5.440092820663267e-15,1.1387385900896163e-07,8.91594534075009e-09,True,82,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_extension_2018-12-31_20260910,2.886579864025407e-15,6.719145867473131e-08,1.0139964680357019e-08,True,75,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_extension_2018-12-31_20260911,4.440892098500626e-16,1.822518669314377e-08,3.6121046208346247e-09,True,78,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_extension_2018-12-31_20260912,1.6653345369377348e-15,6.404282565375397e-08,7.0275559254252135e-09,True,72,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_extension_2019-12-31_20260910,4.9960036108132044e-15,1.2594496767714958e-07,6.134835313039745e-09,True,74,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_order_extension_2019-12-31_20260911,3.3306690738754696e-15,9.76221374293651e-08,1.2403214169152712e-08,True,70,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
