job,training_fitted_value_gap,training_residual_gap,validation_residual_gap,rank
learned_order_extension_2014-12-31_20260910,3.649858193455202e-15,5.595524044110789e-14,2.020605904817785e-14,31
learned_order_extension_2014-12-31_20260911,5.898059818321144e-16,8.715250743307479e-15,5.440092820663267e-15,31
learned_order_extension_2014-12-31_20260912,4.579669976578771e-16,7.327471962526033e-15,5.329070518200751e-15,31
learned_order_extension_2015-12-31_20260910,1.308848862624501e-15,1.2989609388114332e-14,1.199040866595169e-14,31
learned_order_extension_2015-12-31_20260911,5.689893001203927e-16,1.1546319456101628e-14,1.2434497875801753e-14,31
learned_order_extension_2015-12-31_20260912,2.498001805406602e-16,4.385380947269368e-15,3.7192471324942744e-15,31
learned_order_extension_2016-12-31_20260910,9.922618282587337e-16,1.2601031329495527e-14,1.326716514427062e-14,31
learned_order_extension_2016-12-31_20260911,1.1518563880486e-15,2.1094237467877974e-14,1.554312234475219e-14,31
learned_order_extension_2016-12-31_20260912,1.8041124150158794e-16,4.884981308350689e-15,2.7478019859472624e-15,31
learned_order_extension_2017-12-31_20260910,5.828670879282072e-16,9.103828801926284e-15,3.164135620181696e-15,31
learned_order_extension_2017-12-31_20260911,1.394717674685353e-15,2.2037927038809357e-14,1.199040866595169e-14,31
learned_order_extension_2017-12-31_20260912,1.4432899320127035e-15,2.353672812205332e-14,1.8540724511240114e-14,31
learned_order_extension_2018-12-31_20260910,7.563394355258879e-16,9.769962616701378e-15,7.327471962526033e-15,31
learned_order_extension_2018-12-31_20260911,1.2351231148954867e-15,1.7985612998927536e-14,1.3211653993039363e-14,31
learned_order_extension_2018-12-31_20260912,5.551115123125783e-16,8.93729534823251e-15,5.9674487573602164e-15,31
learned_order_extension_2019-12-31_20260910,6.210310043996969e-16,1.1046719095020308e-14,7.882583474838611e-15,31
learned_order_extension_2019-12-31_20260911,9.93129189996722e-16,1.4210854715202004e-14,1.1622647289044608e-14,31
learned_order_extension_2019-12-31_20260912,2.0816681711721685e-15,3.730349362740526e-14,2.708944180085382e-14,31
raw_order_extension_2014-12-31_-1,3.608224830031759e-16,5.7592819402429996e-15,4.884981308350689e-15,28
raw_order_extension_2015-12-31_-1,3.7470027081099033e-16,6.661338147750939e-15,7.105427357601002e-15,28
raw_order_extension_2016-12-31_-1,6.010816844259637e-16,1.1102230246251565e-14,8.326672684688674e-15,28
raw_order_extension_2017-12-31_-1,2.636779683484747e-16,6.744604874597826e-15,4.08006961549745e-15,28
raw_order_extension_2018-12-31_-1,1.5265566588595902e-16,3.774758283725532e-15,2.55351295663786e-15,28
raw_order_extension_2019-12-31_-1,2.1510571102112408e-16,6.217248937900877e-15,8.215650382226158e-15,28
