job,rows,dimensions,ray_source
learned_vol_interaction_2014-12-31_20260910,1077,30,learned_market_2014-12-31_20260910
learned_vol_interaction_2014-12-31_20260911,1077,30,learned_market_2014-12-31_20260911
learned_vol_interaction_2014-12-31_20260912,1077,30,learned_market_2014-12-31_20260912
raw_vol_interaction_2014-12-31_-1,1077,27,raw_trend_2014-12-31_-1
learned_vol_interaction_2015-12-31_20260910,1190,30,learned_market_2015-12-31_20260910
learned_vol_interaction_2015-12-31_20260911,1190,30,learned_market_2015-12-31_20260911
learned_vol_interaction_2015-12-31_20260912,1190,30,learned_market_2015-12-31_20260912
raw_vol_interaction_2015-12-31_-1,1190,27,raw_trend_2015-12-31_-1
learned_vol_interaction_2016-12-31_20260910,1434,30,learned_market_2016-12-31_20260910
learned_vol_interaction_2016-12-31_20260911,1434,30,learned_market_2016-12-31_20260911
learned_vol_interaction_2016-12-31_20260912,1434,30,learned_market_2016-12-31_20260912
raw_vol_interaction_2016-12-31_-1,1434,27,raw_trend_2016-12-31_-1
learned_vol_interaction_2017-12-31_20260910,1678,30,learned_market_2017-12-31_20260910
learned_vol_interaction_2017-12-31_20260911,1678,30,learned_market_2017-12-31_20260911
learned_vol_interaction_2017-12-31_20260912,1678,30,learned_market_2017-12-31_20260912
raw_vol_interaction_2017-12-31_-1,1678,27,raw_trend_2017-12-31_-1
learned_vol_interaction_2018-12-31_20260910,1921,30,learned_market_2018-12-31_20260910
learned_vol_interaction_2018-12-31_20260911,1921,30,learned_market_2018-12-31_20260911
learned_vol_interaction_2018-12-31_20260912,1921,30,learned_market_2018-12-31_20260912
raw_vol_interaction_2018-12-31_-1,1921,27,raw_trend_2018-12-31_-1
learned_vol_interaction_2019-12-31_20260910,2165,30,learned_market_2019-12-31_20260910
learned_vol_interaction_2019-12-31_20260911,2165,30,learned_market_2019-12-31_20260911
learned_vol_interaction_2019-12-31_20260912,2165,30,learned_market_2019-12-31_20260912
raw_vol_interaction_2019-12-31_-1,2165,27,raw_trend_2019-12-31_-1
