window,partition,state,method,unique_dates,head_rows,mean_coordinate_clip_fraction,head_row_clip_fraction
early_2015_2017,trend_volatility,low_trend__low_vol,learned_clip,3,9,0.031111111111111114,0.2222222222222222
early_2015_2017,trend_volatility,low_trend__low_vol,raw25_clip,3,3,0.16,0.6666666666666666
early_2015_2017,trend_volatility,low_trend__high_vol,learned_clip,12,36,0.021111111111111112,0.3055555555555556
early_2015_2017,trend_volatility,low_trend__high_vol,raw25_clip,12,12,0.17333333333333334,0.9166666666666666
early_2015_2017,trend_volatility,mid_trend__low_vol,learned_clip,34,102,0.03686274509803921,0.3431372549019608
early_2015_2017,trend_volatility,mid_trend__low_vol,raw25_clip,34,34,0.12352941176470589,0.6470588235294118
early_2015_2017,trend_volatility,mid_trend__high_vol,learned_clip,7,21,0.007619047619047619,0.14285714285714285
early_2015_2017,trend_volatility,mid_trend__high_vol,raw25_clip,7,7,0.24,1.0
early_2015_2017,trend_volatility,high_trend__low_vol,learned_clip,51,153,0.02300653594771242,0.27450980392156865
early_2015_2017,trend_volatility,high_trend__low_vol,raw25_clip,51,51,0.16,0.9019607843137255
early_2015_2017,trend_volatility,high_trend__high_vol,learned_clip,13,39,0.023589743589743587,0.1794871794871795
early_2015_2017,trend_volatility,high_trend__high_vol,raw25_clip,13,13,0.23384615384615393,1.0
early_2015_2017,volatility,low_vol,learned_clip,88,264,0.028636363636363637,0.29924242424242425
early_2015_2017,volatility,low_vol,raw25_clip,88,88,0.1459090909090909,0.7954545454545454
early_2015_2017,volatility,high_vol,learned_clip,32,96,0.01916666666666667,0.21875
early_2015_2017,volatility,high_vol,raw25_clip,32,32,0.21250000000000002,0.96875
early_2015_2017,range,low_range,learned_clip,86,258,0.028992248062015502,0.3023255813953488
early_2015_2017,range,low_range,raw25_clip,86,86,0.14651162790697672,0.8023255813953488
early_2015_2017,range,high_range,learned_clip,34,102,0.018823529411764704,0.21568627450980393
early_2015_2017,range,high_range,raw25_clip,34,34,0.20705882352941177,0.9411764705882353
early_2015_2017,volume,low_volume_change,learned_clip,69,207,0.029371980676328503,0.28019323671497587
early_2015_2017,volume,low_volume_change,raw25_clip,69,69,0.1617391304347826,0.8405797101449275
early_2015_2017,volume,high_volume_change,learned_clip,51,153,0.02169934640522876,0.27450980392156865
early_2015_2017,volume,high_volume_change,raw25_clip,51,51,0.16627450980392156,0.8431372549019608
late_2018_2020,trend_volatility,low_trend__low_vol,learned_clip,16,48,0.023333333333333334,0.3333333333333333
late_2018_2020,trend_volatility,low_trend__low_vol,raw25_clip,16,16,0.0025,0.0625
late_2018_2020,trend_volatility,low_trend__high_vol,learned_clip,25,75,0.02986666666666667,0.3333333333333333
late_2018_2020,trend_volatility,low_trend__high_vol,raw25_clip,25,25,0.016,0.28
late_2018_2020,trend_volatility,mid_trend__low_vol,learned_clip,33,99,0.024242424242424246,0.2727272727272727
late_2018_2020,trend_volatility,mid_trend__low_vol,raw25_clip,33,33,0.0,0.0
late_2018_2020,trend_volatility,mid_trend__high_vol,learned_clip,23,69,0.022028985507246378,0.30434782608695654
late_2018_2020,trend_volatility,mid_trend__high_vol,raw25_clip,23,23,0.012173913043478259,0.21739130434782608
late_2018_2020,trend_volatility,high_trend__low_vol,learned_clip,24,72,0.044444444444444446,0.3611111111111111
late_2018_2020,trend_volatility,high_trend__low_vol,raw25_clip,24,24,0.0033333333333333335,0.041666666666666664
late_2018_2020,trend_volatility,high_trend__high_vol,learned_clip,20,60,0.015333333333333336,0.2
late_2018_2020,trend_volatility,high_trend__high_vol,raw25_clip,20,20,0.01,0.15
late_2018_2020,volatility,low_vol,learned_clip,73,219,0.030684931506849315,0.3150684931506849
late_2018_2020,volatility,low_vol,raw25_clip,73,73,0.001643835616438356,0.0273972602739726
late_2018_2020,volatility,high_vol,learned_clip,68,204,0.02294117647058824,0.28431372549019607
late_2018_2020,volatility,high_vol,raw25_clip,68,68,0.012941176470588235,0.22058823529411764
late_2018_2020,range,low_range,learned_clip,75,225,0.029688888888888893,0.3111111111111111
late_2018_2020,range,low_range,raw25_clip,75,75,0.0021333333333333334,0.04
late_2018_2020,range,high_range,learned_clip,66,198,0.023838383838383843,0.2878787878787879
late_2018_2020,range,high_range,raw25_clip,66,66,0.012727272727272728,0.21212121212121213
late_2018_2020,volume,low_volume_change,learned_clip,71,213,0.027981220657276994,0.3474178403755869
late_2018_2020,volume,low_volume_change,raw25_clip,71,71,0.007887323943661973,0.14084507042253522
late_2018_2020,volume,high_volume_change,learned_clip,70,210,0.025904761904761903,0.2523809523809524
late_2018_2020,volume,high_volume_change,raw25_clip,70,70,0.006285714285714286,0.1
