job,method,cutoff,seed,alternate_iterations,alternate_success,alternate_message,objective_absolute_gap,maximum_training_probability_gap,alternate_gradient_inf
learned_2014-12-31_20260910_clip,learned_clip,2014-12-31,20260910,75,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.774758283725532e-15,7.912098415330249e-08,9.227153642283464e-09
learned_2014-12-31_20260911_clip,learned_clip,2014-12-31,20260911,75,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.440892098500626e-15,9.917889232102794e-08,7.684713486649092e-09
learned_2014-12-31_20260912_clip,learned_clip,2014-12-31,20260912,56,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.881784197001252e-16,5.372134437298115e-08,9.741485467243405e-09
learned_2015-12-31_20260910_clip,learned_clip,2015-12-31,20260910,57,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.329070518200751e-15,7.942817503714394e-08,1.022463768296164e-08
learned_2015-12-31_20260911_clip,learned_clip,2015-12-31,20260911,84,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.6653345369377348e-15,4.866602409947518e-08,7.337768176711099e-09
learned_2015-12-31_20260912_clip,learned_clip,2015-12-31,20260912,71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.3314683517128287e-15,7.808646362850169e-08,8.193660827951477e-09
learned_2016-12-31_20260910_clip,learned_clip,2016-12-31,20260910,75,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7763568394002505e-15,5.4562921680822996e-08,4.500609863403879e-09
learned_2016-12-31_20260911_clip,learned_clip,2016-12-31,20260911,74,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.886579864025407e-15,9.400293199401943e-08,1.0197357854391936e-08
learned_2016-12-31_20260912_clip,learned_clip,2016-12-31,20260912,67,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.552713678800501e-15,9.418499802293923e-08,1.1868496285153546e-08
learned_2017-12-31_20260910_clip,learned_clip,2017-12-31,20260910,74,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9984014443252818e-15,8.128700440535042e-08,8.74880613408683e-09
learned_2017-12-31_20260911_clip,learned_clip,2017-12-31,20260911,72,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.551115123125783e-16,3.786523533610975e-08,4.335941780750016e-09
learned_2017-12-31_20260912_clip,learned_clip,2017-12-31,20260912,79,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.885780586188048e-15,9.048827531721315e-08,5.896639998872501e-09
learned_2018-12-31_20260910_clip,learned_clip,2018-12-31,20260910,67,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.551914400963142e-15,9.847428816822656e-08,9.156858384821304e-09
learned_2018-12-31_20260911_clip,learned_clip,2018-12-31,20260911,74,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.440892098500626e-16,3.3795267695424513e-08,2.524825011172502e-09
learned_2018-12-31_20260912_clip,learned_clip,2018-12-31,20260912,66,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.771561172376096e-16,5.026637744931506e-08,6.574803683694758e-09
learned_2019-12-31_20260910_clip,learned_clip,2019-12-31,20260910,77,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.771561172376096e-16,6.416808118192563e-08,5.474932755507973e-09
learned_2019-12-31_20260911_clip,learned_clip,2019-12-31,20260911,70,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.882583474838611e-15,1.20981403339826e-07,1.0233305956071342e-08
learned_2019-12-31_20260912_clip,learned_clip,2019-12-31,20260912,72,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1102230246251565e-15,1.4692629995982642e-07,7.846435809709439e-09
raw_2014-12-31_-1_clip,raw25_clip,2014-12-31,-1,66,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.774758283725532e-15,9.099838449433406e-08,6.806331218685985e-09
raw_2015-12-31_-1_clip,raw25_clip,2015-12-31,-1,71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2212453270876722e-15,9.480609741707724e-08,7.584380238971102e-09
raw_2016-12-31_-1_clip,raw25_clip,2016-12-31,-1,74,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1102230246251565e-15,8.297990650163456e-08,5.0135796434563895e-09
raw_2017-12-31_-1_clip,raw25_clip,2017-12-31,-1,74,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4432899320127035e-15,7.101670884690492e-08,4.7788869416602944e-09
raw_2018-12-31_-1_clip,raw25_clip,2018-12-31,-1,73,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.992007221626409e-16,6.75915848846742e-08,4.6826810520513365e-09
raw_2019-12-31_-1_clip,raw25_clip,2019-12-31,-1,73,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.881784197001252e-16,6.79559634675364e-08,7.609107630437983e-09
