job,method,cutoff,seed,date,row_index,clipped_coordinates,coordinate_clip_fraction,maximum_standardized_distance_before,maximum_standardized_distance_after
learned_2014-12-31_20260910_clip,learned_clip,2014-12-31,20260910,2015-01-09,1087,0,0.0,1.9718666375603573,1.9718666375603573
learned_2014-12-31_20260910_clip,learned_clip,2014-12-31,20260910,2015-01-16,1092,0,0.0,1.8305468107669636,1.8305468107669636
learned_2014-12-31_20260910_clip,learned_clip,2014-12-31,20260910,2015-01-23,1097,3,0.12,1.9186994858788733,1.9186994858788733
learned_2014-12-31_20260910_clip,learned_clip,2014-12-31,20260910,2015-01-30,1102,1,0.04,1.9833044936925326,1.9833044936925326
learned_2014-12-31_20260910_clip,learned_clip,2014-12-31,20260910,2015-02-06,1107,0,0.0,1.600873591056806,1.600873591056806
learned_2014-12-31_20260910_clip,learned_clip,2014-12-31,20260910,2015-02-13,1112,0,0.0,1.9614024058971196,1.9614024058971196
learned_2014-12-31_20260910_clip,learned_clip,2014-12-31,20260910,2015-02-27,1117,0,0.0,1.980595089150772,1.980595089150772
learned_2014-12-31_20260910_clip,learned_clip,2014-12-31,20260910,2015-03-06,1122,0,0.0,1.628731309839015,1.628731309839015
learned_2014-12-31_20260910_clip,learned_clip,2014-12-31,20260910,2015-03-13,1127,0,0.0,1.6986020327320737,1.6986020327320737
learned_2014-12-31_20260910_clip,learned_clip,2014-12-31,20260910,2015-09-25,1131,0,0.0,1.356263116066132,1.356263116066132
learned_2014-12-31_20260910_clip,learned_clip,2014-12-31,20260910,2015-10-09,1136,0,0.0,1.3789561590629666,1.3789561590629666
learned_2014-12-31_20260910_clip,learned_clip,2014-12-31,20260910,2015-10-16,1141,0,0.0,1.4431862234413981,1.4431862234413981
learned_2014-12-31_20260910_clip,learned_clip,2014-12-31,20260910,2015-10-23,1146,0,0.0,1.4970603711430834,1.4970603711430834
learned_2014-12-31_20260910_clip,learned_clip,2014-12-31,20260910,2015-10-30,1151,0,0.0,1.4865536881175363,1.4865536881175363
learned_2014-12-31_20260910_clip,learned_clip,2014-12-31,20260910,2015-11-06,1156,0,0.0,1.4875310539803779,1.4875310539803779
