cutoff,year,partition,state,train_n,validation_n,training_fraction,validation_fraction,fraction_difference
2018-12-31,2019,volatility,low_vol,961,30,0.5002602811035919,0.6521739130434783,0.15191363193988638
2018-12-31,2019,volatility,high_vol,960,16,0.4997397188964081,0.34782608695652173,-0.15191363193988638
2018-12-31,2019,range,low_range,961,30,0.5002602811035919,0.6521739130434783,0.15191363193988638
2018-12-31,2019,range,high_range,960,16,0.4997397188964081,0.34782608695652173,-0.15191363193988638
2018-12-31,2019,volume,low_volume_change,961,21,0.5002602811035919,0.45652173913043476,-0.04373854197315713
2018-12-31,2019,volume,high_volume_change,960,25,0.4997397188964081,0.5434782608695652,0.043738541973157075
2019-12-31,2020,trend_volatility,low_trend__low_vol,232,3,0.1071593533487298,0.06521739130434782,-0.04194196204438197
2019-12-31,2020,trend_volatility,low_trend__high_vol,490,5,0.22632794457274827,0.10869565217391304,-0.11763229239883523
2019-12-31,2020,trend_volatility,mid_trend__low_vol,437,7,0.20184757505773673,0.15217391304347827,-0.04967366201425846
2019-12-31,2020,trend_volatility,mid_trend__high_vol,284,8,0.13117782909930717,0.17391304347826086,0.042735214378953695
2019-12-31,2020,trend_volatility,high_trend__low_vol,414,13,0.19122401847575057,0.2826086956521739,0.09138467717642332
2019-12-31,2020,trend_volatility,high_trend__high_vol,308,10,0.14226327944572748,0.21739130434782608,0.0751280249020986
2019-12-31,2020,volatility,low_vol,1083,23,0.5002309468822171,0.5,-0.00023094688221714232
2019-12-31,2020,volatility,high_vol,1082,23,0.4997690531177829,0.5,0.0002309468822170868
2019-12-31,2020,range,low_range,1083,25,0.5002309468822171,0.5434782608695652,0.043247313987348046
2019-12-31,2020,range,high_range,1082,21,0.4997690531177829,0.45652173913043476,-0.04324731398734816
2019-12-31,2020,volume,low_volume_change,1083,24,0.5002309468822171,0.5217391304347826,0.021508183552565452
2019-12-31,2020,volume,high_volume_change,1082,22,0.4997690531177829,0.4782608695652174,-0.021508183552565507
