job,method,cutoff,seed,validation_n,training_coordinate_clip_fraction,validation_coordinate_clip_fraction,validation_row_clip_fraction,mean_maximum_distance_before,mean_maximum_distance_after,original_mean_probability,clipped_mean_probability,observed_up_fraction
learned_2014-12-31_20260910_clip,learned_clip,2014-12-31,20260910,22,0.0204271123491179,0.007272727272727273,0.09090909090909091,1.6207989899893631,1.6207989899893631,0.47345126941934895,0.47625357018923464,0.5909090909090909
learned_2014-12-31_20260911_clip,learned_clip,2014-12-31,20260911,22,0.0204271123491179,0.023636363636363636,0.13636363636363635,1.8609464327837364,1.819227565503011,0.5152148511712409,0.5132876906494123,0.5909090909090909
learned_2014-12-31_20260912_clip,learned_clip,2014-12-31,20260912,22,0.0204271123491179,0.023636363636363636,0.2727272727272727,2.0708997385911174,2.0021298510324246,0.4753055629816006,0.47656991653726377,0.5909090909090909
learned_2015-12-31_20260910_clip,learned_clip,2015-12-31,20260910,48,0.0201680672268907,0.03666666666666667,0.25,1.5560489979071326,1.5476822159573809,0.48777114153311835,0.486974062708256,0.5416666666666666
learned_2015-12-31_20260911_clip,learned_clip,2015-12-31,20260911,48,0.0201680672268907,0.04,0.3958333333333333,1.869341464379619,1.832339236656192,0.48848853349913846,0.4878200423131023,0.5416666666666666
learned_2015-12-31_20260912_clip,learned_clip,2015-12-31,20260912,48,0.0201680672268907,0.020833333333333332,0.3333333333333333,1.9359311410041242,1.8960472160051023,0.4806964421439073,0.4819885130091229,0.5416666666666666
learned_2016-12-31_20260910_clip,learned_clip,2016-12-31,20260910,50,0.0209205020920502,0.036,0.32,1.8584103883838419,1.8424903088226658,0.4930527645255625,0.49246500791486325,0.56
learned_2016-12-31_20260911_clip,learned_clip,2016-12-31,20260911,50,0.0209205020920502,0.0264,0.32,2.3137056931802262,2.30452990957064,0.5289582221193648,0.5263193318606717,0.56
learned_2016-12-31_20260912_clip,learned_clip,2016-12-31,20260912,50,0.0209205020920502,0.008,0.2,2.022873246056026,1.9828958258306204,0.5065060675937196,0.5050500017487404,0.56
learned_2017-12-31_20260910_clip,learned_clip,2017-12-31,20260910,49,0.0202622169249106,0.03918367346938775,0.3877551020408163,2.106858397492724,2.024976335286851,0.5521862661497308,0.5483323770113487,0.42857142857142855
learned_2017-12-31_20260911_clip,learned_clip,2017-12-31,20260911,49,0.0202622169249106,0.014693877551020407,0.2653061224489796,1.7038140596522813,1.6903371565460417,0.5428461248283107,0.5421559265159145,0.42857142857142855
learned_2017-12-31_20260912_clip,learned_clip,2017-12-31,20260912,49,0.0202622169249106,0.014693877551020407,0.24489795918367346,1.4691341692778963,1.4658159055701712,0.5361522650055457,0.5358030646794053,0.42857142857142855
learned_2018-12-31_20260910_clip,learned_clip,2018-12-31,20260910,46,0.0208224882873503,0.02434782608695652,0.30434782608695654,1.5230950312281468,1.5208869705795351,0.4684971595699139,0.468400717535066,0.6521739130434783
learned_2018-12-31_20260911_clip,learned_clip,2018-12-31,20260911,46,0.0208224882873503,0.011304347826086957,0.15217391304347827,1.6086125858486577,1.6049931286589547,0.48823615032205203,0.4881549947050114,0.6521739130434783
learned_2018-12-31_20260912_clip,learned_clip,2018-12-31,20260912,46,0.0208224882873503,0.0391304347826087,0.45652173913043476,2.18744371192906,2.108152722320926,0.526434924369879,0.5256127146435573,0.6521739130434783
learned_2019-12-31_20260910_clip,learned_clip,2019-12-31,20260910,46,0.0203233256351039,0.022608695652173914,0.2826086956521739,1.992890251001654,1.9677934859016186,0.5252679021738941,0.5250365586813076,0.6086956521739131
learned_2019-12-31_20260911_clip,learned_clip,2019-12-31,20260911,46,0.0203233256351039,0.05565217391304348,0.2826086956521739,2.063912596593625,1.9694483830541019,0.5123023436507392,0.5140673802072689,0.6086956521739131
learned_2019-12-31_20260912_clip,learned_clip,2019-12-31,20260912,46,0.0203233256351039,0.021739130434782608,0.32608695652173914,2.004468105293138,1.9460882836281481,0.551724569821717,0.5511317050793414,0.6086956521739131
raw_2014-12-31_-1_clip,raw25_clip,2014-12-31,-1,22,0.0204271123491179,0.23636363636363636,1.0,6.633150581410178,2.819768973654505,0.3044664380992457,0.39705226611011923,0.5909090909090909
raw_2015-12-31_-1_clip,raw25_clip,2015-12-31,-1,48,0.0201680672268907,0.115,0.6041666666666666,2.3022235043338193,2.067240574213352,0.416389655132702,0.41516195578981935,0.5416666666666666
raw_2016-12-31_-1_clip,raw25_clip,2016-12-31,-1,50,0.0209205020920502,0.1784,1.0,1.861519127019617,1.6871050792570386,0.4107205468204068,0.42096736178442,0.56
raw_2017-12-31_-1_clip,raw25_clip,2017-12-31,-1,49,0.0202622169249106,0.005714285714285714,0.12244897959183673,1.783648186112823,1.7572702278536052,0.5506167633249526,0.5480079106365787,0.42857142857142855
raw_2018-12-31_-1_clip,raw25_clip,2018-12-31,-1,46,0.0208224882873503,0.0052173913043478265,0.10869565217391304,1.8334438581778405,1.785844740684939,0.4361566695185374,0.44740557018128124,0.6521739130434783
raw_2019-12-31_-1_clip,raw25_clip,2019-12-31,-1,46,0.0203233256351039,0.010434782608695653,0.13043478260869565,1.9726137549028064,1.9058553858852272,0.5238494345289422,0.5321761684030566,0.6086956521739131
