cutoff,encoder_cutoff,seed,n,excluded_bank_rows,excluded_labels,all_inputs_unchanged
2021-03-31,2020-12-31,20260910,1211,197,2569,True
2021-03-31,2020-12-31,20260911,1211,197,2569,True
2021-03-31,2020-12-31,20260912,1211,197,2569,True
2021-06-30,2020-12-31,20260910,1210,198,2570,True
2021-06-30,2020-12-31,20260911,1210,198,2570,True
2021-06-30,2020-12-31,20260912,1210,198,2570,True
2021-09-30,2020-12-31,20260910,1210,198,2570,True
2021-09-30,2020-12-31,20260911,1210,198,2570,True
2021-09-30,2020-12-31,20260912,1210,198,2570,True
2022-03-31,2021-12-31,20260910,1210,197,2570,True
2022-03-31,2021-12-31,20260911,1210,197,2570,True
2022-03-31,2021-12-31,20260912,1210,197,2570,True
2022-06-30,2021-12-31,20260910,1209,198,2571,True
2022-06-30,2021-12-31,20260911,1209,198,2571,True
2022-06-30,2021-12-31,20260912,1209,198,2571,True
2022-09-30,2021-12-31,20260910,1209,198,2571,True
2022-09-30,2021-12-31,20260911,1209,198,2571,True
2022-09-30,2021-12-31,20260912,1209,198,2571,True
2023-03-31,2022-12-31,20260910,1209,195,2571,True
2023-03-31,2022-12-31,20260911,1209,195,2571,True
2023-03-31,2022-12-31,20260912,1209,195,2571,True
2023-06-30,2022-12-31,20260910,1208,196,2572,True
2023-06-30,2022-12-31,20260911,1208,196,2572,True
2023-06-30,2022-12-31,20260912,1208,196,2572,True
2023-09-30,2022-12-31,20260910,1208,196,2572,True
2023-09-30,2022-12-31,20260911,1208,196,2572,True
2023-09-30,2022-12-31,20260912,1208,196,2572,True
2024-03-31,2023-12-31,20260910,1208,194,2572,True
2024-03-31,2023-12-31,20260911,1208,194,2572,True
2024-03-31,2023-12-31,20260912,1208,194,2572,True
2024-06-30,2023-12-31,20260910,1207,195,2573,True
2024-06-30,2023-12-31,20260911,1207,195,2573,True
2024-06-30,2023-12-31,20260912,1207,195,2573,True
2024-09-30,2023-12-31,20260910,1206,196,2574,True
2024-09-30,2023-12-31,20260911,1206,196,2574,True
2024-09-30,2023-12-31,20260912,1206,196,2574,True
2025-03-31,2024-12-31,20260910,1205,197,2575,True
2025-03-31,2024-12-31,20260911,1205,197,2575,True
2025-03-31,2024-12-31,20260912,1205,197,2575,True
2025-06-30,2024-12-31,20260910,1206,196,2574,True
2025-06-30,2024-12-31,20260911,1206,196,2574,True
2025-06-30,2024-12-31,20260912,1206,196,2574,True
2025-09-30,2024-12-31,20260910,1206,196,2574,True
2025-09-30,2024-12-31,20260911,1206,196,2574,True
2025-09-30,2024-12-31,20260912,1206,196,2574,True
2026-03-31,2025-12-31,20260910,1204,127,2576,True
2026-03-31,2025-12-31,20260911,1204,127,2576,True
2026-03-31,2025-12-31,20260912,1204,127,2576,True
2026-06-30,2025-12-31,20260910,1204,127,2576,True
2026-06-30,2025-12-31,20260911,1204,127,2576,True
2026-06-30,2025-12-31,20260912,1204,127,2576,True
