history,method,date,year,actual_up,annual_probability,candidate_probability,case
fixed_transform_step25,learned_market,2022-07-01,2022,0,0.49633439488206865,0.5036427301743639,regression
fixed_transform_step25,learned_market,2022-12-23,2022,1,0.5238621504900975,0.4977806576470376,regression
fixed_transform_step25,learned_market,2023-05-26,2023,0,0.49788297412809596,0.5032908799260646,regression
fixed_transform_step25,learned_market,2023-08-18,2023,1,0.4990632713040057,0.5039225123147536,recovery
fixed_transform_step25,learned_market,2025-08-29,2025,0,0.5089157664667425,0.49838430987680143,recovery
fixed_transform_step25,learned_market,2026-07-03,2026,0,0.48961299180420353,0.5008085489941697,regression
fixed_transform_step25,learned_market,2026-07-24,2026,0,0.4855896136257898,0.5018019385859772,regression
fixed_transform_step25,learned_market,2026-08-14,2026,0,0.48837964453678734,0.5061409647835462,regression
fixed_transform_step25,learned_vol_interaction,2022-05-06,2022,1,0.50030474991922,0.49647346035266304,regression
fixed_transform_step25,learned_vol_interaction,2022-07-08,2022,0,0.49920494025306567,0.5058730131354042,regression
fixed_transform_step25,learned_vol_interaction,2022-11-11,2022,0,0.49804434583176854,0.5127908509017051,regression
fixed_transform_step25,learned_vol_interaction,2022-12-23,2022,1,0.5180072104704162,0.49415285821726224,regression
fixed_transform_step25,learned_vol_interaction,2024-08-02,2024,0,0.5014632579052075,0.4917864281976056,recovery
fixed_transform_step25,learned_vol_interaction,2024-08-09,2024,1,0.5008717807058894,0.4920851907297828,regression
fixed_transform_step25,learned_vol_interaction,2024-12-06,2024,0,0.49520297386965,0.5018956537433606,regression
fixed_transform_step25,learned_vol_interaction,2026-08-14,2026,0,0.4863994421459692,0.5045896312245598,regression
fixed_transform_step25,learned_order_extension,2022-12-02,2022,1,0.5019286374845816,0.48350058634543,regression
fixed_transform_step25,learned_order_extension,2022-12-23,2022,1,0.5144819130605144,0.4932153898009421,regression
fixed_transform_step25,learned_order_extension,2023-12-15,2023,1,0.49297399221381855,0.5082227643745424,recovery
fixed_transform_step25,learned_order_extension,2026-07-03,2026,0,0.49019228952696475,0.5131396019637667,regression
fixed_transform_step25,learned_order_extension,2026-07-10,2026,0,0.4838752558028981,0.506639196979049,regression
fixed_transform_step25,learned_order_extension,2026-07-24,2026,0,0.486574276555423,0.5077378276675742,regression
fixed_transform_step25,learned_order_offset,2022-12-02,2022,1,0.5013991701283729,0.48476181300872095,regression
fixed_transform_step25,learned_order_offset,2022-12-23,2022,1,0.5143062955847914,0.49413853719599476,regression
fixed_transform_step25,learned_order_offset,2023-12-15,2023,1,0.4941851974930236,0.5097024588689888,recovery
fixed_transform_step25,learned_order_offset,2024-11-22,2024,1,0.4997742215811063,0.5076246504638632,recovery
fixed_transform_step25,learned_order_offset,2026-07-03,2026,0,0.4899947842704179,0.513500625284471,regression
fixed_transform_step25,learned_order_offset,2026-07-10,2026,0,0.48332989719207314,0.5064452929835411,regression
fixed_transform_step25,learned_order_offset,2026-07-24,2026,0,0.48604553906921294,0.5080541305947253,regression
fixed_transform_step50,learned_market,2021-07-23,2021,0,0.47917206557692377,0.5090605413727748,regression
fixed_transform_step50,learned_market,2022-04-29,2022,0,0.5023319608025917,0.498271752604085,recovery
fixed_transform_step50,learned_market,2022-07-01,2022,0,0.49633439488206865,0.511067310456851,regression
fixed_transform_step50,learned_market,2022-12-02,2022,1,0.5211543827116397,0.49750589098971293,regression
fixed_transform_step50,learned_market,2022-12-23,2022,1,0.5238621504900975,0.4714742076865821,regression
fixed_transform_step50,learned_market,2023-05-26,2023,0,0.49788297412809596,0.5086964682734308,regression
fixed_transform_step50,learned_market,2023-07-07,2023,1,0.46486168201210815,0.5026821139542244,recovery
fixed_transform_step50,learned_market,2023-08-04,2023,0,0.48315939615600567,0.5028532235596971,regression
fixed_transform_step50,learned_market,2023-08-18,2023,1,0.4990632713040057,0.5087441801028402,recovery
fixed_transform_step50,learned_market,2024-11-15,2024,0,0.4913187263432179,0.5056566166015055,regression
fixed_transform_step50,learned_market,2025-08-29,2025,0,0.5089157664667425,0.4876938976103591,recovery
fixed_transform_step50,learned_market,2026-07-03,2026,0,0.48961299180420353,0.511997006151665,regression
fixed_transform_step50,learned_market,2026-07-17,2026,1,0.48034056980630435,0.5032542523348574,recovery
fixed_transform_step50,learned_market,2026-07-24,2026,0,0.4855896136257898,0.518050410339788,regression
fixed_transform_step50,learned_market,2026-08-14,2026,0,0.48837964453678734,0.5238806867418401,regression
fixed_transform_step50,learned_vol_interaction,2022-05-06,2022,1,0.50030474991922,0.49261320839388717,regression
fixed_transform_step50,learned_vol_interaction,2022-07-01,2022,0,0.4866788057856351,0.507608474119659,regression
fixed_transform_step50,learned_vol_interaction,2022-07-08,2022,0,0.49920494025306567,0.5125792738303179,regression
fixed_transform_step50,learned_vol_interaction,2022-11-11,2022,0,0.49804434583176854,0.5277230277459425,regression
fixed_transform_step50,learned_vol_interaction,2022-12-02,2022,1,0.5192089197639946,0.49749451531635297,regression
fixed_transform_step50,learned_vol_interaction,2022-12-23,2022,1,0.5180072104704162,0.4700951175995954,regression
fixed_transform_step50,learned_vol_interaction,2023-07-07,2023,1,0.4727214101000084,0.513663992422444,recovery
fixed_transform_step50,learned_vol_interaction,2023-08-04,2023,0,0.4862940553693331,0.5118961269378448,regression
fixed_transform_step50,learned_vol_interaction,2023-12-15,2023,1,0.4859739920213066,0.5120234090095607,recovery
