head_cutoff,encoder_cutoff,training_rows,testing_rows,causal
2020-12-31,2020-12-31,1212,11,True
2021-03-31,2020-12-31,1211,13,True
2021-06-30,2020-12-31,1210,13,True
2021-09-30,2020-12-31,1210,13,True
2021-12-31,2021-12-31,1211,11,True
2022-03-31,2021-12-31,1210,12,True
2022-06-30,2021-12-31,1209,14,True
2022-09-30,2021-12-31,1209,12,True
2022-12-31,2022-12-31,1209,12,True
2023-03-31,2022-12-31,1209,12,True
2023-06-30,2022-12-31,1208,12,True
2023-09-30,2022-12-31,1208,12,True
2023-12-31,2023-12-31,1208,11,True
2024-03-31,2023-12-31,1208,11,True
2024-06-30,2023-12-31,1207,13,True
2024-09-30,2023-12-31,1206,12,True
2024-12-31,2024-12-31,1206,12,True
2025-03-31,2024-12-31,1205,11,True
2025-06-30,2024-12-31,1206,13,True
2025-09-30,2024-12-31,1206,12,True
2025-12-31,2025-12-31,1206,11,True
2026-03-31,2025-12-31,1204,11,True
2026-06-30,2025-12-31,1204,8,True
