window,history,method,changed,wrong_to_correct,correct_to_wrong
extension_2021_2023,fixed_transform_step25,learned_market,4,1,3
extension_2021_2023,fixed_transform_step25,learned_vol_interaction,4,0,4
extension_2021_2023,fixed_transform_step25,learned_order_extension,3,1,2
extension_2021_2023,fixed_transform_step25,learned_order_offset,3,1,2
extension_2021_2023,fixed_transform_step50,learned_market,9,3,6
extension_2021_2023,fixed_transform_step50,learned_vol_interaction,9,2,7
extension_2021_2023,fixed_transform_step50,learned_order_extension,6,2,4
extension_2021_2023,fixed_transform_step50,learned_order_offset,6,2,4
extension_2021_2023,fixed_transform_step100,learned_market,15,6,9
extension_2021_2023,fixed_transform_step100,learned_vol_interaction,17,7,10
extension_2021_2023,fixed_transform_step100,learned_order_extension,21,8,13
extension_2021_2023,fixed_transform_step100,learned_order_offset,23,9,14
recent_2024_2026,fixed_transform_step25,learned_market,4,1,3
recent_2024_2026,fixed_transform_step25,learned_vol_interaction,4,1,3
recent_2024_2026,fixed_transform_step25,learned_order_extension,3,0,3
recent_2024_2026,fixed_transform_step25,learned_order_offset,4,1,3
recent_2024_2026,fixed_transform_step50,learned_market,6,2,4
recent_2024_2026,fixed_transform_step50,learned_vol_interaction,5,1,4
recent_2024_2026,fixed_transform_step50,learned_order_extension,7,1,6
recent_2024_2026,fixed_transform_step50,learned_order_offset,7,2,5
recent_2024_2026,fixed_transform_step100,learned_market,14,4,10
recent_2024_2026,fixed_transform_step100,learned_vol_interaction,11,4,7
recent_2024_2026,fixed_transform_step100,learned_order_extension,17,5,12
recent_2024_2026,fixed_transform_step100,learned_order_offset,18,7,11
