job,solver,solver_success,iterations,probability_gap,objective_gap,gradient_inf,coefficient_gap
learned_market_2021-03-31_20260910,L-BFGS-B,True,78,7.773723431636625e-08,1.1102230246251565e-15,8.843287631582313e-09,
learned_vol_interaction_2021-03-31_20260910,L-BFGS-B,True,79,6.869985080815155e-08,9.992007221626409e-16,5.356244930010065e-09,
learned_order_extension_2021-03-31_20260910,L-BFGS-B,True,79,8.417308566821546e-08,3.774758283725532e-15,1.1464799686434352e-08,
learned_order_offset_2021-03-31_20260910,brentq,True,10,,0.0,2.2768245622195593e-18,1.5307199952019346e-14
learned_market_2021-03-31_20260911,L-BFGS-B,True,78,9.340436168958632e-08,3.552713678800501e-15,1.1015615724381707e-08,
learned_vol_interaction_2021-03-31_20260911,L-BFGS-B,True,79,1.2063792037553256e-07,6.5503158452884236e-15,2.6011908019034358e-08,
learned_order_extension_2021-03-31_20260911,L-BFGS-B,True,81,5.8845934292062196e-08,1.3322676295501878e-15,4.691036441023186e-09,
learned_order_offset_2021-03-31_20260911,brentq,True,10,,0.0,2.168404344971009e-19,5.551115123125783e-17
learned_market_2021-03-31_20260912,L-BFGS-B,True,73,4.5603392673232435e-08,6.661338147750939e-16,7.638999869729463e-09,
learned_vol_interaction_2021-03-31_20260912,L-BFGS-B,True,72,6.204058927705702e-08,1.887379141862766e-15,5.549887797592912e-09,
learned_order_extension_2021-03-31_20260912,L-BFGS-B,True,73,6.404975105844812e-08,1.2212453270876722e-15,6.965390108443215e-09,
learned_order_offset_2021-03-31_20260912,brentq,True,8,,0.0,9.595189226496714e-16,5.35682609381638e-15
learned_market_2021-06-30_20260910,L-BFGS-B,True,79,7.893270470571423e-08,3.3306690738754696e-15,6.603757003254343e-09,
learned_vol_interaction_2021-06-30_20260910,L-BFGS-B,True,83,9.740934148183555e-08,3.774758283725532e-15,8.035190309776605e-09,
learned_order_extension_2021-06-30_20260910,L-BFGS-B,True,78,5.422333337889995e-08,1.3322676295501878e-15,4.1358543300729946e-09,
learned_order_offset_2021-06-30_20260910,brentq,True,10,,1.1102230246251565e-16,3.7947076036992655e-19,1.6459056340067946e-14
learned_market_2021-06-30_20260911,L-BFGS-B,True,84,3.365482936779074e-08,6.661338147750939e-16,4.7921502343596656e-09,
learned_vol_interaction_2021-06-30_20260911,L-BFGS-B,True,84,7.071553342896664e-08,1.887379141862766e-15,7.550343443128368e-09,
