cutoff,policy,train_n,full_train_n,validation_n,first_anchor,last_anchor,unique_fraction,weight_min,weight_max,sum_weights,presentations_per_epoch,presentations_per_unique_row,optimizer_steps_per_epoch
2017-12-31,full,1678,1678,49,2010-07-09,2017-12-21,1.0,1.0,1.0,1678.0,1678,1.0,14
2017-12-31,disjoint0,271,1678,49,2010-07-09,2017-12-20,0.16150178784266986,1.0,1.0,271.0,1678,6.191881918819188,14
2017-12-31,disjoint1,271,1678,49,2010-07-12,2017-12-21,0.16150178784266986,1.0,1.0,271.0,1678,6.191881918819188,14
2017-12-31,disjoint2,273,1678,49,2010-07-21,2017-12-14,0.1626936829558999,1.0,1.0,273.0,1678,6.146520146520147,14
2017-12-31,quarter_equal,1678,1678,49,2010-07-09,2017-12-21,1.0,0.890185676392573,14.46551724137931,1678.0000000000002,1678,1.0,14
2017-12-31,recent3y,595,1678,49,2015-01-05,2017-12-21,0.35458879618593564,1.0,1.0,595.0,1678,2.820168067226891,14
2018-12-31,full,1921,1921,46,2010-07-09,2018-12-20,1.0,1.0,1.0,1921.0,1921,1.0,16
2018-12-31,disjoint0,310,1921,46,2010-07-09,2018-12-14,0.16137428422696512,1.0,1.0,310.0,1921,6.196774193548387,16
2018-12-31,disjoint1,311,1921,46,2010-07-12,2018-12-17,0.1618948464341489,1.0,1.0,311.0,1921,6.176848874598071,16
2018-12-31,disjoint2,312,1921,46,2010-07-21,2018-12-18,0.16241540864133264,1.0,1.0,312.0,1921,6.157051282051282,16
2018-12-31,quarter_equal,1921,1921,46,2010-07-09,2018-12-20,1.0,0.8955710955710956,14.553030303030303,1920.9999999999998,1921,1.0,16
2018-12-31,recent3y,725,1921,46,2016-01-04,2018-12-20,0.3774076002082249,1.0,1.0,725.0,1921,2.649655172413793,16
2019-12-31,full,2165,2165,46,2010-07-09,2019-12-23,1.0,1.0,1.0,2165.0,2165,1.0,17
2019-12-31,disjoint0,350,2165,46,2010-07-09,2019-12-19,0.16166281755196305,1.0,1.0,350.0,2165,6.185714285714286,17
2019-12-31,disjoint1,349,2165,46,2010-07-12,2019-12-20,0.16120092378752887,1.0,1.0,349.0,2165,6.203438395415473,17
2019-12-31,disjoint2,351,2165,46,2010-07-21,2019-12-23,0.16212471131639722,1.0,1.0,351.0,2165,6.168091168091168,17
2019-12-31,quarter_equal,2165,2165,46,2010-07-09,2019-12-23,1.0,0.9002079002079002,14.628378378378379,2165.0,2165,1.0,17
2019-12-31,recent3y,725,2165,46,2017-01-03,2019-12-23,0.3348729792147806,1.0,1.0,725.0,2165,2.986206896551724,17
