policy,cutoff,end,seed,job_index,worker,epoch,train_n,presentations,optimizer_steps,training_order_sha256,online_joint_loss,final_model_train_return_mse,final_model_train_auxiliary_mse,validation_mse
disjoint0,2017-12-31,2018-12-31,20260911,1,1,1,271,1678,14,2166670f6b16bfa51ddb194d191741397106c27fe8e174e62aa60dfe0b2b5de9,1.1307703306336796,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,2,271,1678,14,f13c411766b81077bd2fa32c35c0646a521b0899243889fd9adbddd24071f51b,1.113600984375582,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,3,271,1678,14,c7bcdf7f552b2fd511e57abb6c505eb15883d560ac8f2134c602cf88e12a0014,1.1098578750589891,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,4,271,1678,14,9a541ea67ea79c24016b019a5ff217986b570e4932c28d820fda7b2e8a54848f,1.0996082242538308,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,5,271,1678,14,03c8c8ec4786e31b08f274e25d349a5b31aa6fa5e5aee0d4984b55d3618e955b,1.1007763820126457,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,6,271,1678,14,f04b317aba03c57537d9bcbc064dad6fba348c0c811b9ec923041fd53229fdf6,1.1084342724660299,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,7,271,1678,14,30ddef0041abeff789da7c4b7635031fe0bae82fc880981cdcab2d7046f8f98b,1.0913371808196421,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,8,271,1678,14,3bf7930861fe6010c56234bbcf44a577e0b1826450c0e1a799e167c70d99a572,1.1061346579933622,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,9,271,1678,14,69496d32a2af6bb04320ad030b9d862bd4a54aa63bb93f173402b2b6b58ff974,1.084672324847834,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,10,271,1678,14,942f1a3636b8779f1b9e5ab75ee6832eb84f4e0fd7e327419829d3705cff3c0e,1.071258879745106,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,11,271,1678,14,54edd109a96de0db8a8a49a7073c1ba1cba52e54b9c4f7696538a190e54b1345,1.0408045560725396,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,12,271,1678,14,6f8f4cf841ad0cdcb6159de8d0387a458c838def547cf029097250e09cb8a0da,1.048529952302735,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,13,271,1678,14,42b5b7e3b8f74c552d9529128c8354c65acdd5512ac1f1b9f345e5b5e0cd2deb,1.0109692174004428,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,14,271,1678,14,9c3f41ff41bec463a0e35e2d9b67f32cac4e92431963da8f7d6c466a32222bc4,0.9884197935728407,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,15,271,1678,14,c9a6557b56e8cc442cef95973137f2f7f071442c714ed7f108ebb2eaad797616,0.9732776682766174,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,16,271,1678,14,11487f65a8527a2a9bf4c95b25b88d6cff56083652d64f4340192f342a2a328b,0.9466898991893955,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,17,271,1678,14,69eb6f36e8449b62c0eeeb90df34749c7e8174bd6ca9c74fb629c803f23d7e13,0.9205798328420118,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,18,271,1678,14,dd335d1792589254e629e629cefed878fe57055c47c423451903de9604c847aa,0.9141544191715117,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,19,271,1678,14,b7f11ca1e04cf20a400683d3f3a933d75e67059548967504f1aeb112cfdfd67b,0.8566982136579747,,,
disjoint0,2017-12-31,2018-12-31,20260911,1,1,20,271,1678,14,4535e9e5f08cc8f9b1179acaf492065929af309fba020b49ecb45833752ef67a,0.8517755333942508,0.6501849979487692,0.9213377660985802,0.0010390322767738162
disjoint1,2017-12-31,2018-12-31,20260910,3,1,1,271,1678,14,55902b66ee67eee366ee56533c4340724e77af13850337a2a3372c8db47cb4bc,1.1060296071868687,,,
disjoint1,2017-12-31,2018-12-31,20260910,3,1,2,271,1678,14,f018ddf62b00d619ed6ccbb2e07b67078f5081ed9f882f0a002b99ddf62966f2,1.1345342502832696,,,
disjoint1,2017-12-31,2018-12-31,20260910,3,1,3,271,1678,14,a8ae8646e60e6bcdf15249851c417e934f1de4ce2b53c81eeeb811a16fa47287,1.090995326442855,,,
disjoint1,2017-12-31,2018-12-31,20260910,3,1,4,271,1678,14,5b185087dc09f9bc4265ade044404a088d74c46a420167966750a557cd277c97,1.0985711983474986,,,
disjoint1,2017-12-31,2018-12-31,20260910,3,1,5,271,1678,14,a08f1171b2065f6fbebe441bf622dd6c10b69e3a9d2c44e48b0571a4cc6be39a,1.1081272939106848,,,
disjoint1,2017-12-31,2018-12-31,20260910,3,1,6,271,1678,14,829f11bc2de0ab81419af6214d3986d9e08a603e0b764cbe28c07fe9acb9e552,1.09440356372224,,,
disjoint1,2017-12-31,2018-12-31,20260910,3,1,7,271,1678,14,7098722e12f8a44533d0d9ea63431a75795e488f3a2ea5ab205766b1322e230f,1.0961889586943125,,,
disjoint1,2017-12-31,2018-12-31,20260910,3,1,8,271,1678,14,0471977ab17aae7d865ff3349e85a2cec66a97a3c9de85fd4805b72522efa3e2,1.1117062281652912,,,
disjoint1,2017-12-31,2018-12-31,20260910,3,1,9,271,1678,14,575de6c1c360b2395b40a970c251c5d2f74c49cfb94168b2cbc71953de95638f,1.0858434759817477,,,
disjoint1,2017-12-31,2018-12-31,20260910,3,1,10,271,1678,14,2e8790dbf4bf83ff706c01bb44f82bd919b351053655956fdb01cc01aecbc9bc,1.1129720784341905,,,
disjoint1,2017-12-31,2018-12-31,20260910,3,1,11,271,1678,14,6ad5f5a5a180a940398934f57707f5901d03bfdd4398378f0a6b45501bb805c1,1.107494665769343,,,
disjoint1,2017-12-31,2018-12-31,20260910,3,1,12,271,1678,14,c8ad37cb3b6fbf9d8d5134704e77ea5ff3b519a450c97ebf0aa51425748ce73a,1.115282861780069,,,
disjoint1,2017-12-31,2018-12-31,20260910,3,1,13,271,1678,14,685853f419f46b24caf110f9f482c64527132537e9902079339aa9b1cb9ba223,1.0930700699251514,,,
