cutoff,support,active_bars,mean_concurrency,maximum_concurrency,adjacent_intervals_share_bars
2017-12-31,return_increments,1690,4.964497041420119,5,0.9988073941562313
2017-12-31,joint_future_bars,1693,5.978145304193739,8,0.9988073941562313
2018-12-31,return_increments,1933,4.968960165545783,5,0.9989583333333333
2018-12-31,joint_future_bars,1936,5.983987603305785,8,0.9989583333333333
2019-12-31,return_increments,2177,4.972439136426274,5,0.9990757855822551
2019-12-31,joint_future_bars,2180,5.988990825688074,8,0.9990757855822551
