cutoff,policy,train_n,full_n,return_mean,return_sd,adjacent_retained_return_correlation,adjacent_joint_label_overlap_fraction,last_batch_size,steps_per_epoch,repetitions_per_epoch
2017-12-31,full,1678,1678,0.002114028432822609,0.029648330241333454,0.7795798582537197,0.9988073941562313,14,14,1.0
2017-12-31,disjoint0,271,1678,0.0020702815302533375,0.027366716106836185,-0.057134028589106316,0.0,14,14,6.191881918819188
2017-12-31,disjoint1,271,1678,0.0017826951872838448,0.02947329502327037,-0.01610846143671969,0.0,14,14,6.191881918819188
2017-12-31,disjoint2,273,1678,0.0003535077747079605,0.031183992602100814,0.09245760978951155,0.0,14,14,6.146520146520147
2017-12-31,quarter_equal,1678,1678,0.0037909032524299615,0.030826645792566516,0.7795798582537197,0.9988073941562313,14,14,1.0
2017-12-31,recent3y,595,1678,0.002940548989570899,0.027162028468900652,0.7664800313428664,0.9983164983164983,14,14,2.820168067226891
2018-12-31,full,1921,1921,0.001146387266522635,0.029693928969564694,0.7762086370360087,0.9989583333333333,1,16,1.0
2018-12-31,disjoint0,310,1921,0.001099321473484129,0.02766142160991417,-0.07832496482353858,0.0,1,16,6.196774193548387
2018-12-31,disjoint1,311,1921,0.0011475529010692982,0.02976230296900884,-0.03115856516576773,0.0,1,16,6.176848874598071
2018-12-31,disjoint2,312,1921,-0.0003739313421438799,0.0308881293719971,0.07408508375195265,0.0,1,16,6.157051282051282
2018-12-31,quarter_equal,1921,1921,0.002630668727417332,0.030810736632286426,0.7762086370360087,0.9989583333333333,1,16,1.0
2018-12-31,recent3y,725,1921,-0.0005314957703187327,0.024549032341098984,0.7490977627766946,1.0,1,16,2.649655172413793
2019-12-31,full,2165,2165,0.0017267351812499422,0.02949783536182061,0.7793027626908622,0.9990757855822551,117,17,1.0
2019-12-31,disjoint0,350,2165,0.0014535911038527027,0.027881574360582615,-0.10126292438914504,0.0,117,17,6.185714285714286
2019-12-31,disjoint1,349,2165,0.0016612017529518232,0.0300181597725824,-0.03245925768987153,0.0,117,17,6.203438395415473
2019-12-31,disjoint2,351,2165,-8.501204910216742e-05,0.030205952711588345,0.08462452898476049,0.0,117,17,6.168091168091168
2019-12-31,quarter_equal,2165,2165,0.003083135868397829,0.030481688114195767,0.7793027626908622,0.9990757855822551,117,17,1.0
2019-12-31,recent3y,725,2165,0.0015586714255053074,0.024955242506958318,0.7733935727994964,1.0,117,17,2.986206896551724
