cutoff,policy,quarter,rows,sample_share,weight_mass
2017-12-31,full,2010Q3,52,0.03098927294398093,0.03098927294398093
2017-12-31,full,2010Q4,61,0.03635280095351609,0.03635280095351609
2017-12-31,full,2011Q1,58,0.03456495828367104,0.03456495828367104
2017-12-31,full,2011Q2,61,0.03635280095351609,0.03635280095351609
2017-12-31,full,2011Q3,65,0.03873659117997616,0.03873659117997616
2017-12-31,full,2011Q4,60,0.03575685339690107,0.03575685339690107
2017-12-31,full,2012Q1,58,0.03456495828367104,0.03456495828367104
2017-12-31,full,2012Q2,59,0.035160905840286055,0.035160905840286055
2017-12-31,full,2012Q3,65,0.03873659117997616,0.03873659117997616
2017-12-31,full,2012Q4,61,0.03635280095351609,0.03635280095351609
2017-12-31,full,2013Q1,56,0.033373063170441,0.033373063170441
2017-12-31,full,2013Q2,57,0.03396901072705602,0.03396901072705602
2017-12-31,full,2013Q3,64,0.03814064362336114,0.03814064362336114
2017-12-31,full,2013Q4,61,0.03635280095351609,0.03635280095351609
2017-12-31,full,2014Q1,58,0.03456495828367104,0.03456495828367104
2017-12-31,full,2014Q2,61,0.03635280095351609,0.03635280095351609
2017-12-31,full,2014Q3,65,0.03873659117997616,0.03873659117997616
2017-12-31,full,2014Q4,61,0.03635280095351609,0.03635280095351609
2017-12-31,full,2015Q1,48,0.028605482717520857,0.028605482717520857
2017-12-31,full,2015Q3,4,0.0023837902264600714,0.0023837902264600714
2017-12-31,full,2015Q4,61,0.03635280095351609,0.03635280095351609
2017-12-31,full,2016Q1,59,0.035160905840286055,0.035160905840286055
2017-12-31,full,2016Q2,61,0.03635280095351609,0.03635280095351609
2017-12-31,full,2016Q3,64,0.03814064362336114,0.03814064362336114
2017-12-31,full,2016Q4,60,0.03575685339690107,0.03575685339690107
2017-12-31,full,2017Q1,59,0.035160905840286055,0.035160905840286055
2017-12-31,full,2017Q2,60,0.03575685339690107,0.03575685339690107
2017-12-31,full,2017Q3,65,0.03873659117997616,0.03873659117997616
2017-12-31,full,2017Q4,54,0.03218116805721097,0.03218116805721097
2017-12-31,disjoint0,2010Q3,8,0.02952029520295203,0.02952029520295203
2017-12-31,disjoint0,2010Q4,10,0.03690036900369004,0.03690036900369004
2017-12-31,disjoint0,2011Q1,10,0.03690036900369004,0.03690036900369004
2017-12-31,disjoint0,2011Q2,10,0.03690036900369004,0.03690036900369004
2017-12-31,disjoint0,2011Q3,11,0.04059040590405904,0.04059040590405904
2017-12-31,disjoint0,2011Q4,10,0.03690036900369004,0.03690036900369004
2017-12-31,disjoint0,2012Q1,9,0.033210332103321034,0.033210332103321034
2017-12-31,disjoint0,2012Q2,9,0.033210332103321034,0.033210332103321034
2017-12-31,disjoint0,2012Q3,11,0.04059040590405904,0.04059040590405904
2017-12-31,disjoint0,2012Q4,10,0.03690036900369004,0.03690036900369004
2017-12-31,disjoint0,2013Q1,9,0.033210332103321034,0.033210332103321034
2017-12-31,disjoint0,2013Q2,7,0.025830258302583026,0.025830258302583026
2017-12-31,disjoint0,2013Q3,11,0.04059040590405904,0.04059040590405904
2017-12-31,disjoint0,2013Q4,10,0.03690036900369004,0.03690036900369004
2017-12-31,disjoint0,2014Q1,10,0.03690036900369004,0.03690036900369004
2017-12-31,disjoint0,2014Q2,8,0.02952029520295203,0.02952029520295203
2017-12-31,disjoint0,2014Q3,11,0.04059040590405904,0.04059040590405904
2017-12-31,disjoint0,2014Q4,10,0.03690036900369004,0.03690036900369004
2017-12-31,disjoint0,2015Q1,8,0.02952029520295203,0.02952029520295203
2017-12-31,disjoint0,2015Q4,10,0.03690036900369004,0.03690036900369004
2017-12-31,disjoint0,2016Q1,10,0.03690036900369004,0.03690036900369004
2017-12-31,disjoint0,2016Q2,9,0.033210332103321034,0.033210332103321034
2017-12-31,disjoint0,2016Q3,11,0.04059040590405904,0.04059040590405904
2017-12-31,disjoint0,2016Q4,10,0.03690036900369004,0.03690036900369004
2017-12-31,disjoint0,2017Q1,10,0.03690036900369004,0.03690036900369004
