model,policy,year,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,mse_skill_vs_full_mean,reassigned_mse,reassignment_mse_relative_change
neural,full,2018,0.0009424487150258133,0.030699327598920034,0.6530612244897959,0.21093203889644357,0.00379155083387412,49,0.6845238095238095,0.6938775510204082,0.030959823922230734,0.00379155083387412,0.0,0.030959823922230734,0.0009250761211127172,-0.01843346341940766
neural,full,2019,0.0006540511204060153,0.02557442316858809,0.5652173913043478,0.3622500329221676,0.007319686302999174,46,0.59375,0.43478260869565216,0.07104743442346795,0.007319686302999174,0.0,0.07104743442346795,0.0007104309425042428,0.08620094108733967
neural,full,2020,0.0011746367494049896,0.03427297403793534,0.5652173913043478,-0.03373137867566068,0.0067285832698688085,46,0.5138888888888888,0.7391304347826086,-0.044446212093575355,0.0067285832698688085,0.0,-0.044446212093575355,0.0012561819239044637,0.069421610162274
neural,disjoint0,2018,0.0009763144240908479,0.031246030533346916,0.5714285714285714,0.08407471624425235,0.009027386051275253,49,0.5714285714285714,0.4897959183673469,-0.004568002350736844,0.009027386051275253,0.0,-0.003861415846217353,0.0009251288667526507,-0.05242732881454826
neural,disjoint0,2019,0.000808193898217005,0.02842875126024717,0.5217391304347826,-0.026344468841045972,0.009614310899225214,46,0.5020833333333333,0.5652173913043478,-0.1470027225310766,0.009614310899225214,0.0,-0.1478824388618547,0.0006849572225176613,-0.152484046181519
neural,disjoint0,2020,0.0011910852064761011,0.03451210231898516,0.5434782608695652,0.032484568523618,0.009508649558875357,46,0.5257936507936507,0.5869565217391305,-0.05734023496870244,0.009508649558875357,0.0,-0.05907160900152042,0.001311257886466647,0.10089343678953422
neural,disjoint1,2018,0.0011545004764772493,0.033977941027632165,0.4489795918367347,-0.047776401493837405,0.009950688386897092,49,0.47619047619047616,0.6938775510204082,-0.19331522090297737,0.009950688386897092,0.0,-0.1870750388542255,0.0010692198944855112,-0.07386794871835523
neural,disjoint1,2019,0.0007983684488377158,0.02825541450479387,0.6086956521739131,0.1330751530221655,0.011015100092265516,46,0.6416666666666666,0.43478260869565216,-0.13394874524432376,0.011015100092265516,0.0,-0.13392729663510172,0.0007574733445707954,-0.05122334722327326
neural,disjoint1,2020,0.001300452463429487,0.0360617867476015,0.5217391304347826,-0.12830125807891662,0.009573342701593436,46,0.498015873015873,0.6086956521739131,-0.15587705194410284,0.009573342701593436,0.0,-0.15631717645877097,0.0013199938715410112,0.015026622395708733
neural,disjoint2,2018,0.0010333079655470605,0.03214510795668698,0.46938775510204084,0.17834777574632296,0.01005628693908117,49,0.5059523809523809,0.7551020408163265,-0.08992746542713626,0.01005628693908117,0.0,-0.06246304643628209,0.0010957062900995415,0.06038695784121395
neural,disjoint2,2019,0.0008208235684160216,0.0286500186459978,0.6304347826086957,0.11569275415274614,0.012336871831793883,46,0.6291666666666667,0.5434782608695652,-0.13411525897202003,0.012336871831793883,0.0,-0.16582043203657593,0.0007107368338106896,-0.1341174143156868
neural,disjoint2,2020,0.0012651729067623256,0.03556926913449763,0.4782608695652174,-0.07511038314658547,0.009299231198597263,46,0.4722222222222222,0.5217391304347826,-0.11013867484686046,0.009299231198597263,0.0,-0.12494781963929258,0.0011137849235159764,-0.11965793958848092
neural,quarter_equal,2018,0.0010609133151582885,0.03257166429825606,0.42857142857142855,-0.026305394056685555,0.004417698346384863,49,0.4821428571428571,0.8775510204081632,-0.05914919575262201,0.004417698346384863,-2.220446049250313e-16,-0.0908472889117149,0.000982924995725716,-0.07351054824016112
neural,quarter_equal,2019,0.0006923626518106632,0.026312784949728586,0.6086956521739131,0.18516371397088852,0.00424911482314549,46,0.6270833333333333,0.4782608695652174,-0.004418368959893781,0.00424911482314549,0.0,0.016633346167766128,0.0006932866748836629,0.0013345940463183048
neural,quarter_equal,2020,0.0011215205259223252,0.03348911055734872,0.5217391304347826,0.062170569324674976,0.005264573544071712,46,0.4583333333333333,0.782608695652174,-0.0034042977068140523,0.005264573544071712,0.0,0.002782889537449207,0.0011031030267728838,-0.016421901092086633
neural,recent3y,2018,0.0011893168284855952,0.03448647312332177,0.42857142857142855,-0.09093816508741075,0.008275302064487925,49,0.47023809523809523,0.7959183673469388,-0.20595588303266243,0.008275302064487925,0.0,-0.22287374422954032,0.0011120668286375944,-0.06495325551423192
neural,recent3y,2019,0.0008946646072183373,0.029910944605918706,0.4782608695652174,-0.26534345902553713,0.008459356607491293,46,0.45416666666666666,0.5652173913043478,-0.23221678259020795,0.008459356607491293,0.0,-0.27069728386073577,0.0008370613517865312,-0.06438530703802448
